time/total_timesteps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss,phase
2048,,,,,,1
4096,-1.087143412232399,20.2662296295166,-0.0158491421607323,10.0,92.58159980773924,1
6144,-1.0461997389793396,29.16848373413086,-0.0218482322408817,20.0,80.7789318561554,1
8192,-0.9753768086433412,30.519102096557617,-0.0226480333018116,30.0,73.0868411064148,1
10240,-0.8611475765705109,19.478870391845703,-0.028599534893874,40.0,44.12307124137878,1
12288,-0.7492366597056389,9.684608459472656,-0.0213202042854391,50.0,28.15164692401886,1
14336,-0.6081150770187378,5.462787628173828,-0.0230806755134835,60.0,15.10413646697998,1
16384,-0.4705612085759639,3.0927000045776367,-0.016951640730258,70.0,8.315583837032317,1
18432,-0.3010554548352956,2.179978609085083,-0.0203905145172029,80.0,4.160859143733978,1
20480,-0.1848047634586692,1.8346264362335205,-0.0072352002229308,90.0,3.9170606464147566,1
22528,-0.1682847781106829,0.8337034583091736,-0.0093216519802808,100.0,2.6246121510863305,1
24576,-0.1703336993232369,1.5396203994750977,-0.0054689739074092,110.0,3.7474857717752457,1
26624,-0.142118882574141,1.4143069982528689,-0.0055786699638701,120.0,2.8925682604312897,1
28672,-0.08887360105291,0.7619456052780151,-0.0059747482533566,130.0,1.8063609048724176,1
30720,-0.0641617391258478,0.5542699098587036,-0.0048188543587457,140.0,1.4808382183313369,1
32768,-0.0585216580890119,0.3677970468997955,-0.0029389269126113,150.0,1.024533722922206,1
34816,-0.0234287102473899,0.2709101438522339,-0.0014179403893649,160.0,0.9656451191753148,1
36864,-0.0218843918293714,0.1015683487057685,-0.00117129869177,170.0,0.8230915406718851,1
38912,-0.0105885005905292,0.0827478244900703,-0.0020373443578137,180.0,0.3423190289177,1
40960,-0.0110646483604796,0.0985833182930946,-0.0019521775713656,190.0,0.3652648493647575,1
43008,-0.0055473905289545,0.0435190983116626,-0.0006445773178711,200.0,0.1801054535899311,1
45056,-0.0044701489037834,0.0396645627915859,-5.433103069663048e-08,210.0,0.1000702387304045,1
47104,-0.0040747325983829,0.0094559788703918,-0.0006536879402119,220.0,0.1246901471400633,1
49152,-0.0039304972800891,0.0082613248378038,-1.4060933608561754e-06,230.0,0.196021484141238,1
51200,-0.0032036440999945,0.0223300568759441,-0.0007556744909379,240.0,0.0720329499803483,1
53248,-0.0021998625888954,0.153059184551239,-0.0005529705900698,250.0,0.1803939468227327,1
55296,-0.002185436306172,0.0560389570891857,-2.4423934519290925e-08,260.0,0.0654254599590785,1
57344,-0.0023039078718284,0.0339941643178463,5.2887480705976494e-08,270.0,0.0615856897231424,1
59392,-0.0019455554152955,0.1623681187629699,-0.0001195466844365,280.0,0.5646606841124594,1
61440,-0.0020205528708174,0.0826416611671447,3.6379788070917136e-08,290.0,0.1951337160309776,1
63488,-0.0020989728858694,0.0040232655592262,-0.0005765126261394,300.0,0.0288332530122715,1
65536,-0.001086418426712,0.0194125641137361,-0.0002303020679391,310.0,0.1358747441205196,1
67584,-0.0009563510095176,0.0178155992180109,4.743924364447594e-09,320.0,0.1450688187032938,1
69632,-0.0009388504731759,0.0235981401056051,-0.0005195809178985,330.0,0.0337504426643135,1
71680,-0.0008697015189682,0.121801383793354,2.6833731681108476e-09,340.0,0.1188349527488753,1
73728,-0.000939127968013,0.0203792285174131,4.033790901303291e-09,350.0,0.0235884398858615,1
75776,-0.0008988752299046,0.1340778321027755,3.5506673157215116e-10,360.0,0.1318503210670314,1
77824,-0.0005540412261325,0.160642385482788,-0.0014160951832309,370.0,0.3476215040311217,1
79872,-0.0005202274725888,0.0119212679564952,-1.942971721291542e-08,380.0,0.1338552971410536,1
81920,-0.0003638307112851,0.0513861961662769,-0.0005195096717216,390.0,0.2347635704209096,1
83968,-0.0004492193951591,0.0057706218212842,2.0582228899002077e-08,400.0,0.2521070030241389,1
86016,-0.0003576557905034,0.0281944908201694,-8.815550245344638e-09,410.0,0.0454306342628115,1
88064,-0.0003823468287009,0.0156874191015958,-6.204936653375625e-09,420.0,0.1865398915702826,1
90112,-0.0003477783579,0.0021729869768023,7.566995918750763e-11,430.0,0.0613810227794601,1
92160,-0.000360652362724,0.0026244905311614,5.6810677051544194e-09,440.0,0.0826047597845899,1
94208,-0.0003609956271247,0.0605540126562118,1.8044374883174894e-09,450.0,0.3325303582241758,1
96256,-0.000356682479105,0.0078089223243296,5.4104020819067965e-09,460.0,0.12821716065082,1
98304,-0.0003794737436692,0.0156532786786556,8.614733815193176e-09,470.0,0.1123839645806583,1
100352,-0.0003662883249489,0.0815398469567298,1.8975697457790375e-08,480.0,0.0532605676196908,1
102400,-0.0003664884767204,0.0478093177080154,1.3154931366443635e-09,490.0,0.0842905693301872,1
104448,-0.0002495229742635,0.0251784175634384,-0.0006397776072844,500.0,0.0247937023254053,1
106496,-0.0002270349994432,0.0349933244287967,5.599576979875565e-09,510.0,0.1283992698972724,1
108544,-0.0002442794648231,0.0073550003580749,-1.8451828509569168e-08,520.0,0.031547305386266,1
110592,-0.0002410335535387,0.2164729535579681,-1.651933416724205e-08,530.0,0.3477506654337048,1
112640,-0.0002303967390616,0.1581310331821441,-6.082700565457344e-09,540.0,0.1746257139842782,1
114688,-0.0002331780198801,0.0432647876441478,1.123407855629921e-09,550.0,0.0324956056370865,1
116736,-0.0002413965210507,0.0503461919724941,-1.1410156730562449e-08,560.0,0.0753599626608775,1
118784,-0.0002583677691291,0.0177101548761129,-2.4260953068733216e-08,570.0,0.0808286146962928,1
120832,-0.0002518918543501,0.0038806521333754,8.533243089914322e-09,580.0,0.0172187671450046,1
122880,-0.0002489718248398,0.0130204325541853,6.519258022308348e-10,590.0,0.0392377575552018,1
124928,-0.0002521421098208,0.1256041228771209,-4.190951585769653e-09,600.0,0.1175430314266123,1
