episode,r,l,is_success,dead_loop_events,wall_collision_count
1.0,-198.8,256.0,0.0,234.0,56.0
2.0,-194.39999999999998,256.0,0.0,220.0,58.0
3.0,-209.6,256.0,0.0,206.0,50.0
4.0,-211.00000000000006,256.0,0.0,189.0,36.0
5.0,-199.99999999999994,256.0,0.0,222.0,55.0
6.0,-217.39999999999998,256.0,0.0,234.0,51.0
7.0,-196.6,256.0,0.0,229.0,53.0
8.0,-202.00000000000006,256.0,0.0,214.0,58.0
9.0,-205.4,256.0,0.0,233.0,59.0
10.0,-194.2,256.0,0.0,234.0,57.0
11.0,-194.20000000000005,256.0,0.0,230.0,67.0
12.0,-207.59999999999997,256.0,0.0,207.0,54.0
13.0,-216.80000000000007,256.0,0.0,180.0,42.0
14.0,-194.8,256.0,0.0,234.0,60.0
15.0,-195.4,256.0,0.0,232.0,58.0
16.0,-208.79999999999995,256.0,0.0,216.0,54.0
17.0,-205.79999999999998,256.0,0.0,234.0,57.0
18.0,-199.60000000000002,256.0,0.0,234.0,54.0
19.0,-208.39999999999998,256.0,0.0,219.0,48.0
20.0,-198.99999999999994,256.0,0.0,232.0,57.0
21.0,-216.79999999999995,256.0,0.0,214.0,39.0
22.0,-215.79999999999998,256.0,0.0,218.0,43.0
23.0,-203.8,256.0,0.0,223.0,47.0
24.0,-189.59999999999997,256.0,0.0,234.0,64.0
25.0,-206.0,256.0,0.0,234.0,44.0
26.0,-203.4,256.0,0.0,233.0,55.0
27.0,-189.20000000000005,256.0,0.0,197.0,54.0
28.0,-198.00000000000003,256.0,0.0,184.0,45.0
29.0,-196.2,256.0,0.0,234.0,55.0
30.0,-201.00000000000006,256.0,0.0,200.0,38.0
31.0,-186.8,256.0,0.0,214.0,62.0
32.0,-194.2,256.0,0.0,218.0,59.0
33.0,-210.39999999999992,256.0,0.0,193.0,64.0
34.0,-213.0,256.0,0.0,214.0,45.0
35.0,-191.99999999999997,256.0,0.0,230.0,62.0
36.0,-191.0,256.0,0.0,197.0,59.0
37.0,-197.99999999999997,256.0,0.0,234.0,58.0
38.0,-214.2,256.0,0.0,227.0,52.0
39.0,-222.8,256.0,0.0,213.0,44.0
40.0,-212.00000000000003,256.0,0.0,210.0,45.0
41.0,-199.0,256.0,0.0,198.0,45.0
42.0,-197.20000000000005,256.0,0.0,234.0,52.0
43.0,-199.40000000000003,256.0,0.0,211.0,49.0
44.0,-194.20000000000002,256.0,0.0,234.0,53.0
45.0,-221.99999999999994,256.0,0.0,215.0,42.0
46.0,-192.60000000000002,256.0,0.0,192.0,58.0
47.0,-194.8,256.0,0.0,234.0,60.0
48.0,-226.0,256.0,0.0,234.0,42.0
49.0,-200.80000000000004,256.0,0.0,232.0,56.0
