r,l,t,is_success,dead_loop_events,wall_collision_count
-216.0,256,1.571692,0.0,227.0,40.0
-182.0,256,2.477075,0.0,234.0,74.0
-213.0,256,3.3836,0.0,208.0,39.0
-206.0,256,4.293096,0.0,234.0,50.0
-184.0,256,5.201503,0.0,204.0,72.0
-209.0,256,6.11247,0.0,217.0,47.0
-201.0,256,7.025175,0.0,234.0,55.0
-209.0,256,7.93429,0.0,212.0,45.0
-198.0,256,9.550241,0.0,184.0,58.0
-202.0,256,10.504262,0.0,222.0,54.0
-190.0,256,11.452969,0.0,225.0,66.0
-196.0,256,12.402664,0.0,234.0,58.0
-201.0,256,13.315317,0.0,214.0,55.0
-198.0,256,14.229697,0.0,217.0,58.0
-194.0,256,15.151941,0.0,208.0,60.0
-182.0,256,16.064774,0.0,232.0,74.0
-182.0,256,17.52389,0.0,225.0,74.0
-165.0,256,18.468812,0.0,208.0,89.0
-165.0,256,19.393764,0.0,188.0,89.0
-158.0,256,20.300601,0.0,229.0,98.0
-181.0,256,21.210516,0.0,192.0,75.0
-160.0,256,22.120691,0.0,216.0,94.0
-166.0,256,23.030901,0.0,195.0,90.0
-187.0,256,23.94121,0.0,188.0,69.0
-163.0,256,25.395743,0.0,167.0,89.0
-152.0,256,26.340844,0.0,206.0,104.0
-159.0,256,27.268665,0.0,199.0,97.0
-132.0,256,28.178422,0.0,197.0,122.0
-149.0,256,29.125965,0.0,181.0,107.0
-162.0,256,30.075234,0.0,200.0,92.0
-136.0,256,31.022723,0.0,234.0,120.0
-150.0,256,31.973634,0.0,195.0,106.0
-122.0,256,33.406447,0.0,216.0,134.0
-133.0,256,34.354909,0.0,157.0,119.0
-162.0,256,35.291629,0.0,111.0,94.0
-142.0,256,36.203561,0.0,179.0,110.0
-146.0,256,37.115078,0.0,159.0,104.0
-132.0,256,38.023611,0.0,185.0,124.0
-117.0,256,38.968471,0.0,178.0,139.0
-113.0,256,39.916735,0.0,234.0,143.0
-134.0,256,41.373744,0.0,132.0,120.0
-114.0,256,42.325155,0.0,192.0,142.0
-134.0,256,43.271234,0.0,145.0,122.0
-106.0,256,44.217434,0.0,151.0,150.0
-83.0,256,45.165432,0.0,215.0,173.0
-125.0,256,46.113206,0.0,143.0,131.0
-85.0,256,47.060768,0.0,218.0,169.0
-98.0,256,48.006577,0.0,196.0,156.0
-94.0,256,49.435571,0.0,192.0,162.0
-97.0,256,50.384405,0.0,129.0,157.0
-75.0,256,51.32936,0.0,203.0,181.0
-80.0,256,52.272233,0.0,208.0,176.0
-72.0,256,53.194602,0.0,216.0,182.0
-91.0,256,54.109075,0.0,170.0,165.0
-95.0,256,55.023745,0.0,193.0,159.0
-86.0,256,55.970315,0.0,234.0,170.0
-58.0,256,57.427883,0.0,210.0,196.0
-87.0,256,58.380464,0.0,185.0,169.0
-88.0,256,59.326387,0.0,196.0,160.0
-102.0,256,60.274407,0.0,158.0,152.0
-85.0,256,61.226032,0.0,155.0,165.0
-93.0,256,62.172009,0.0,210.0,161.0
-73.0,256,63.094742,0.0,192.0,183.0
