episode,r,l,is_success,dead_loop_events,wall_collision_count
118.0,-200.99999999999994,256.0,0.0,234.0,63.0
119.0,-195.80000000000007,256.0,0.0,184.0,47.0
120.0,-196.99999999999997,256.0,0.0,234.0,59.0
121.0,-195.0,256.0,0.0,203.0,55.0
122.0,-211.8,256.0,0.0,179.0,41.0
123.0,-195.6,256.0,0.0,227.0,61.0
124.0,-202.99999999999997,256.0,0.0,216.0,53.0
125.0,-195.8,256.0,0.0,232.0,53.0
126.0,-203.60000000000008,256.0,0.0,228.0,50.0
127.0,-194.39999999999998,256.0,0.0,222.0,68.0
128.0,-172.40000000000003,256.0,0.0,234.0,80.0
129.0,-209.39999999999998,256.0,0.0,194.0,38.0
130.0,-198.79999999999998,256.0,0.0,215.0,51.0
131.0,-216.19999999999993,256.0,0.0,230.0,45.0
132.0,-197.40000000000006,256.0,0.0,220.0,47.0
133.0,-191.0,256.0,0.0,234.0,62.0
134.0,-205.79999999999998,256.0,0.0,218.0,49.0
135.0,-204.8,256.0,0.0,229.0,48.0
136.0,-201.60000000000002,256.0,0.0,176.0,39.0
137.0,-215.8,256.0,0.0,228.0,46.0
138.0,-218.00000000000006,256.0,0.0,217.0,42.0
139.0,-197.8,256.0,0.0,234.0,57.0
140.0,-191.60000000000002,256.0,0.0,234.0,60.0
141.0,-199.40000000000003,256.0,0.0,228.0,57.0
142.0,-199.79999999999998,256.0,0.0,234.0,63.0
143.0,-210.39999999999998,256.0,0.0,201.0,47.0
144.0,-217.0,256.0,0.0,195.0,55.0
145.0,-185.60000000000002,256.0,0.0,234.0,67.0
146.0,-189.6,256.0,0.0,230.0,57.0
147.0,-195.0,256.0,0.0,217.0,53.0
148.0,-209.2,256.0,0.0,221.0,42.0
149.0,-207.0,256.0,0.0,215.0,54.0
150.0,-214.99999999999994,256.0,0.0,234.0,49.0
151.0,-193.0,256.0,0.0,234.0,63.0
152.0,-181.80000000000007,256.0,0.0,211.0,65.0
153.0,-187.20000000000005,256.0,0.0,234.0,62.0
154.0,-207.4,256.0,0.0,234.0,45.0
155.0,-190.60000000000008,256.0,0.0,226.0,61.0
156.0,-182.0,256.0,0.0,234.0,68.0
157.0,-205.0,256.0,0.0,212.0,49.0
158.0,-210.4,256.0,0.0,234.0,49.0
159.0,-215.39999999999998,256.0,0.0,228.0,53.0
160.0,-212.39999999999995,256.0,0.0,203.0,37.0
161.0,-206.8,256.0,0.0,221.0,42.0
162.0,-221.39999999999998,256.0,0.0,221.0,31.0
163.0,-202.79999999999998,256.0,0.0,225.0,52.0
164.0,-216.8,256.0,0.0,202.0,38.0
165.0,-190.20000000000005,256.0,0.0,225.0,63.0
166.0,-212.19999999999993,256.0,0.0,198.0,39.0
167.0,-207.8,256.0,0.0,234.0,48.0
168.0,-183.40000000000003,256.0,0.0,234.0,68.0
169.0,-204.0,256.0,0.0,234.0,52.0
170.0,-215.0,256.0,0.0,234.0,47.0
171.0,-205.20000000000002,256.0,0.0,224.0,43.0
172.0,-211.79999999999998,256.0,0.0,234.0,39.0
173.0,-196.2,256.0,0.0,225.0,53.0
174.0,-209.39999999999998,256.0,0.0,218.0,44.0
175.0,-219.8,256.0,0.0,234.0,35.0
176.0,-198.79999999999995,256.0,0.0,224.0,56.0
177.0,-203.0,256.0,0.0,234.0,61.0
178.0,-195.60000000000002,256.0,0.0,225.0,56.0
179.0,-214.8,256.0,0.0,221.0,50.0
180.0,-207.8,256.0,0.0,218.0,55.0
181.0,-186.8,256.0,0.0,234.0,68.0
182.0,-233.0,256.0,0.0,210.0,33.0
183.0,-211.40000000000003,256.0,0.0,227.0,57.0
184.0,-188.79999999999995,256.0,0.0,234.0,66.0
185.0,-197.0,256.0,0.0,234.0,57.0
186.0,-178.0,256.0,0.0,233.0,72.0
187.0,-208.79999999999998,256.0,0.0,231.0,48.0
188.0,-201.2,256.0,0.0,228.0,58.0
189.0,-196.79999999999998,256.0,0.0,234.0,58.0
190.0,-201.0,256.0,0.0,223.0,55.0
191.0,-198.2,256.0,0.0,212.0,58.0
192.0,-198.0,256.0,0.0,211.0,58.0
193.0,-223.60000000000002,256.0,0.0,234.0,46.0
194.0,-196.60000000000002,256.0,0.0,210.0,57.0
195.0,-225.59999999999997,256.0,0.0,176.0,33.0
