episode,r,l,is_success,dead_loop_events,wall_collision_count
1.0,-189.0,256.0,0.0,225.0,67.0
2.0,-175.8,256.0,0.0,234.0,77.0
3.0,-200.2,256.0,0.0,211.0,53.0
4.0,-200.60000000000002,256.0,0.0,234.0,60.0
5.0,-195.60000000000002,256.0,0.0,204.0,54.0
6.0,-193.60000000000002,256.0,0.0,217.0,59.0
7.0,-203.60000000000002,256.0,0.0,225.0,44.0
8.0,-200.8,256.0,0.0,234.0,54.0
9.0,-212.0,256.0,0.0,222.0,46.0
10.0,-206.2,256.0,0.0,226.0,43.0
11.0,-206.39999999999998,256.0,0.0,227.0,51.0
12.0,-211.2,256.0,0.0,205.0,39.0
13.0,-224.79999999999998,256.0,0.0,217.0,38.0
14.0,-195.40000000000003,256.0,0.0,232.0,59.0
15.0,-202.59999999999997,256.0,0.0,223.0,49.0
16.0,-198.79999999999995,256.0,0.0,217.0,52.0
17.0,-205.0,256.0,0.0,188.0,67.0
18.0,-198.2,256.0,0.0,234.0,53.0
19.0,-199.59999999999997,256.0,0.0,234.0,56.0
20.0,-201.8,256.0,0.0,225.0,49.0
21.0,-199.20000000000005,256.0,0.0,223.0,55.0
22.0,-201.5999999999999,256.0,0.0,191.0,48.0
23.0,-201.79999999999993,256.0,0.0,234.0,63.0
24.0,-204.0,256.0,0.0,234.0,52.0
25.0,-219.00000000000003,256.0,0.0,219.0,41.0
26.0,-190.40000000000003,256.0,0.0,219.0,61.0
27.0,-188.8,256.0,0.0,234.0,68.0
28.0,-181.6,256.0,0.0,234.0,73.0
29.0,-208.0,256.0,0.0,225.0,41.0
30.0,-193.79999999999998,256.0,0.0,231.0,54.0
31.0,-193.8,256.0,0.0,234.0,59.0
32.0,-202.60000000000002,256.0,0.0,234.0,53.0
33.0,-200.2,256.0,0.0,234.0,50.0
34.0,-217.40000000000003,256.0,0.0,203.0,38.0
35.0,-197.0,256.0,0.0,194.0,59.0
36.0,-203.79999999999998,256.0,0.0,216.0,59.0
37.0,-206.80000000000007,256.0,0.0,225.0,47.0
38.0,-190.00000000000006,256.0,0.0,234.0,57.0
39.0,-192.2,256.0,0.0,223.0,56.0
40.0,-198.60000000000002,256.0,0.0,234.0,55.0
41.0,-197.39999999999998,256.0,0.0,213.0,46.0
42.0,-205.0,256.0,0.0,196.0,59.0
43.0,-204.8,256.0,0.0,227.0,52.0
44.0,-196.6,256.0,0.0,234.0,57.0
45.0,-211.79999999999993,256.0,0.0,183.0,39.0
46.0,-200.8,256.0,0.0,234.0,54.0
47.0,-192.8,256.0,0.0,224.0,64.0
48.0,-197.20000000000005,256.0,0.0,234.0,61.0
