seed,before_warning_count,after_warning_count,before_accuracy,after_accuracy,accuracy_delta,before_macro_f1,after_macro_f1,macro_f1_delta
42,0,1,0.96023198011599,0.95940347970174,-0.0008285004142499774,0.9621016883168376,0.9614114118801304,-0.0006902764367072711
123,1,0,0.9734879867439934,0.975973487986744,0.0024855012427505985,0.9712746201607576,0.9750040157357964,0.0037293955750388186
2026,1,1,0.9585749792874896,0.96023198011599,0.001657000828500399,0.9596649398643008,0.9624962343340928,0.002831294469792023
