r,l,t,is_success,dead_loop_events,wall_collision_count
-192.0,256,2.267257,0.0,234.0,64.0
-193.0,256,3.22212,0.0,211.0,63.0
-208.0,256,4.168808,0.0,215.0,48.0
-199.0,256,5.115339,0.0,234.0,57.0
-199.0,256,6.090902,0.0,234.0,57.0
-200.0,256,7.039362,0.0,217.0,56.0
-210.0,256,7.988769,0.0,200.0,46.0
-206.0,256,8.940848,0.0,221.0,50.0
-199.0,256,11.344708,0.0,210.0,57.0
-193.0,256,12.298121,0.0,172.0,63.0
-192.0,256,13.252157,0.0,225.0,62.0
-185.0,256,14.205626,0.0,218.0,69.0
-197.0,256,15.161349,0.0,210.0,59.0
-41.0,194,15.884134,1.0,141.0,51.0
-204.0,256,16.821353,0.0,202.0,52.0
-186.0,256,17.768901,0.0,229.0,70.0
-180.0,256,19.239786,0.0,193.0,72.0
-180.0,256,20.178892,0.0,207.0,76.0
-165.0,256,21.113415,0.0,227.0,91.0
-191.0,256,22.050235,0.0,196.0,65.0
-183.0,256,22.974128,0.0,218.0,71.0
-188.0,256,23.925697,0.0,205.0,68.0
-176.0,256,24.874986,0.0,163.0,80.0
-170.0,256,25.974625,0.0,234.0,86.0
-138.0,256,27.447457,0.0,201.0,118.0
-160.0,256,28.379805,0.0,219.0,96.0
-137.0,256,29.330353,0.0,150.0,115.0
-142.0,256,30.301384,0.0,234.0,114.0
-162.0,256,31.26064,0.0,203.0,94.0
-144.0,256,32.201962,0.0,234.0,110.0
-139.0,256,33.151565,0.0,209.0,117.0
-141.0,256,34.102694,0.0,176.0,115.0
-147.0,256,35.547852,0.0,190.0,109.0
-158.0,256,36.500462,0.0,104.0,98.0
-142.0,256,37.452254,0.0,154.0,110.0
-97.0,256,38.399665,0.0,226.0,157.0
-122.0,256,39.339702,0.0,205.0,130.0
-154.0,256,40.263794,0.0,115.0,100.0
-147.0,256,41.210318,0.0,175.0,107.0
-136.0,256,42.167253,0.0,171.0,120.0
-117.0,256,43.630431,0.0,193.0,139.0
