r,l,t,is_success,dead_loop_events,wall_collision_count
-3.0,256,136.117471,0.0,234.0,253.0
-5.0,256,137.047948,0.0,233.0,251.0
-16.0,256,137.991384,0.0,225.0,240.0
-7.0,256,138.930743,0.0,234.0,249.0
-4.0,256,140.386263,0.0,234.0,252.0
-1.0,256,141.339699,0.0,234.0,255.0
-7.0,256,142.288515,0.0,229.0,247.0
-4.0,256,143.235874,0.0,234.0,252.0
-3.0,256,144.179918,0.0,234.0,253.0
-3.0,256,145.144195,0.0,234.0,253.0
-4.0,256,146.09079,0.0,234.0,250.0
-4.0,256,147.046473,0.0,234.0,252.0
-6.0,256,148.510016,0.0,233.0,250.0
-1.0,256,149.463387,0.0,234.0,255.0
-6.0,256,150.452821,0.0,234.0,250.0
-2.0,256,151.384959,0.0,234.0,254.0
-3.0,256,152.332651,0.0,234.0,253.0
-1.0,256,153.28599,0.0,234.0,255.0
-4.0,256,154.225668,0.0,234.0,252.0
-6.0,256,155.164183,0.0,233.0,250.0
-1.0,256,156.626342,0.0,234.0,255.0
-1.0,256,157.56673,0.0,234.0,255.0
-1.0,256,158.509145,0.0,234.0,255.0
-4.0,256,159.446333,0.0,234.0,252.0
1.0,256,160.395185,0.0,234.0,255.0
-3.0,256,161.341601,0.0,234.0,253.0
-3.0,256,162.29167,0.0,233.0,251.0
-1.0,256,163.230569,0.0,234.0,253.0
-1.0,256,164.696521,0.0,234.0,255.0
-1.0,256,165.655271,0.0,234.0,255.0
-3.0,256,166.610142,0.0,234.0,253.0
-1.0,256,167.559184,0.0,234.0,253.0
-1.0,256,168.512494,0.0,234.0,255.0
-3.0,256,169.462331,0.0,234.0,253.0
-1.0,256,170.419585,0.0,234.0,255.0
-1.0,256,171.368788,0.0,234.0,255.0
-1.0,256,172.82909,0.0,234.0,255.0
-4.0,256,173.775853,0.0,234.0,252.0
-1.0,256,174.723275,0.0,234.0,255.0
-1.0,256,175.663649,0.0,234.0,255.0
-1.0,256,176.608325,0.0,234.0,255.0
-1.0,256,177.550072,0.0,234.0,255.0
-7.0,256,178.492574,0.0,231.0,249.0
-4.0,256,179.423894,0.0,233.0,250.0
