episode,r,l,is_success,dead_loop_events,wall_collision_count
1.0,-202.19999999999996,256.0,0.0,204.0,55.0
2.0,-183.20000000000005,256.0,0.0,222.0,66.0
3.0,-182.8,256.0,0.0,234.0,72.0
4.0,-192.00000000000006,256.0,0.0,221.0,60.0
5.0,-216.2,256.0,0.0,214.0,40.0
6.0,-200.0,256.0,0.0,214.0,44.0
7.0,-200.99999999999997,256.0,0.0,224.0,63.0
8.0,-185.0,256.0,0.0,234.0,71.0
9.0,-204.8,256.0,0.0,227.0,50.0
10.0,-199.0,256.0,0.0,234.0,55.0
11.0,-206.2,256.0,0.0,234.0,45.0
12.0,-216.8,256.0,0.0,187.0,38.0
13.0,-209.00000000000003,256.0,0.0,216.0,45.0
14.0,-206.0,256.0,0.0,220.0,58.0
15.0,-211.60000000000002,256.0,0.0,234.0,47.0
16.0,-207.79999999999998,256.0,0.0,213.0,47.0
17.0,-204.79999999999995,256.0,0.0,231.0,50.0
18.0,-193.79999999999995,256.0,0.0,213.0,61.0
19.0,-204.2,256.0,0.0,213.0,50.0
20.0,-198.79999999999998,256.0,0.0,234.0,56.0
21.0,-198.59999999999997,256.0,0.0,234.0,55.0
22.0,-213.8,256.0,0.0,228.0,49.0
23.0,-218.8,256.0,0.0,217.0,44.0
24.0,-207.20000000000002,256.0,0.0,228.0,44.0
25.0,-206.0,256.0,0.0,234.0,46.0
26.0,-210.0,256.0,0.0,193.0,33.0
27.0,-190.8,256.0,0.0,230.0,59.0
28.0,-196.00000000000006,256.0,0.0,225.0,66.0
29.0,-197.80000000000007,256.0,0.0,234.0,49.0
30.0,-187.8,256.0,0.0,234.0,64.0
31.0,-213.2,256.0,0.0,218.0,38.0
32.0,-191.80000000000007,256.0,0.0,234.0,53.0
33.0,-188.20000000000005,256.0,0.0,226.0,57.0
34.0,-205.40000000000006,256.0,0.0,197.0,50.0
35.0,-207.00000000000006,256.0,0.0,223.0,51.0
36.0,-207.2,256.0,0.0,234.0,44.0
37.0,-205.6,256.0,0.0,229.0,46.0
38.0,-198.40000000000003,256.0,0.0,234.0,62.0
39.0,-209.79999999999998,256.0,0.0,234.0,53.0
40.0,-213.0,256.0,0.0,234.0,51.0
41.0,-204.2,256.0,0.0,203.0,59.0
42.0,-204.99999999999997,256.0,0.0,229.0,58.0
43.0,-200.39999999999998,256.0,0.0,226.0,45.0
44.0,-224.40000000000003,256.0,0.0,192.0,30.0
45.0,-212.0,256.0,0.0,207.0,38.0
46.0,-212.0,256.0,0.0,228.0,50.0
47.0,-199.0,256.0,0.0,218.0,65.0
48.0,-204.40000000000003,256.0,0.0,204.0,41.0
49.0,-211.99999999999994,256.0,0.0,210.0,42.0
50.0,-205.0,256.0,0.0,228.0,51.0
51.0,-201.0,256.0,0.0,206.0,54.0
52.0,-200.59999999999997,256.0,0.0,234.0,57.0
53.0,-201.79999999999998,256.0,0.0,216.0,55.0
54.0,-220.20000000000002,256.0,0.0,219.0,43.0
55.0,-201.60000000000002,256.0,0.0,212.0,61.0
56.0,-219.00000000000009,256.0,0.0,212.0,49.0
57.0,-180.39999999999998,256.0,0.0,234.0,75.0
58.0,-210.40000000000003,256.0,0.0,234.0,42.0
59.0,-197.60000000000002,256.0,0.0,234.0,56.0
60.0,-196.0,256.0,0.0,234.0,60.0
61.0,-197.59999999999997,256.0,0.0,234.0,50.0
62.0,-207.6,256.0,0.0,214.0,51.0
63.0,-221.8,256.0,0.0,214.0,35.0
64.0,-216.0,256.0,0.0,234.0,48.0
65.0,-198.79999999999998,256.0,0.0,207.0,54.0
66.0,-210.99999999999997,256.0,0.0,186.0,47.0
67.0,-198.0,256.0,0.0,234.0,56.0
68.0,-191.40000000000003,256.0,0.0,205.0,56.0
69.0,-191.60000000000002,256.0,0.0,228.0,57.0
70.0,-198.20000000000002,256.0,0.0,234.0,56.0
71.0,-204.99999999999994,256.0,0.0,233.0,46.0
72.0,-203.6,256.0,0.0,234.0,50.0
73.0,-206.99999999999997,256.0,0.0,220.0,39.0
74.0,-219.6,256.0,0.0,209.0,52.0
75.0,-205.99999999999994,256.0,0.0,211.0,50.0
76.0,-193.20000000000005,256.0,0.0,231.0,58.0
77.0,-209.2,256.0,0.0,202.0,45.0
78.0,-204.79999999999998,256.0,0.0,216.0,59.0
79.0,-201.59999999999997,256.0,0.0,211.0,52.0
80.0,-223.0,256.0,0.0,200.0,43.0
81.0,-223.39999999999995,256.0,0.0,217.0,37.0
82.0,-188.2,256.0,0.0,203.0,57.0
83.0,-188.4,256.0,0.0,215.0,64.0
84.0,-194.0,256.0,0.0,234.0,70.0
85.0,-221.99999999999997,256.0,0.0,234.0,42.0
86.0,-197.39999999999998,256.0,0.0,216.0,55.0
87.0,-176.2,256.0,0.0,234.0,71.0
88.0,-212.59999999999997,256.0,0.0,183.0,49.0
89.0,-199.8000000000001,256.0,0.0,183.0,41.0
90.0,-215.8,256.0,0.0,234.0,55.0
91.0,-187.99999999999994,256.0,0.0,232.0,62.0
92.0,-205.60000000000002,256.0,0.0,213.0,54.0
93.0,-198.59999999999997,256.0,0.0,211.0,49.0
94.0,-198.8,256.0,0.0,191.0,49.0
95.0,-193.80000000000004,256.0,0.0,234.0,59.0
96.0,-215.79999999999995,256.0,0.0,204.0,47.0
97.0,-192.20000000000007,256.0,0.0,213.0,54.0
98.0,-193.20000000000005,256.0,0.0,234.0,66.0
99.0,-212.6,256.0,0.0,234.0,41.0
100.0,-211.4,256.0,0.0,220.0,41.0
101.0,-198.40000000000003,256.0,0.0,234.0,52.0
102.0,-202.40000000000003,256.0,0.0,234.0,46.0
103.0,-189.60000000000002,256.0,0.0,220.0,62.0
104.0,-193.8,256.0,0.0,234.0,61.0
105.0,-194.20000000000005,256.0,0.0,234.0,57.0
106.0,-217.00000000000003,256.0,0.0,222.0,55.0
107.0,-215.60000000000002,256.0,0.0,202.0,46.0
108.0,-202.0,256.0,0.0,234.0,61.0
109.0,-200.79999999999998,256.0,0.0,234.0,54.0
110.0,-202.79999999999998,256.0,0.0,228.0,52.0
111.0,-214.79999999999998,256.0,0.0,198.0,45.0
112.0,-204.6,256.0,0.0,234.0,49.0
113.0,-212.6,256.0,0.0,233.0,51.0
114.0,-212.6,256.0,0.0,225.0,49.0
115.0,-208.2,256.0,0.0,221.0,46.0
116.0,-215.8,256.0,0.0,216.0,49.0
117.0,-207.39999999999998,256.0,0.0,196.0,41.0
