time/total_timesteps,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/n_updates,train/loss,phase
2048,,,,,,1
4096,-1.088502150774002,106.57129373550416,-0.0133409733884036,10.0,30.816085815429688,1
6144,-1.0565754279494286,85.82713313102722,-0.0188390426978003,20.0,28.73442649841309,1
8192,-0.9856464505195618,81.05029182434082,-0.0189108250429853,30.0,30.65336799621582,1
10240,-0.8783485494554043,55.110633277893065,-0.0207377427082974,40.0,21.535465240478516,1
12288,-0.7763836517930031,42.503843021392825,-0.0187162618676666,50.0,15.120391845703123,1
14336,-0.6665598101913929,35.29906311035156,-0.0140832407865673,60.0,14.756818771362305,1
16384,-0.5567211590707302,23.47281391620636,-0.0127351433446165,70.0,9.599059104919434,1
18432,-0.4661899000406265,10.7844473361969,-0.0137231451808474,80.0,4.273314952850342,1
20480,-0.3487390793859958,8.282392692565917,-0.0096858566452283,90.0,3.8711845874786377,1
22528,-0.274150020442903,5.144460192322731,-0.0093415359326172,100.0,3.206329107284546,1
24576,-0.2390107763931155,5.7706893384456635,-0.0077344155521132,110.0,2.278731107711792,1
26624,-0.1715690458193421,4.129309982061386,-0.0060182381654158,120.0,1.5213062763214111,1
28672,-0.1530642461031675,3.9320082664489746,-0.0050260344811249,130.0,1.8896031379699707,1
30720,-0.100935004837811,5.055395832657814,-0.0023705447209067,140.0,1.712880253791809,1
32768,-0.0763980576768517,3.343798556923866,-0.0031195510469842,150.0,1.439793825149536,1
34816,-0.0538380250334739,3.2380129158496858,-0.0017296844453085,160.0,1.3246983289718628,1
36864,-0.0402599379885941,0.7690082219429314,-0.0013941697659902,170.0,0.263945609331131,1
38912,-0.029415559163317,0.4307513947598636,-0.0014896724140271,180.0,0.058907825499773,1
40960,-0.0200879534939304,0.312027676962316,-0.0010221979347988,190.0,0.1128407418727874,1
43008,-0.0141449728282168,0.2292021445930004,-0.0004109750618226,200.0,0.0885045528411865,1
45056,-0.0097048907075077,0.4669211687520146,-0.0014643236412666,210.0,0.200899064540863,1
47104,-0.0089402645942755,0.1005596615839749,-4.185130819678307e-09,220.0,0.0118354056030511,1
49152,-0.00786621994921,0.6259507869835943,-0.0009622021578252,230.0,0.2689654231071472,1
51200,-0.0082192486734129,0.3600615211762488,-0.0001796930941054,240.0,0.2660215497016907,1
53248,-0.0068996989924926,0.4244715459179133,-0.0010695154604036,250.0,0.3635774552822113,1
55296,-0.0041853423375869,1.574647746514529,-0.0013071885914541,260.0,0.4203269481658935,1
57344,-0.0028226773778442,0.0911889361857902,-0.0005265666957711,270.0,0.0041606654413044,1
59392,-0.0020891561580356,0.0157820868684211,-0.0005487341084517,280.0,0.0023596410173922,1
61440,-0.0019657491502584,0.0343166896287584,-3.166787791997194e-08,290.0,0.0017429809086024,1
63488,-0.0020052537176525,0.2927675394137622,-1.0672956705093385e-07,300.0,0.3400769233703613,1
65536,-0.0020337864785687,0.3744101908640004,-7.275957614183426e-09,310.0,0.1158032864332199,1
67584,-0.0020660954527556,0.1857747435438796,1.1990778148174287e-09,320.0,0.0006353321368806,1
69632,-0.0023395130760036,0.0956150583471753,-5.235045682638883e-06,330.0,0.0010563883697614,1
71680,-0.0017305890854913,0.1401691835431847,-0.0003432672441704,340.0,0.0085419453680515,1
73728,-0.0026484160131076,0.217613871199137,-0.0003570813394617,350.0,0.4309820830821991,1
75776,-0.002943253138801,0.0050727521178487,9.703217074275016e-09,360.0,0.0012380389962345,1
77824,-0.0023498304304666,0.5006852163933218,-0.0008670167531818,370.0,0.1305373460054397,1
79872,-0.0027730145055102,0.0541666632940177,-2.3243657778948547e-06,380.0,0.0054592406377196,1
81920,-0.0023856677085859,0.0686401397188092,4.857429303228855e-09,390.0,0.0010866689262911,1
83968,-0.0023145976883824,0.1850767960946541,-0.000292242510477,400.0,0.0436295978724956,1
86016,-0.0013982759541249,0.0031249088744516,-0.0008473283844068,410.0,0.0012224547099322,1
88064,-0.0013350920984521,0.6906255683337804,-2.188608050346374e-09,420.0,0.2334526181221008,1
90112,-0.0013449739635689,0.0010234731225864,1.1350493878126144e-08,430.0,0.0001179108221549,1
92160,-0.0013688555191038,0.0462681713966048,3.169989213347435e-08,440.0,0.0004933014279231,1
94208,-0.0013739745758357,0.0763425343102426,1.0826624929904938e-08,450.0,0.0004169412422925,1
96256,-0.0015016100383945,0.0743600556554156,-3.367924364283681e-06,460.0,0.096225693821907,1
98304,-0.0012188032240374,0.1688743976759724,-0.0002258176391478,470.0,0.0019881119951605,1
100352,-0.0010944526526145,0.2618275309650926,-6.551621481776238e-07,480.0,0.0818714424967765,1
102400,-0.0010931209282716,0.0011018663350114,-6.398127879947424e-07,490.0,0.0001408199022989,1
104448,-0.0011322578357066,0.0023906719674414,-5.620386218652129e-07,500.0,0.0002779884380288,1
106496,-0.0011558571903151,0.0638071072316961,-4.29345527663827e-07,510.0,0.0067451810464262,1
108544,-0.0017107074309024,0.0880179300758754,-0.0005684239964466,520.0,-0.0014883032999932,1
110592,-0.0020092190679861,0.1355718899263593,-1.7014099285006524e-08,530.0,0.1107407435774803,1
112640,-0.002096502421773,0.0686837912022383,-6.063812179490924e-06,540.0,0.0002593669341877,1
114688,-0.0015531158001977,1.073553460999392,-4.2797159403562544e-05,550.0,1.0277495384216309,1
116736,-0.0014926667427062,0.6279110536444932,-6.873742677271368e-08,560.0,0.3835172057151794,1
118784,-0.0010131996736163,0.0668272618073388,-0.0007011450768914,570.0,0.0031487494707107,1
120832,-0.000956309713365,0.1547901887694024,-5.4592965170741087e-08,580.0,0.0038243839517235,1
122880,-0.000769850557117,0.0075258614600898,-0.0010246966558042,590.0,0.0068478602916002,1
124928,-0.0007422141534334,0.425802371071768,4.295725375413894e-09,600.0,1.1603434085845947,1
126976,-0.0007551613314717,0.0345831438555251,-3.6985147744417196e-08,610.0,0.0006894859834574,1
129024,-0.0007856397511204,0.0689355708242146,-2.1724845282733441e-07,620.0,0.1233880221843719,1
131072,-0.0007881310113589,0.1854789681237889,-4.32250089943409e-08,630.0,0.0891914591193199,1
133120,-0.0007923186181869,0.0057725954567104,-5.8987643569707876e-08,640.0,1.8019785784417763e-05,1
