r,l,t,is_success,dead_loop_events,wall_collision_count
-195.0,256,1.07707,0.0,234.0,59.0
-208.2,256,1.508118,0.0,193.0,43.0
-218.8,256,1.929143,0.0,222.0,60.0
-196.8,256,2.338907,0.0,234.0,58.0
-191.0,256,2.755337,0.0,212.0,54.0
-199.8,256,3.163503,0.0,214.0,42.0
-197.0,256,3.590197,0.0,234.0,67.0
-217.6,256,4.004556,0.0,232.0,46.0
-200.8,256,4.422237,0.0,207.0,46.0
-187.6,256,4.847978,0.0,234.0,66.0
-188.2,256,5.266265,0.0,221.0,58.0
-212.4,256,5.69667,0.0,188.0,40.0
-191.6,256,6.109761,0.0,233.0,70.0
-216.4,256,6.530219,0.0,190.0,55.0
-202.4,256,6.945487,0.0,215.0,56.0
-207.0,256,7.364449,0.0,189.0,48.0
-183.4,256,7.790702,0.0,234.0,71.0
-199.4,256,8.21681,0.0,215.0,59.0
-186.0,256,8.640649,0.0,234.0,78.0
-173.4,256,9.065385,0.0,230.0,79.0
-198.6,256,9.488664,0.0,207.0,66.0
-207.0,256,9.921605,0.0,163.0,59.0
-191.6,256,10.348642,0.0,206.0,68.0
-202.0,256,10.773363,0.0,229.0,56.0
-198.4,256,11.196865,0.0,234.0,62.0
-176.0,256,11.619972,0.0,234.0,80.0
-183.0,256,12.043969,0.0,217.0,71.0
-211.2,256,12.464317,0.0,188.0,48.0
-185.4,256,12.891056,0.0,234.0,67.0
-166.4,256,13.325083,0.0,234.0,86.0
-191.8,256,13.760635,0.0,233.0,60.0
-178.8,256,14.193135,0.0,222.0,84.0
-184.6,256,14.621231,0.0,212.0,63.0
-182.4,256,15.066346,0.0,215.0,78.0
-187.8,256,15.503624,0.0,195.0,61.0
-187.8,256,15.936342,0.0,234.0,68.0
-183.8,256,16.372893,0.0,194.0,80.0
-195.8,256,16.797474,0.0,210.0,63.0
-191.0,256,17.23165,0.0,201.0,59.0
-174.2,256,17.669694,0.0,196.0,87.0
-194.8,256,18.107886,0.0,167.0,74.0
-191.8,256,18.544356,0.0,222.0,63.0
-180.0,256,18.976519,0.0,233.0,78.0
-187.2,256,19.412618,0.0,221.0,64.0
-202.8,256,19.850173,0.0,160.0,72.0
-162.8,256,20.288239,0.0,220.0,85.0
-177.6,256,20.734369,0.0,234.0,93.0
-192.6,256,21.175407,0.0,182.0,77.0
-178.0,256,21.608457,0.0,234.0,74.0
-169.2,256,22.050201,0.0,192.0,72.0
-156.4,256,22.497308,0.0,227.0,94.0
-143.0,256,22.954466,0.0,233.0,113.0
-146.4,256,23.403992,0.0,202.0,98.0
-178.8,256,23.85267,0.0,229.0,70.0
-176.6,256,24.300722,0.0,211.0,85.0
-167.2,256,24.750878,0.0,196.0,80.0
-171.4,256,25.202228,0.0,234.0,81.0
-180.0,256,25.652849,0.0,174.0,87.0
-172.0,256,26.104643,0.0,230.0,79.0
-156.4,256,26.561946,0.0,202.0,85.0
-176.0,256,27.018827,0.0,177.0,77.0
-171.0,256,27.477842,0.0,213.0,86.0
-170.8,256,27.928074,0.0,234.0,78.0
-146.4,256,28.39034,0.0,216.0,108.0
-155.6,256,28.843006,0.0,193.0,94.0
-162.6,256,29.302999,0.0,225.0,89.0
-180.6,256,29.74893,0.0,196.0,71.0
-154.8,256,30.208584,0.0,198.0,94.0
-164.6,256,30.660768,0.0,211.0,90.0
-148.2,256,31.128139,0.0,227.0,111.0
-174.2,256,31.588613,0.0,197.0,84.0
-161.2,256,32.044007,0.0,213.0,91.0
-146.6,256,32.501431,0.0,205.0,108.0
-162.4,256,32.968439,0.0,223.0,85.0
-125.4,256,33.441434,0.0,233.0,121.0
-137.2,256,33.9101,0.0,202.0,105.0
-170.2,256,34.375526,0.0,207.0,86.0
-149.6,256,34.838049,0.0,207.0,105.0
-151.2,256,35.304435,0.0,153.0,86.0
-133.0,256,35.767296,0.0,234.0,123.0
-142.8,256,36.237609,0.0,219.0,114.0
-144.0,256,36.718422,0.0,206.0,99.0
-179.0,256,37.202999,0.0,234.0,86.0
-146.4,256,37.674093,0.0,234.0,114.0
-144.6,256,38.145463,0.0,234.0,103.0
-151.0,256,38.619775,0.0,207.0,95.0
-118.0,256,39.0996,0.0,214.0,122.0
-145.4,256,39.588826,0.0,226.0,106.0
-131.0,256,40.0722,0.0,234.0,127.0
-116.4,256,40.549791,0.0,198.0,126.0
-120.2,256,41.034566,0.0,234.0,131.0
-152.0,256,41.518417,0.0,177.0,98.0
-146.0,256,42.000454,0.0,204.0,98.0
-144.4,256,42.477368,0.0,221.0,108.0
-138.2,256,42.9596,0.0,184.0,107.0
-120.0,256,43.446075,0.0,194.0,124.0
-148.8,256,43.926141,0.0,215.0,93.0
-122.8,256,44.415857,0.0,212.0,126.0
-125.0,256,44.898611,0.0,220.0,119.0
-166.0,256,45.378486,0.0,165.0,92.0
-0.8,218,45.790537,1.0,123.0,93.0
-136.2,256,46.277956,0.0,221.0,123.0
-133.0,256,46.767667,0.0,208.0,109.0
-131.8,256,47.252519,0.0,234.0,111.0
-130.8,256,47.745385,0.0,231.0,119.0
-131.0,256,48.241079,0.0,216.0,126.0
-124.0,256,48.727744,0.0,234.0,126.0
-128.6,256,49.216918,0.0,211.0,128.0
-161.4,256,49.709161,0.0,232.0,120.0
-125.0,256,50.207681,0.0,234.0,131.0
-137.2,256,50.698401,0.0,204.0,119.0
-134.2,256,51.184406,0.0,211.0,108.0
-112.4,256,51.672321,0.0,230.0,136.0
-108.8,256,52.168461,0.0,203.0,131.0
-103.4,256,52.664392,0.0,215.0,138.0
-127.2,256,53.170329,0.0,225.0,129.0
-97.6,256,53.670449,0.0,232.0,156.0
-133.6,256,54.166504,0.0,220.0,128.0
-132.4,256,54.660915,0.0,212.0,128.0
-109.8,256,55.167112,0.0,231.0,146.0
-115.8,256,55.663184,0.0,206.0,125.0
-93.6,256,56.160556,0.0,221.0,151.0
-103.8,256,56.662647,0.0,233.0,137.0
-94.0,256,57.166025,0.0,216.0,152.0
-119.4,256,57.691279,0.0,223.0,126.0
-93.0,256,58.187,0.0,227.0,153.0
-83.0,256,58.696779,0.0,217.0,165.0
-118.4,256,59.205228,0.0,220.0,132.0
-133.2,256,59.713885,0.0,214.0,128.0
-100.0,256,60.224392,0.0,234.0,157.0
-120.6,256,60.727403,0.0,233.0,127.0
-115.6,256,61.228374,0.0,217.0,138.0
-108.8,256,61.734947,0.0,231.0,150.0
-94.4,256,62.246969,0.0,217.0,162.0
-92.2,256,62.765753,0.0,224.0,165.0
-90.8,256,63.280561,0.0,233.0,162.0
-107.4,256,63.790055,0.0,213.0,142.0
-73.8,256,64.306547,0.0,234.0,177.0
-105.0,256,64.822189,0.0,220.0,155.0
-77.4,256,65.344382,0.0,212.0,163.0
-95.0,256,65.855571,0.0,234.0,155.0
-95.4,256,66.374709,0.0,234.0,157.0
-74.6,256,66.893609,0.0,227.0,170.0
-67.8,256,67.414398,0.0,223.0,179.0
-86.6,256,67.937284,0.0,221.0,155.0
-88.2,256,68.454549,0.0,233.0,169.0
-92.2,256,68.97493,0.0,214.0,161.0
-70.4,256,69.504867,0.0,230.0,170.0
-89.2,256,70.020914,0.0,220.0,158.0
-74.4,256,70.543848,0.0,234.0,176.0
-72.4,256,71.066016,0.0,233.0,178.0
-88.8,256,71.586013,0.0,234.0,163.0
-85.2,256,72.106475,0.0,220.0,165.0
-64.0,256,72.638549,0.0,234.0,185.0
-73.2,256,73.16756,0.0,214.0,168.0
-67.4,256,73.68938,0.0,234.0,181.0
-96.0,256,74.217547,0.0,224.0,173.0
-61.6,256,74.742933,0.0,234.0,193.0
-52.2,256,75.277375,0.0,234.0,194.0
-57.0,256,75.816629,0.0,229.0,184.0
-53.0,256,76.352339,0.0,221.0,186.0
-62.0,256,76.889255,0.0,213.0,192.0
-69.6,256,77.423985,0.0,233.0,178.0
-58.8,256,77.950634,0.0,231.0,183.0
-48.8,256,78.482859,0.0,219.0,195.0
-63.4,256,79.020381,0.0,234.0,187.0
-57.2,256,79.559362,0.0,234.0,193.0
-66.4,256,80.097781,0.0,234.0,189.0
-83.2,256,80.630275,0.0,233.0,172.0
-66.0,256,81.161342,0.0,231.0,179.0
-61.2,256,81.701113,0.0,220.0,192.0
-37.2,256,82.249295,0.0,234.0,213.0
-47.6,256,82.789871,0.0,233.0,206.0
-43.2,256,83.33194,0.0,234.0,202.0
-40.8,256,83.879113,0.0,232.0,208.0
-39.8,256,84.426775,0.0,234.0,215.0
-37.4,256,84.975773,0.0,208.0,199.0
-83.4,256,85.513442,0.0,233.0,180.0
-35.0,256,86.060703,0.0,234.0,215.0
-49.8,256,86.630831,0.0,231.0,211.0
-48.8,256,87.183642,0.0,234.0,216.0
-16.2,256,87.745986,0.0,233.0,229.0
-20.6,256,88.305597,0.0,234.0,227.0
-30.6,256,88.863606,0.0,214.0,213.0
-32.4,256,89.41368,0.0,234.0,220.0
-28.0,256,89.971521,0.0,225.0,213.0
-30.6,256,90.526742,0.0,218.0,223.0
-18.2,256,91.082601,0.0,233.0,233.0
-35.6,256,91.635025,0.0,214.0,218.0
-40.6,256,92.180836,0.0,231.0,215.0
-12.0,256,92.742969,0.0,234.0,233.0
-18.4,256,93.301715,0.0,227.0,235.0
-32.0,256,93.859645,0.0,214.0,220.0
-29.4,256,94.414302,0.0,233.0,230.0
-11.2,256,94.969614,0.0,233.0,235.0
-33.8,256,95.528418,0.0,233.0,225.0
-22.8,256,96.081965,0.0,234.0,224.0
-19.8,256,96.636561,0.0,221.0,235.0
-22.8,256,97.193097,0.0,215.0,226.0
-7.2,256,97.7534,0.0,226.0,233.0
-31.2,256,98.311807,0.0,234.0,226.0
-22.8,256,98.872725,0.0,230.0,231.0
-21.4,256,99.426976,0.0,234.0,233.0
-18.4,256,99.992955,0.0,234.0,230.0
-23.4,256,100.558625,0.0,234.0,235.0
-19.8,256,101.11989,0.0,233.0,235.0
-8.6,256,101.675788,0.0,234.0,233.0
-6.8,256,102.235855,0.0,200.0,237.0
-32.4,256,102.802026,0.0,234.0,235.0
-28.2,256,103.355338,0.0,214.0,231.0
-13.4,256,103.917705,0.0,234.0,235.0
-21.2,256,104.477335,0.0,234.0,225.0
-14.6,256,105.044136,0.0,234.0,241.0
-14.8,256,105.610696,0.0,234.0,230.0
-15.4,256,106.179333,0.0,234.0,237.0
-20.6,256,106.738939,0.0,234.0,230.0
-5.0,256,107.30233,0.0,234.0,245.0
-39.4,256,107.866468,0.0,187.0,221.0
-6.4,256,108.430914,0.0,211.0,242.0
-23.6,256,108.988297,0.0,234.0,230.0
-8.6,256,109.555753,0.0,234.0,242.0
-22.6,256,110.115054,0.0,231.0,233.0
-17.6,256,110.67119,0.0,219.0,227.0
-18.4,256,111.237874,0.0,214.0,234.0
-14.0,256,111.800577,0.0,234.0,236.0
-18.8,256,112.36174,0.0,233.0,237.0
-23.2,256,112.920396,0.0,234.0,225.0
-19.4,256,113.474974,0.0,234.0,233.0
-28.6,256,114.026296,0.0,234.0,223.0
-16.2,256,114.588498,0.0,234.0,237.0
-6.4,256,115.148023,0.0,231.0,237.0
-33.8,256,115.701618,0.0,234.0,225.0
-14.0,256,116.256943,0.0,234.0,236.0
-5.8,256,116.820849,0.0,234.0,240.0
-17.4,256,117.377623,0.0,234.0,239.0
-20.4,256,117.94366,0.0,233.0,229.0
-30.6,256,118.494398,0.0,234.0,228.0
-23.8,256,119.047668,0.0,214.0,223.0
-28.0,256,119.606016,0.0,233.0,238.0
-29.0,256,120.161996,0.0,234.0,237.0
-22.0,256,120.710904,0.0,233.0,226.0
-16.4,256,121.276267,0.0,233.0,240.0
-11.4,256,121.834379,0.0,214.0,234.0
-51.0,256,122.390998,0.0,214.0,235.0
-23.4,256,122.958697,0.0,234.0,236.0
-15.2,256,123.523382,0.0,234.0,236.0
-14.4,256,124.097946,0.0,212.0,231.0
-18.2,256,124.658335,0.0,234.0,233.0
-17.8,256,125.223001,0.0,234.0,241.0
-14.8,256,125.808403,0.0,215.0,234.0
-10.2,256,126.375451,0.0,233.0,239.0
-17.4,256,126.959038,0.0,229.0,235.0
-14.6,256,127.520844,0.0,213.0,232.0
-14.0,256,128.092882,0.0,233.0,243.0
-20.2,256,128.650224,0.0,210.0,228.0
-7.0,256,129.214973,0.0,194.0,235.0
-26.4,256,129.770069,0.0,227.0,222.0
-25.4,256,130.324825,0.0,234.0,224.0
-18.2,256,130.882383,0.0,223.0,227.0
-17.8,256,131.441919,0.0,233.0,241.0
-13.4,256,132.008154,0.0,234.0,247.0
-11.8,256,132.56312,0.0,234.0,243.0
-25.8,256,133.121007,0.0,214.0,237.0
-13.8,256,133.686499,0.0,234.0,241.0
-11.2,256,134.242401,0.0,231.0,235.0
-21.4,256,134.799492,0.0,231.0,228.0
-16.4,256,135.36064,0.0,234.0,234.0
-12.0,256,135.923433,0.0,234.0,238.0
-16.8,256,136.489691,0.0,233.0,237.0
-12.4,256,137.057698,0.0,231.0,236.0
-12.2,256,137.620815,0.0,233.0,233.0
-29.4,256,138.179421,0.0,225.0,226.0
-8.6,256,138.74093,0.0,234.0,239.0
-8.6,256,139.297487,0.0,234.0,239.0
-18.8,256,139.852293,0.0,212.0,230.0
-27.2,256,140.416683,0.0,233.0,235.0
-31.6,256,140.97395,0.0,203.0,223.0
-21.8,256,141.533737,0.0,208.0,226.0
-22.4,256,142.092889,0.0,212.0,228.0
-25.6,256,142.661057,0.0,234.0,236.0
-19.8,256,143.219448,0.0,232.0,223.0
-11.6,256,143.789481,0.0,234.0,236.0
-13.8,256,144.352659,0.0,234.0,237.0
-13.4,256,144.914109,0.0,234.0,237.0
-10.2,256,145.486297,0.0,234.0,239.0
-25.8,256,146.048599,0.0,218.0,220.0
-20.4,256,146.63035,0.0,234.0,228.0
-7.6,256,147.206555,0.0,231.0,239.0
-54.8,256,147.764611,0.0,214.0,215.0
-8.2,256,148.335647,0.0,234.0,241.0
-9.2,256,148.897443,0.0,234.0,240.0
-16.8,256,149.45162,0.0,234.0,230.0
-11.8,256,150.007615,0.0,232.0,238.0
-18.2,256,150.563224,0.0,234.0,239.0
-26.0,256,151.118316,0.0,226.0,232.0
