r,l,t,is_success,dead_loop_events,wall_collision_count
-192.0,256,1.55058,0.0,217.0,64.0
-181.0,256,2.465678,0.0,230.0,73.0
-199.0,256,3.379614,0.0,226.0,55.0
-204.0,256,4.294266,0.0,224.0,50.0
-205.0,256,5.217458,0.0,216.0,51.0
-184.0,256,6.1341,0.0,214.0,72.0
-193.0,256,7.05135,0.0,234.0,63.0
-197.0,256,7.969597,0.0,234.0,59.0
-197.0,256,9.528586,0.0,226.0,59.0
-195.0,256,10.450971,0.0,186.0,61.0
-191.0,256,11.364905,0.0,198.0,65.0
-197.0,256,12.28154,0.0,181.0,59.0
-201.0,256,13.198277,0.0,182.0,55.0
-195.0,256,14.118385,0.0,198.0,59.0
-191.0,256,15.034501,0.0,233.0,61.0
-200.0,256,15.951628,0.0,197.0,54.0
-158.0,256,17.346827,0.0,232.0,94.0
-183.0,256,18.26209,0.0,184.0,71.0
-180.0,256,19.180617,0.0,184.0,76.0
-177.0,256,20.096022,0.0,188.0,79.0
-183.0,256,21.009687,0.0,211.0,69.0
-175.0,256,21.925136,0.0,154.0,79.0
-178.0,256,22.846872,0.0,172.0,78.0
-175.0,256,23.767362,0.0,234.0,81.0
-142.0,256,25.167134,0.0,196.0,112.0
-149.0,256,26.083781,0.0,192.0,107.0
-174.0,256,27.000257,0.0,174.0,80.0
-168.0,256,27.916275,0.0,138.0,88.0
-166.0,256,28.835017,0.0,145.0,90.0
-150.0,256,29.75158,0.0,193.0,104.0
-158.0,256,30.665496,0.0,172.0,98.0
-167.0,256,31.579082,0.0,107.0,87.0
-149.0,256,32.977786,0.0,135.0,105.0
-127.0,256,33.893036,0.0,190.0,127.0
-112.0,256,34.810266,0.0,212.0,144.0
-121.0,256,35.723691,0.0,205.0,133.0
-132.0,256,36.642176,0.0,162.0,120.0
-117.0,256,37.558776,0.0,196.0,137.0
-140.0,256,38.472784,0.0,173.0,116.0
-144.0,256,39.391454,0.0,230.0,112.0
-116.0,256,40.7909,0.0,171.0,136.0
-101.0,256,41.712391,0.0,132.0,153.0
-98.0,256,42.729485,0.0,202.0,154.0
-125.0,256,43.642761,0.0,153.0,131.0
-113.0,256,44.557826,0.0,145.0,141.0
-129.0,256,45.47732,0.0,157.0,127.0
-115.0,256,46.504788,0.0,157.0,137.0
-118.0,256,47.443359,0.0,154.0,136.0
-76.0,256,48.864364,0.0,210.0,180.0
-90.0,256,49.792994,0.0,185.0,164.0
-94.0,256,50.729376,0.0,188.0,160.0
-65.0,256,51.652606,0.0,212.0,189.0
-66.0,256,52.586882,0.0,225.0,188.0
-92.0,256,53.521368,0.0,199.0,164.0
-80.0,256,54.450895,0.0,180.0,176.0
-65.0,256,55.395582,0.0,195.0,187.0
-79.0,256,56.813056,0.0,187.0,177.0
-77.0,256,57.737288,0.0,152.0,179.0
-97.0,256,58.660397,0.0,140.0,159.0
-44.0,256,59.576645,0.0,234.0,212.0
-78.0,256,60.492099,0.0,164.0,178.0
-83.0,256,61.406072,0.0,175.0,173.0
-68.0,256,62.322577,0.0,189.0,188.0
-99.0,256,63.239333,0.0,153.0,155.0
-75.0,256,64.640261,0.0,154.0,181.0
-74.0,256,65.558546,0.0,201.0,182.0
-30.0,256,66.477382,0.0,234.0,226.0
-35.0,256,67.393374,0.0,216.0,221.0
-53.0,256,68.310367,0.0,201.0,203.0
-63.0,256,69.226159,0.0,220.0,189.0
-76.0,256,70.144862,0.0,173.0,178.0
-72.0,256,71.066668,0.0,166.0,184.0
-33.0,256,72.466752,0.0,224.0,223.0
-15.0,256,73.389183,0.0,234.0,241.0
-31.0,256,74.313969,0.0,214.0,225.0
-6.0,256,75.230285,0.0,234.0,250.0
-22.0,256,76.14891,0.0,234.0,234.0
-21.0,256,77.066225,0.0,234.0,235.0
-51.0,256,77.982426,0.0,179.0,201.0
-24.0,256,78.898377,0.0,234.0,232.0
-24.0,256,80.296633,0.0,204.0,228.0
-16.0,256,81.215481,0.0,234.0,240.0
-20.0,256,82.135353,0.0,223.0,234.0
-22.0,256,83.056728,0.0,233.0,234.0
-9.0,256,83.978469,0.0,233.0,247.0
-27.0,256,84.89929,0.0,194.0,229.0
-16.0,256,85.817324,0.0,234.0,240.0
-25.0,256,86.735146,0.0,234.0,231.0
-9.0,256,88.138782,0.0,234.0,247.0
-13.0,256,89.054136,0.0,234.0,243.0
-8.0,256,89.969917,0.0,234.0,248.0
-4.0,256,90.885773,0.0,234.0,252.0
-18.0,256,91.805457,0.0,234.0,238.0
-12.0,256,92.723666,0.0,234.0,244.0
-7.0,256,93.640603,0.0,234.0,247.0
-17.0,256,94.57729,0.0,212.0,239.0
-8.0,256,95.976621,0.0,234.0,246.0
-7.0,256,96.891217,0.0,234.0,249.0
-16.0,256,97.81518,0.0,234.0,240.0
-10.0,256,98.731742,0.0,234.0,246.0
-3.0,256,99.647384,0.0,234.0,253.0
-3.0,256,100.565405,0.0,234.0,253.0
-11.0,256,101.482683,0.0,234.0,245.0
-18.0,256,102.400904,0.0,223.0,236.0
-12.0,256,103.81768,0.0,233.0,244.0
-5.0,256,104.764328,0.0,234.0,249.0
-9.0,256,105.784403,0.0,234.0,247.0
-11.0,256,106.708637,0.0,214.0,243.0
-6.0,256,107.63238,0.0,234.0,250.0
-11.0,256,108.550857,0.0,214.0,245.0
-14.0,256,109.470299,0.0,234.0,240.0
-22.0,256,110.388241,0.0,195.0,234.0
-32.0,256,111.787492,0.0,189.0,222.0
-8.0,256,112.707283,0.0,231.0,248.0
-3.0,256,113.625705,0.0,234.0,253.0
-10.0,256,114.54324,0.0,234.0,246.0
