time/total_timesteps,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,phase
2048,,,,,,1
4096,-1.0894308239221573,10.0,109.884339094162,31.33053398132324,-0.011038584736525,1
6144,-1.0594809144735335,20.0,86.94149193763732,29.274185180664062,-0.0160695135651621,1
8192,-0.9941323459148408,30.0,69.68156423568726,25.937986373901367,-0.0235122511163353,1
10240,-0.8952261380851269,40.0,54.87664113044739,18.745229721069336,-0.0193895071395672,1
12288,-0.7806540854275227,50.0,33.13733792304993,12.977447509765623,-0.0180479391943663,1
14336,-0.679112470895052,60.0,23.47997535467148,7.383293151855469,-0.0146773437736555,1
16384,-0.5789914473891258,70.0,14.088127553462982,5.826103210449219,-0.0139185488515067,1
18432,-0.4894932776689529,80.0,12.33598382472992,4.777195453643799,-0.012119798961794,1
20480,-0.3809593807905912,90.0,8.940900444984436,3.571878671646118,-0.0135306436917744,1
22528,-0.3128899592906237,100.0,8.046179622411728,3.726449728012085,-0.0087312924733851,1
24576,-0.2717019390314817,110.0,11.394418156147005,5.239488124847412,-0.0096110008133109,1
26624,-0.2360894108191132,120.0,5.960635659098625,2.7633328437805176,-0.0071086596522945,1
28672,-0.1760578531771898,130.0,5.284767436981201,1.814792513847351,-0.0063044461770914,1
30720,-0.1471816029399633,140.0,4.348127797245979,1.4269311428070068,-0.0037333997956011,1
32768,-0.1060893447138369,150.0,8.301229268312454,5.070383548736572,-0.0040672130184248,1
34816,-0.0894629798829555,160.0,4.924488350749016,1.8925344944000244,-0.0022599855961743,1
36864,-0.0693926682230085,170.0,1.949933993816376,0.3078784644603729,-0.0023348679998889,1
38912,-0.0496488571166992,180.0,3.0925408601760864,1.1043132543563845,-0.0022697062522638,1
40960,-0.0350343267666175,190.0,1.9554262451827529,0.2516765594482422,-0.0020611856598407,1
43008,-0.0242039304925128,200.0,2.2617055118083953,0.9580932259559632,-0.002461977628991,1
45056,-0.0169373538927175,210.0,0.2994112527929246,0.0281914044171571,-0.0010905655886745,1
47104,-0.010844318231102,220.0,0.4776708196848631,0.1953555643558502,-0.0011767789081204,1
49152,-0.0081531303469091,230.0,0.2273109672125429,0.1377373784780502,-0.0001545646635349,1
51200,-0.007211152621312,240.0,0.4914483269909396,0.1117259040474891,-0.0001802696438971,1
53248,-0.0078899022482801,250.0,0.4823039525421336,0.4495701789855957,7.944647222757339e-07,1
55296,-0.0069311179453507,260.0,0.3951915818150155,0.3951961696147918,-0.0001535483635962,1
57344,-0.0066512595280073,270.0,0.1625955920491833,0.10752435028553,1.9633444026112557e-08,1
59392,-0.0046786505088675,280.0,0.392187034804374,0.1096540987491607,-0.0013877569843316,1
61440,-0.0035061254980973,290.0,0.3357369888981338,0.120672769844532,-0.0002669728186447,1
63488,-0.0027303390495944,300.0,0.0155110428400803,0.007683128118515,-9.959330782294273e-08,1
65536,-0.0024940904928371,310.0,0.0198373960884055,0.0033747041597962,-0.0007452112680766,1
67584,-0.0024776129197562,320.0,0.2128717114275787,0.0190336909145116,-8.863280527293682e-07,1
69632,-0.0017443708871724,330.0,0.0103005220677005,0.0060439435765147,-0.0008174582326319,1
71680,-0.0015638872588169,340.0,0.0317897983142756,0.0005473605124279,-3.000954166054726e-07,1
73728,-0.001574790860468,350.0,0.083247914398089,0.000656523334328,-2.280576154589653e-08,1
75776,-0.0016050325648393,360.0,0.0492528396884154,0.0003602429642342,-2.9319198802113532e-08,1
77824,-0.0013396727459621,370.0,0.0775302074878709,0.1240158379077911,-0.0003678932844195,1
79872,-0.0012838015405577,380.0,0.1964559796644607,0.1670050770044326,-9.145005606114865e-08,1
81920,-0.0012927790157846,390.0,0.3513639351062011,0.0682877451181411,-1.1984957382082941e-08,1
83968,-0.0012864707998232,400.0,0.2707172934897244,0.3032130897045135,-4.1610328480601313e-07,1
86016,-0.00130451242876,410.0,0.0015933819384372,0.0004524540854617,-5.3853727877140054e-08,1
88064,-0.0013351261266507,420.0,0.0037334729484427,0.0003433722595218,-2.939661499112845e-07,1
90112,-0.0013412769476417,430.0,0.143513193372928,0.0566640868782997,-5.7509168982505805e-09,1
92160,-0.0013873053219867,440.0,0.0299603270897023,5.319083720678464e-05,-4.889443516731262e-08,1
94208,-0.0014125902613159,450.0,0.1035639186435219,0.0008312448044307,1.1717202141880991e-08,1
96256,-0.0014360581684741,460.0,0.1365179514390547,0.2029030621051788,1.0139774531126022e-08,1
98304,-0.0014484275190625,470.0,0.0012463159860089,0.0001236527168657,-7.58038368076086e-08,1
100352,-0.0014903759423759,480.0,0.1407275974550429,0.0009672587038949,-1.7246929928660393e-08,1
102400,-0.0015204374998575,490.0,0.1064071070904901,0.0004725324106402,-3.15025681629777e-07,1
104448,-0.0015550013093161,500.0,0.0017191589171488,0.0017033295007422,-1.2728851288557056e-07,1
106496,-0.0015805328803253,510.0,0.0040099694593664,0.0016768510686233,-2.68442090600729e-07,1
108544,-0.0016655549072311,520.0,0.420317818026524,0.2280908375978469,4.140892997384071e-08,1
110592,-0.0017213913524756,530.0,0.2589776721346425,0.0261474326252937,-4.0745362639427185e-08,1
112640,-0.0012507509527495,540.0,0.1758406356500927,0.0679249614477157,-0.0001719638297799,1
114688,-0.0010799146009958,550.0,0.1587660101457004,0.0021173425484448,9.255018085241318e-09,1
116736,-0.0011234693796723,560.0,0.58971591356094,0.3878312706947326,-1.8987338989973068e-08,1
118784,-0.0011291095943306,570.0,0.067072094678042,0.052942045032978,-1.6035919543355702e-07,1
120832,-0.0011559771170141,580.0,0.2733673383103451,0.1417214423418045,-2.9051443561911584e-08,1
122880,-0.0011966936741373,590.0,0.2815958778272033,0.0090643242001533,-3.498280420899391e-08,1
124928,-0.0012382910965243,600.0,0.3297326880678156,0.2608730792999267,3.381865099072456e-09,1
126976,-0.0012591139107826,610.0,0.0045214802597001,0.0032292685937136,-7.153721526265144e-08,1
129024,-0.0013019087069551,620.0,0.1850411016261205,0.0012349870521575,-2.6921043172478676e-08,1
131072,-0.0013414202243438,630.0,0.0097078447994135,0.0001929273130372,-3.927852958440781e-08,1
133120,-0.0013774855280644,640.0,0.0339971347920254,0.1066426858305931,7.581547833979131e-09,1
135168,-0.0008244198303145,650.0,0.8060584369814023,0.2728475928306579,-0.000814483204158,1
137216,-0.0006619880114158,660.0,0.2301956880226498,0.0812247395515441,-3.7450809031724935e-08,1
139264,-0.0006679962178168,670.0,0.1540621206921059,0.0014187491033226,-1.2852251529693604e-08,1
141312,-0.0006847899036074,680.0,0.0865612136432901,0.2250964194536209,-3.0850060284137726e-08,1
143360,-0.0004403936109156,690.0,0.2726150753471302,0.1325344741344452,-0.0004732615314424,1
145408,-0.0003918393183994,700.0,0.0993480429740884,0.0019323275191709,-6.647314876317978e-08,1
147456,-0.0006866178933705,710.0,0.0396552426202106,0.0128033496439456,-0.0004862439178396,1
149504,-0.000769338588725,720.0,0.0875785749551141,0.0826354026794433,-2.789311110973358e-08,1
151552,-0.0007874457012803,730.0,0.2709703668602742,0.0810504034161567,-4.6411878429353245e-08,1
153600,-0.0007824229942343,740.0,0.2525541276365402,0.1217415183782577,1.257285475730896e-09,1
155648,-0.0007860417048505,750.0,0.6548732142080553,0.0058349231258034,-6.868503987789153e-10,1
157696,-0.0008005973460967,760.0,0.2402555554144783,0.1066011041402816,-2.9549701139330866e-07,1
159744,-0.0007952586995088,770.0,0.1497689087700564,0.0114379450678825,2.9639340937137603e-08,1
161792,-0.000585800744011,780.0,0.0646320782630937,0.1083245947957038,-0.0006773377244826,1
163840,-0.0005270726658636,790.0,0.2891736995079554,0.0872722342610359,-1.5937257558107377e-08,1
165888,-0.0005343865603208,800.0,0.14754062523225,0.0017276578582823,1.2654345482587816e-08,1
167936,-0.0005369368052924,810.0,0.1315055825056333,0.0031890161335468,8.579809218645096e-09,1
169984,-0.0005390912003349,820.0,0.0674959458002376,0.0021079329308122,-8.504139259457588e-09,1
172032,-0.0005504650151124,830.0,0.0028545684584969,0.000156995942234,9.26025677472353e-08,1
174080,-0.0005513601769052,840.0,0.0092293981331749,0.0003566230006981,-5.149340722709895e-08,1
176128,-0.0005614724235783,850.0,0.0671721793523829,4.866500967182219e-05,2.0606967154890298e-08,1
178176,-0.0003607955193729,860.0,0.1768959837238071,0.0075308019295334,-0.0005878335621673,1
180224,-0.0002990668162965,870.0,0.4576414532028138,0.2575159072875976,-1.7229467630386351e-09,1
182272,-0.000301574376499,880.0,0.0303786521642905,0.0001662949216552,-8.92265234142542e-08,1
