r,l,t,is_success,dead_loop_events,wall_collision_count
-216.8,256,1.08333,0.0,234.0,46.0
-207.8,256,1.508069,0.0,205.0,51.0
-216.0,256,1.9286,0.0,187.0,48.0
-176.4,256,2.339634,0.0,217.0,68.0
-194.0,256,2.757557,0.0,234.0,62.0
-229.0,256,3.163678,0.0,233.0,37.0
-209.0,256,3.59038,0.0,225.0,47.0
-164.2,256,4.003454,0.0,222.0,80.0
-201.2,256,4.422563,0.0,234.0,56.0
-199.0,256,4.849546,0.0,225.0,65.0
-199.4,256,5.266872,0.0,234.0,61.0
-188.0,256,5.701528,0.0,229.0,58.0
-196.2,256,6.117911,0.0,220.0,57.0
-224.6,256,6.535137,0.0,203.0,51.0
-180.8,256,6.946395,0.0,190.0,62.0
-181.4,256,7.366846,0.0,196.0,74.0
-197.0,256,7.798374,0.0,234.0,75.0
-206.6,256,8.223717,0.0,220.0,55.0
-206.2,256,8.648207,0.0,200.0,55.0
-186.2,256,9.07463,0.0,234.0,65.0
-176.2,256,9.494462,0.0,191.0,75.0
-190.6,256,9.919334,0.0,231.0,55.0
-171.2,256,10.343524,0.0,223.0,80.0
-189.8,256,10.766682,0.0,207.0,53.0
-191.2,256,11.188841,0.0,234.0,60.0
-186.2,256,11.610168,0.0,214.0,59.0
-202.4,256,12.045326,0.0,175.0,61.0
-175.4,256,12.473998,0.0,234.0,77.0
-180.4,256,12.906865,0.0,194.0,70.0
-188.8,256,13.333567,0.0,200.0,62.0
-182.8,256,13.758399,0.0,215.0,63.0
-179.8,256,14.184783,0.0,200.0,71.0
-185.2,256,14.613742,0.0,181.0,70.0
-188.4,256,15.044861,0.0,202.0,72.0
-184.6,256,15.476943,0.0,207.0,76.0
-168.8,256,15.906867,0.0,234.0,90.0
-194.0,256,16.338961,0.0,199.0,56.0
-173.0,256,16.775269,0.0,209.0,77.0
-186.6,256,17.212169,0.0,234.0,71.0
-192.8,256,17.643913,0.0,194.0,58.0
-177.0,256,18.077643,0.0,228.0,95.0
-183.2,256,18.509777,0.0,179.0,68.0
-204.0,256,18.941028,0.0,182.0,61.0
-172.0,256,19.383872,0.0,218.0,90.0
-194.8,256,19.821479,0.0,193.0,60.0
-169.2,256,20.259466,0.0,173.0,78.0
-165.8,256,20.695709,0.0,217.0,83.0
-167.4,256,21.145537,0.0,215.0,79.0
-176.0,256,21.593436,0.0,213.0,85.0
-186.2,256,22.032858,0.0,200.0,65.0
-194.0,256,22.473922,0.0,196.0,62.0
-174.6,256,22.923664,0.0,200.0,67.0
-163.8,256,23.375814,0.0,217.0,85.0
-164.4,256,23.817765,0.0,229.0,84.0
-153.0,256,24.259327,0.0,210.0,89.0
-150.8,256,24.71838,0.0,234.0,105.0
-152.6,256,25.169256,0.0,233.0,95.0
-197.0,256,25.61953,0.0,210.0,77.0
-164.6,256,26.086364,0.0,206.0,101.0
-160.0,256,26.536503,0.0,202.0,83.0
-172.0,256,26.987972,0.0,225.0,84.0
-162.8,256,27.440812,0.0,228.0,79.0
-156.0,256,27.898187,0.0,234.0,94.0
-159.0,256,28.345999,0.0,206.0,83.0
-136.8,256,28.814521,0.0,218.0,104.0
-147.4,256,29.273836,0.0,224.0,100.0
-146.8,256,29.737815,0.0,217.0,104.0
-161.0,256,30.193074,0.0,183.0,92.0
-167.0,256,30.654155,0.0,199.0,87.0
-183.4,256,31.10863,0.0,178.0,75.0
-150.2,256,31.566305,0.0,212.0,96.0
-151.0,256,32.031581,0.0,233.0,93.0
-152.6,256,32.500755,0.0,198.0,96.0
-140.4,256,32.969051,0.0,227.0,108.0
-138.0,256,33.444601,0.0,232.0,118.0
-157.2,256,33.912615,0.0,215.0,90.0
-144.8,256,34.37774,0.0,195.0,93.0
-151.2,256,34.842814,0.0,185.0,91.0
-136.0,256,35.315943,0.0,201.0,104.0
-157.6,256,35.777442,0.0,185.0,88.0
-159.6,256,36.247856,0.0,195.0,90.0
-146.4,256,36.717946,0.0,197.0,106.0
-149.8,256,37.200052,0.0,190.0,96.0
-132.0,256,37.675791,0.0,234.0,117.0
-156.2,256,38.144101,0.0,171.0,101.0
-145.2,256,38.61076,0.0,223.0,108.0
-148.2,256,39.084255,0.0,234.0,112.0
-112.8,256,39.581236,0.0,191.0,131.0
-175.8,256,40.05945,0.0,168.0,96.0
-164.0,256,40.53914,0.0,168.0,108.0
-157.4,256,41.010252,0.0,168.0,83.0
-12.8,218,41.419557,1.0,143.0,85.0
-118.6,256,41.898994,0.0,220.0,129.0
-150.2,256,42.371833,0.0,214.0,103.0
-17.0,225,42.790626,1.0,139.0,78.0
-138.8,256,43.274606,0.0,234.0,121.0
-139.2,256,43.749975,0.0,234.0,118.0
-144.6,256,44.224344,0.0,214.0,109.0
-147.4,256,44.708465,0.0,211.0,112.0
-159.8,256,45.190112,0.0,211.0,91.0
-108.8,256,45.685405,0.0,190.0,128.0
-161.8,256,46.173726,0.0,209.0,110.0
-145.2,256,46.659249,0.0,234.0,108.0
-132.2,256,47.144233,0.0,230.0,117.0
-123.6,256,47.638333,0.0,224.0,134.0
-113.2,256,48.138438,0.0,233.0,136.0
-119.2,256,48.62626,0.0,220.0,124.0
-122.8,256,49.104067,0.0,214.0,124.0
-116.6,256,49.597227,0.0,229.0,116.0
-125.6,256,50.087089,0.0,230.0,122.0
-120.8,256,50.580459,0.0,234.0,138.0
-129.6,256,51.076607,0.0,214.0,131.0
-98.8,256,51.581709,0.0,226.0,144.0
-124.2,256,52.079675,0.0,217.0,133.0
