train/loss,train/n_updates,time/total_timesteps,phase
0.1594156920909881,230,1024,1
0.1202727854251861,486,2048,1
0.0937233865261077,742,3072,1
0.0699979290366172,998,4096,1
0.1363739222288131,1254,5120,1
0.1634439975023269,1510,6144,1
0.1199629977345466,1766,7168,1
0.1508190929889679,2022,8192,1
0.1185854747891426,2278,9216,1
0.1482675075531005,2534,10240,1
0.1048780530691146,2790,11264,1
0.0739496201276779,3046,12288,1
0.1474922597408294,3302,13312,1
0.0885586738586425,3558,14336,1
0.1483182907104492,3814,15360,1
0.1361066401004791,4070,16384,1
0.1235080510377883,4326,17408,1
0.1839184612035751,4582,18432,1
0.1924540996551513,4838,19456,1
0.1288466602563858,5094,20480,1
0.1627337336540222,5350,21504,1
0.1631070077419281,5606,22528,1
0.1902541518211364,5853,23514,1
0.0953720957040786,6101,24507,1
0.1748276650905609,6357,25531,1
0.1806389689445495,6613,26555,1
0.0994028449058532,6869,27579,1
0.0787138193845748,7125,28603,1
0.0733644813299179,7381,29627,1
0.0667258873581886,7637,30651,1
0.0663603767752647,7893,31675,1
0.0777025818824768,8149,32699,1
0.0657810345292091,8405,33723,1
0.0707553699612617,8661,34747,1
0.1070436239242553,8917,35771,1
0.1112522035837173,9173,36795,1
0.0912441611289978,9429,37819,1
0.0885724574327468,9685,38843,1
0.057877667248249,9941,39867,1
0.0416462980210781,10197,40891,1
0.0650154799222946,10453,41915,1
0.0683641135692596,10709,42939,1
0.0483194217085838,10965,43963,1
0.0570540279150009,11221,44987,1
0.0729419291019439,11477,46011,1
0.0802185237407684,11733,47035,1
0.1143618822097778,11989,48059,1
0.1038190051913261,12245,49083,1
0.0331721790134906,12501,50107,1
0.0400437042117118,12757,51131,1
0.0671531558036804,13013,52155,1
0.0792431831359863,13269,53179,1
0.0573518835008144,13525,54203,1
0.0213569439947605,13781,55227,1
0.0964302718639373,14037,56251,1
0.0209131203591823,14293,57275,1
0.0822280794382095,14549,58299,1
0.0241474620997905,14805,59323,1
0.0190912745893001,15061,60347,1
0.0892631411552429,15317,61371,1
0.028343116864562,15573,62395,1
0.0126188024878501,15829,63419,1
0.0195464249700307,16085,64443,1
0.0473371185362339,16341,65467,1
0.0179253555834293,16597,66491,1
0.0549764409661293,16853,67515,1
0.0301732644438743,17109,68539,1
0.0391831323504447,17365,69563,1
0.0482098795473575,17621,70587,1
0.0109633281826972,17877,71611,1
0.0145621625706553,18133,72635,1
0.095762550830841,18389,73659,1
0.0367498025298118,18645,74683,1
0.0156704597175121,18901,75707,1
0.0171522013843059,19157,76731,1
0.0042550442740321,19413,77755,1
0.0071312077343463,19669,78779,1
0.0513566434383392,19925,79803,1
0.0410669632256031,20181,80827,1
0.0392995849251747,20437,81851,1
0.0281329620629549,20693,82875,1
0.0066687781363725,20949,83899,1
0.0343292616307735,21205,84923,1
0.0049543241038918,21461,85947,1
0.0245922971516847,21717,86971,1
0.0443998426198959,21973,87995,1
0.0678195282816886,22229,89019,1
0.0940728262066841,22472,89989,1
0.0317475721240043,22728,91013,1
0.011245958507061,22984,92037,1
0.062402069568634,23240,93061,1
0.0029843598604202,23496,94085,1
0.0677662715315818,23752,95109,1
0.0033177915029227,24008,96133,1
0.0250842664390802,24264,97157,1
0.0420109815895557,24520,98181,1
0.0033264486119151,24776,99205,1
0.0060840509831905,25032,100229,1
0.0445605851709842,25288,101253,1
0.0321439616382122,25544,102277,1
0.0819162651896476,25800,103301,1
0.0227956026792526,26056,104325,1
0.0690116956830024,26312,105349,1
0.0035680774599313,26568,106373,1
0.066470943391323,26824,107397,1
0.0245708003640174,27080,108421,1
0.002962325932458,27336,109445,1
0.0047750691883265,27592,110469,1
0.0728646665811538,27848,111493,1
0.0403555445373058,28104,112517,1
0.0487068705260753,28360,113541,1
0.0727627128362655,28616,114565,1
0.0509900599718093,28872,115589,1
0.0028118854388594,29128,116613,1
0.03572728484869,29384,117637,1
0.0114227244630455,29640,118661,1
0.0333562642335891,29896,119685,1
0.0348576717078685,30152,120709,1
0.0031903323251754,30408,121733,1
0.0418474562466144,30664,122757,1
0.0221858769655227,30920,123781,1
0.0237726420164108,31176,124805,1
0.0024433855433017,31432,125829,1
0.0265889558941125,31688,126853,1
0.0629940256476402,31944,127877,1
0.0082910079509019,32200,128901,1
0.023334102705121,32456,129925,1
0.0631104037165641,32712,130949,1
0.3704746067523956,32968,131973,1
0.0257884841412305,33224,132997,1
0.0023217471316456,33480,134021,1
0.0587167143821716,33736,135045,1
0.0019534619059413,33992,136069,1
0.0714568123221397,34248,137093,1
0.0014005901757627,34504,138117,1
0.0012373195495456,34760,139141,1
0.0071266670711338,35016,140165,1
0.007326460443437,35272,141189,1
0.0076215332373976,35528,142213,1
0.0065858559682965,35784,143237,1
0.0089567629620432,36040,144261,1
0.0008943788125179,36296,145285,1
0.0021747655700892,36552,146309,1
0.0736772641539573,36808,147333,1
0.0293728113174438,37064,148357,1
0.0596393048763275,37320,149381,1
0.0022113798186182,37576,150405,1
0.0321030244231224,37832,151429,1
0.028242664411664,38088,152453,1
0.0232706479728221,38344,153477,1
0.000730219297111,38600,154501,1
0.0030691414140164,38856,155525,1
0.0116408672183752,39112,156549,1
0.0028002664912492,39368,157573,1
0.0096923811361193,39624,158597,1
0.0263128913938999,39880,159621,1
0.0258046668022871,40136,160645,1
0.0119806341826915,40392,161669,1
0.0274946130812168,40648,162693,1
0.0601426102221012,40904,163717,1
0.057971566915512,41160,164741,1
0.0025631906464695,41416,165765,1
0.0547225251793861,41672,166789,1
0.0364812798798084,41928,167813,1
0.0053464462980628,42184,168837,1
0.0014395812759175,42440,169861,1
0.0254783127456903,42696,170885,1
0.0012111174874007,42952,171909,1
0.056604903191328,43208,172933,1
0.0402369685471057,43464,173957,1
0.0037539459299296,43720,174981,1
0.0337328426539897,43976,176005,1
0.0736545175313949,44232,177029,1
0.0649169608950614,44488,178053,1
0.0007000817568041,44744,179077,1
0.0043571949936449,45000,180101,1
0.0407952517271041,45256,181125,1
0.0324801616370677,45512,182149,1
0.0033259957563132,45768,183173,1
0.0624883361160755,46024,184197,1
0.0033261950593441,46280,185221,1
0.0381249077618122,46536,186245,1
0.0408439338207244,46792,187269,1
0.025775684043765,47048,188293,1
0.0254998225718736,47304,189317,1
0.0050943479873239,47560,190341,1
0.0235018897801637,47816,191365,1
0.0309841390699148,48072,192389,1
0.0016179946251213,48328,193413,1
0.065367966890335,48584,194437,1
0.0032457569614052,48840,195461,1
0.0630155429244041,49096,196485,1
0.0630543753504753,49352,197509,1
0.0237024500966072,49608,198533,1
0.003332968102768,49864,199557,1
0.0328543707728385,50120,200581,1
0.0524769574403762,50376,201605,1
0.0095114465802907,50632,202629,1
0.0304123777896165,50888,203653,1
0.002069724490866,51144,204677,1
0.0015644775703549,51400,205701,1
0.0013092331355437,51647,206691,1
0.0015074538532644,51903,207715,1
0.0380076952278614,52159,208739,1
0.0011485912837088,52415,209763,1
0.0068223886191844,52671,210787,1
0.0023834570311009,52927,211811,1
0.0315809212625026,53183,212835,1
0.0651787668466568,53439,213859,1
0.0032562538981437,53695,214883,1
0.0360388271510601,53951,215907,1
0.059632521122694,54207,216931,1
0.0410078018903732,54463,217955,1
0.0033793908078223,54719,218979,1
0.0070767113938927,54975,220003,1
0.0296577867120504,55231,221027,1
0.0021428742911666,55487,222051,1
0.002282686298713,55743,223075,1
0.0405042506754398,55999,224099,1
0.0041893990710377,56255,225123,1
0.0034917697776108,56511,226147,1
0.0267921481281518,56767,227171,1
0.0213983058929443,57023,228195,1
0.0391761697828769,57279,229219,1
0.0510326661169528,57535,230243,1
0.0230752658098936,57791,231267,1
0.0010716584511101,58047,232291,1
0.0206265039741992,58303,233315,1
0.0338033959269523,58559,234339,1
0.0231997240334749,58815,235363,1
0.048750165849924,59071,236387,1
0.0544619411230087,59327,237411,1
0.0316779650747776,59583,238435,1
0.0065463595092296,59839,239459,1
0.0011789025738835,60095,240483,1
0.0549013391137123,60351,241507,1
0.0352243110537529,60607,242531,1
0.0302044451236724,60863,243555,1
0.0023517643567174,61119,244579,1
0.0048525817692279,61375,245603,1
0.0371914245188236,61631,246627,1
0.0014073436614125,61887,247651,1
0.0079957852140069,62143,248675,1
0.0521946027874946,62399,249699,1
0.0396899990737438,230,1024,2
0.0300936102867126,486,2048,2
0.0419315919280052,742,3072,2
0.0303821265697479,998,4096,2
0.0715256333351135,1254,5120,2
0.0066866865381598,1510,6144,2
0.0388685055077075,1766,7168,2
0.0144004039466381,2022,8192,2
0.0390847325325012,2278,9216,2
0.0368500724434852,2534,10240,2
0.0060825352557003,2775,11204,2
0.0360582582652568,3031,12228,2
0.0266876388341188,3287,13252,2
0.0066382638178765,3543,14276,2
0.012518604286015,3799,15300,2
0.0433905720710754,4055,16324,2
0.0083909798413515,4311,17348,2
0.0053138630464673,4567,18372,2
0.0056148418225348,4823,19396,2
0.0339404605329036,5079,20420,2
0.0373784564435482,5335,21444,2
0.0334628149867057,5591,22468,2
0.0360583588480949,5834,23440,2
0.0671995729207992,6090,24464,2
0.0412308797240257,6346,25488,2
0.1040828078985214,6602,26512,2
0.0311568658798933,6858,27536,2
0.0393016636371612,7114,28560,2
0.0656034722924232,7370,29584,2
0.0073559205047786,7626,30608,2
0.0101374238729476,7882,31632,2
0.0357549972832202,8138,32656,2
0.0123842945322394,8394,33680,2
0.0131157282739877,8650,34704,2
0.0107508162036538,8906,35728,2
0.0148703344166278,9162,36752,2
0.07139453291893,9418,37776,2
0.0381222665309906,9674,38800,2
0.0277146100997924,9930,39824,2
0.0077047399245202,10186,40848,2
0.0371253117918968,10421,41788,2
0.0353927202522754,10677,42812,2
0.0636878311634063,10933,43836,2
0.0095101790502667,11189,44860,2
0.025434985756874,11445,45884,2
0.0353177711367607,11701,46908,2
0.0384198166429996,11957,47932,2
0.0066925683058798,12213,48956,2
0.0408758930861949,12469,49980,2
0.0055841756984591,12725,51004,2
0.1050749719142913,12981,52028,2
0.0691442713141441,13237,53052,2
0.0111476993188261,13493,54076,2
0.0694503039121627,13749,55100,2
0.034025102853775,14005,56124,2
0.0073177255690097,14261,57148,2
0.0054399985820055,14517,58172,2
0.0097909560427069,14773,59196,2
0.0664214789867401,15029,60220,2
0.0033458215184509,15285,61244,2
0.0393849238753318,15541,62268,2
0.0350133664906024,15797,63292,2
0.003220188897103,16053,64316,2
0.0596691146492958,16309,65340,2
0.00658689904958,16565,66364,2
0.035088375210762,16821,67388,2
0.0033745169639587,17077,68412,2
0.0599611960351467,17333,69436,2
0.0030801142565906,17589,70460,2
0.0087665319442749,17845,71484,2
0.033793069422245,18101,72508,2
0.0981012880802154,18357,73532,2
0.0368865057826042,18613,74556,2
0.0642191767692565,18869,75580,2
0.0408209189772605,19125,76604,2
0.0331511870026588,19381,77628,2
0.0026557226665318,19637,78652,2
0.0021703189704567,19893,79676,2
0.0422087796032428,20149,80700,2
0.0340709276497364,20405,81724,2
0.0680503100156784,20661,82748,2
0.0297999866306781,20917,83772,2
0.0250755064189434,21173,84796,2
0.0253595821559429,21429,85820,2
0.0302503667771816,21685,86844,2
0.0292477961629629,21941,87868,2
0.0326553471386432,22197,88892,2
0.0088453236967325,22449,89900,2
0.0080342851579189,22705,90924,2
0.0313874594867229,22961,91948,2
0.0036111706867814,23217,92972,2
0.0349429473280906,23473,93996,2
0.0340272225439548,23729,95020,2
0.0287672188133001,23985,96044,2
0.3808980882167816,24241,97068,2
0.0139074474573135,24497,98092,2
0.0094048725441098,24753,99116,2
0.0033924444578588,25009,100140,2
0.3777817487716675,25265,101164,2
0.0760872960090637,25521,102188,2
0.031487800180912,25777,103212,2
0.0039740740321576,26033,104236,2
0.0405157804489135,26289,105260,2
0.0346935279667377,26545,106284,2
0.0272515956312418,26801,107308,2
0.0079283863306045,27057,108332,2
0.0357499681413173,27313,109356,2
0.0278466530144214,27569,110380,2
0.0090314429253339,27825,111404,2
0.0076495902612805,28081,112428,2
0.0612193793058395,28337,113452,2
0.0082716178148984,28593,114476,2
0.0375071875751018,28849,115500,2
0.0283178240060806,29105,116524,2
0.0083275195211172,29361,117548,2
