rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,phase,phase_learning_rate_start,phase_learning_rate_end
0.0,1,-196.0,2048,7,283,256.0,,,,,,,,,,,1,0.0003,5e-05
0.0,2,-193.8125,4096,15,271,256.0,92.72120580673216,0.0541532635688781,10.0,0.0002994879999999,-0.013529396028025,-1.090763245522976,0.2,0.117236328125,24.743511199951172,0.008868201,1,0.0003,5e-05
0.0,3,-187.6,6144,23,267,256.0,92.71906681060791,0.0119061470031738,20.0,0.0002989759999999,-0.0185152556397952,-1.0599401250481606,0.2,0.216650390625,33.287532806396484,0.013691736,1,0.0003,5e-05
0.0,4,-179.77499999999998,8192,31,264,256.0,80.31144294738769,0.0040076971054077,30.0,0.0002984639999999,-0.0185298548138234,-0.992734196037054,0.2,0.220654296875,34.64476776123047,0.018251752,1,0.0003,5e-05
0.0,5,-170.395,10240,38,262,256.0,60.504574632644655,0.0015600323677062,40.0,0.000297952,-0.0219888984982389,-0.8831685654819011,0.2,0.246435546875,24.457603454589844,0.015962942,1,0.0003,5e-05
0.0,6,-162.34583333333333,12288,46,262,256.0,37.41243984699249,8.660554885864258e-05,50.0,0.0002974399999999,-0.0170195262762717,-0.7739136159420014,0.2,0.1904296875,12.931772232055664,0.01239203,1,0.0003,5e-05
0.0,7,-151.4,14336,54,262,256.0,31.808689022064208,-0.0035467147827148,60.0,0.0002969279999999,-0.0123581072781234,-0.6851879179477691,0.2,0.135400390625,12.176640510559082,0.008678508,1,0.0003,5e-05
0.0,8,-142.85312499999998,16384,62,261,256.0,12.058002388477323,-0.000308871269226,70.0,0.000296416,-0.0176552741322666,-0.5684864267706871,0.2,0.155615234375,4.938087463378906,0.007790338,1,0.0003,5e-05
0.0,9,-133.91666666666663,18432,70,260,256.0,14.108694183826447,0.0005005002021789,80.0,0.000295904,-0.0107603422482497,-0.4651278980076313,0.2,0.12197265625,4.9161272048950195,0.0072204527,1,0.0003,5e-05
0.0,10,-125.26249999999996,20480,78,260,256.0,11.262837171554564,0.000248908996582,90.0,0.0002953919999999,-0.0101729544461704,-0.3596053726971149,0.2,0.0869140625,5.409587860107422,0.0050859484,1,0.0003,5e-05
0.0,11,-116.52727272727272,22528,86,260,256.0,9.122685396671296,-4.470348358154297e-05,100.0,0.0002948799999999,-0.0062864787294529,-0.2755254611372947,0.2,0.055224609375,3.990084648132324,0.0023751853,1,0.0003,5e-05
0.0,12,-108.49583333333332,24576,94,260,256.0,4.636135703325271,0.00012868642807,110.0,0.000294368,-0.0081626784463878,-0.2409985842183232,0.2,0.04287109375,1.6089357137680054,0.0018544656,1,0.0003,5e-05
0.0,13,-98.288,26624,102,259,256.0,4.162060809135437,-3.576278686523438e-07,120.0,0.0002938559999999,-0.006292647490045,-0.1906490733847022,0.2,0.02744140625,1.7885717153549194,0.0014912575,1,0.0003,5e-05
0.0,14,-84.05000000000001,28672,110,259,256.0,7.979238116741181,0.0007041096687316,130.0,0.0002933439999999,-0.0047921767109073,-0.1602591037750244,0.2,0.023486328125,2.981389284133911,0.0012607438,1,0.0003,5e-05
0.0,15,-71.148,30720,118,259,256.0,2.7689089983701707,-0.0001823902130126,140.0,0.000292832,-0.0049761569825932,-0.1192290415987372,0.2,0.02109375,1.639265775680542,0.0019091133,1,0.0003,5e-05
0.0,16,-58.488,32768,126,259,256.0,5.678633770346641,-0.0487247705459594,150.0,0.00029232,-0.0041071930725593,-0.1074835988692939,0.2,0.017041015625,2.378455638885498,0.0011139439,1,0.0003,5e-05
0.0,17,-48.042,34816,134,259,256.0,2.0045115053653717,0.1154828667640686,160.0,0.0002918079999999,-0.0051424381294054,-0.0800230301916599,0.2,0.01328125,0.9716196060180664,0.0012002112,1,0.0003,5e-05
0.0,18,-38.646,36864,142,259,256.0,1.6813314840197564,0.0039405822753906,170.0,0.0002912959999999,-0.003986244770931,-0.0547671334818005,0.2,0.010546875,0.844452440738678,0.001124263,1,0.0003,5e-05
0.0,19,-30.156,38912,149,259,256.0,1.5155996162444354,-2.384185791015625e-05,180.0,0.000290784,-0.0022836025222204,-0.0400146765168756,0.2,0.007275390625,0.5539926886558533,0.0007831699,1,0.0003,5e-05
0.0,20,-23.904,40960,158,259,256.0,0.3741853495128452,0.3111597895622253,190.0,0.0002902719999999,-0.0010752880305517,-0.0330291949678212,0.2,0.00244140625,0.0835566446185112,0.00018622892,1,0.0003,5e-05
0.0,21,-18.106000000000005,43008,165,259,256.0,0.7196820236742496,-0.0091804265975952,200.0,0.0002897599999999,-0.0010960553714539,-0.0263180189300328,0.2,0.0021484375,0.3927162885665893,0.00013974772,1,0.0003,5e-05
0.0,22,-13.244000000000002,45056,173,259,256.0,0.2617948750732466,3.796815872192383e-05,210.0,0.0002892479999999,-0.0003534235293045,-0.0187880328856408,0.2,0.000439453125,0.0789825916290283,2.502618e-05,1,0.0003,5e-05
0.0,23,-10.534,47104,181,259,256.0,0.1323478130390867,0.0040820240974426,220.0,0.0002887359999999,-0.0003611015097703,-0.0176745539996773,0.2,0.000732421875,0.0150256138294935,5.9987244e-05,1,0.0003,5e-05
0.0,24,-8.814,49152,189,259,256.0,0.1053192493040114,0.1599734425544738,230.0,0.0002882239999999,-0.0017689975502435,-0.0124019180424511,0.2,0.002099609375,0.0146077098324894,0.00036765958,1,0.0003,5e-05
0.0,25,-7.197999999999999,51200,197,259,256.0,0.4266969425603747,-1.621246337890625e-05,240.0,0.0002877119999999,-0.0010172598122153,-0.0079088585043791,0.2,0.001025390625,0.1156841218471527,0.00014756576,1,0.0003,5e-05
0.0,26,-5.917999999999998,53248,205,258,256.0,0.224398156220559,1.5497207641601562e-06,250.0,0.0002871999999999,-0.0003285362268798,-0.0063626835879404,0.2,0.00029296875,0.0097017688676714,2.06822e-05,1,0.0003,5e-05
0.0,27,-4.706,55296,213,258,256.0,0.1411082717822864,0.0064280033111572,260.0,0.0002866879999999,-8.253846317529678e-08,-0.0063771492277737,0.2,0.0,0.1152925565838813,-2.3341272e-08,1,0.0003,5e-05
0.0,28,-3.386000000000001,57344,221,258,256.0,0.3395243864040821,0.0003002882003784,270.0,0.0002861759999999,-0.0009194113896228,-0.0051764961681328,0.2,0.001171875,0.0868421196937561,0.0001973965,1,0.0003,5e-05
0.0,29,-2.682,59392,229,258,256.0,0.2071794140734709,0.0218088030815124,280.0,0.000285664,-1.0763760656118393e-07,-0.0045573026698548,0.2,0.0,0.1340308934450149,-1.1117663e-08,1,0.0003,5e-05
0.0,30,-1.914,61440,237,258,256.0,0.0533007432997692,0.0767596364021301,290.0,0.0002851519999999,-0.0010058497777208,-0.0029827478429069,0.2,0.00078125,0.0052094245329499,0.00010956565,1,0.0003,5e-05
0.0,31,-1.666,63488,245,258,256.0,0.1363268699729815,0.0021959543228149,300.0,0.0002846399999999,-0.0009767815703526,-0.0017339178477413,0.2,0.001123046875,0.0530326217412948,0.00027038995,1,0.0003,5e-05
0.0,32,-1.5000000000000002,65536,253,258,256.0,0.4371401148207951,0.0216346383094787,310.0,0.000284128,-4.431931301951408e-08,-0.0015798553416971,0.2,0.0,0.0033340929076075,-3.3527613e-08,1,0.0003,5e-05
0.0,33,-1.3420000000000003,67584,261,258,256.0,0.0112205909492331,0.5498654246330261,320.0,0.0002836159999999,-3.747234586626291e-07,-0.0015238907697494,0.2,0.0,0.0013333274982869,-3.7427526e-08,1,0.0003,5e-05
0.0,34,-1.408,69632,269,258,256.0,0.0359360058893798,0.0391972064971923,330.0,0.0002831039999999,3.798049874603748e-09,-0.0014783562597585,0.2,0.0,0.0039149746298789,-5.957554e-08,1,0.0003,5e-05
0.0,35,-1.4980000000000004,71680,277,258,256.0,0.1730281378906511,-0.0015604496002197,340.0,0.0002825919999999,1.423177309334278e-08,-0.001509221328888,0.2,0.0,0.0750900134444236,-5.4074917e-08,1,0.0003,5e-05
0.0,36,-1.3200000000000005,73728,285,258,256.0,0.1412601768650347,5.8531761169433594e-05,350.0,0.00028208,-0.0004030988551676,-0.0011610322078922,0.2,0.000439453125,0.0030737346969544,5.415012e-05,1,0.0003,5e-05
0.0,37,-1.1120000000000003,75776,293,258,256.0,0.0844692317012231,7.253885269165039e-05,360.0,0.0002815679999999,-0.0010866663535125,-0.0007120802612917,0.2,0.00087890625,0.0035209071356803,0.0002837582,1,0.0003,5e-05
0.0,38,-1.1720000000000002,77824,301,258,256.0,0.0641015249824704,0.1031874418258667,370.0,0.0002810559999999,-6.638583727180959e-08,-0.0006712597802106,0.2,0.0,0.0017812626902014,0.0,1,0.0003,5e-05
0.0,39,-1.3020000000000005,79872,309,258,256.0,0.0828462101628247,0.0018627643585205,380.0,0.000280544,7.549533620476722e-09,-0.0006462912708229,0.2,0.0,0.0014568193582817,0.0,1,0.0003,5e-05
0.0,40,-1.198,81920,317,257,256.0,0.4963238074560649,0.0227100849151611,390.0,0.000280032,-9.324867278337478e-09,-0.0007032695211819,0.2,0.0,0.4000416100025177,0.0,1,0.0003,5e-05
0.0,41,-1.3139999999999998,83968,325,257,256.0,0.0391702391367289,0.3891232013702392,400.0,0.0002795199999999,-2.278102329000831e-08,-0.0006853427854366,0.2,0.0,0.0105453887954354,0.0,1,0.0003,5e-05
0.0,42,-1.35,86016,333,257,256.0,0.1848363361830706,0.0987390279769897,410.0,0.0002790079999999,-9.567884262651203e-09,-0.000680803200521,0.2,0.0,0.0412014909088611,0.0,1,0.0003,5e-05
0.0,43,-1.2779999999999998,88064,341,257,256.0,0.1332408927562937,0.392520546913147,420.0,0.000278496,-7.397611625492573e-08,-0.0006986961714574,0.2,0.0,0.2963791191577911,-1.4872057e-08,1,0.0003,5e-05
0.0,44,-1.398,90112,349,257,256.0,0.0872717904676392,0.4522688388824463,430.0,0.0002779839999999,-1.7200363799929622e-08,-0.0006971052214794,0.2,0.0,0.0742952227592468,-7.363269e-09,1,0.0003,5e-05
0.0,45,-1.464,92160,357,257,256.0,0.3023172865803644,0.1038756966590881,440.0,0.0002774719999999,-0.0002851654280675,-0.000590132488287,0.2,0.000244140625,0.5739511847496033,1.3788784e-05,1,0.0003,5e-05
0.0,46,-1.518,94208,365,257,256.0,0.0934956514465739,0.3046777248382568,450.0,0.00027696,1.735752448439598e-08,-0.0006192676526552,0.2,0.0,0.0032209737692028,0.0,1,0.0003,5e-05
0.0,47,-1.64,96256,373,257,256.0,0.0778761445384589,0.4425573945045471,460.0,0.000276448,-1.953565515577793e-07,-0.0005923845856159,0.2,0.0,0.001172344200313,-1.6880222e-09,1,0.0003,5e-05
0.0,48,-1.6339999999999997,98304,381,257,256.0,0.4660393165017013,0.1290894150733947,470.0,0.0002759359999999,-7.078051567077636e-09,-0.0006120833015302,0.2,0.0,0.0030817920342087,0.0,1,0.0003,5e-05
0.0,49,-1.632,100352,389,257,256.0,0.0487807593337493,0.1300380229949951,480.0,0.0002754239999999,-3.6309938877820966e-08,-0.0005881322118511,0.2,0.0,0.0001149591989815,-7.392373e-09,1,0.0003,5e-05
0.0,50,-1.7619999999999998,102400,399,256,256.0,0.137400359424646,0.068008005619049,490.0,0.000274912,-0.0006103858002461,-0.00040975388074,0.2,0.000439453125,0.1073490604758262,0.0001671369,1,0.0003,5e-05
0.0,51,-1.6800000000000004,104448,407,256,256.0,0.2278864510226412,0.1791144609451294,500.0,0.0002743999999999,-1.0262010619044305e-08,-0.0003974069222749,0.2,0.0,0.0081712743267416,0.0,1,0.0003,5e-05
0.0,52,-1.656,106496,416,255,256.0,0.2177934045321308,0.2317107319831848,510.0,0.0002738879999999,9.080395102500915e-10,-0.0003595929269067,0.2,0.0,0.3133029341697693,0.0,1,0.0003,5e-05
0.0,53,-1.5060000000000002,108544,425,255,256.0,0.2305609441536944,0.0126988291740417,520.0,0.000273376,-4.854518920183182e-09,-0.0003680750654893,0.2,0.0,0.0949017405509948,0.0,1,0.0003,5e-05
0.0,54,-1.418,110592,433,254,256.0,0.1358427659975859,0.0153803825378417,530.0,0.000272864,-6.577465683221817e-09,-0.00036396375217,0.2,0.0,0.1381888091564178,0.0,1,0.0003,5e-05
0.0,55,-1.554,112640,442,254,256.0,0.0602810161855813,0.1246238350868225,540.0,0.0002723519999999,4.4004991650581365e-09,-0.0003701666784763,0.2,0.0,0.1159501075744628,0.0,1,0.0003,5e-05
0.0,56,-1.7800000000000002,114688,450,254,256.0,0.2433161651970294,0.0502610206604003,550.0,0.0002718399999999,7.101334631443022e-10,-0.0003689918808959,0.2,0.0,0.0099138766527175,0.0,1,0.0003,5e-05
0.0,57,-1.4220000000000004,116736,459,254,256.0,0.3019877073646057,0.0729925632476806,560.0,0.000271328,1.3969838619232178e-09,-0.0003757268703338,0.2,0.0,0.6725452542304993,0.0,1,0.0003,5e-05
0.0,58,-1.5259999999999996,118784,467,253,256.0,0.0310729723823897,0.6365419626235962,570.0,0.000270816,-2.6990892365574836e-08,-0.0003832318423519,0.2,0.0,0.0174716655164957,0.0,1,0.0003,5e-05
0.0,59,-1.2760000000000002,120832,476,253,256.0,0.1447882374413893,0.2793110609054565,580.0,0.0002703039999999,-7.933704182505608e-09,-0.0003738554965821,0.2,0.0,0.0003803459694609,0.0,1,0.0003,5e-05
