time/total_timesteps,train/value_loss,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,phase
2048,,,,,,1
4096,86.13376564979554,-1.0897769659757617,21.264474868774418,-0.0174602455925196,10.0,1
6144,93.8642928123474,-1.0550457626581191,34.73178482055664,-0.0220212483429349,20.0,1
8192,76.75525455474853,-0.9826836735010148,31.653499603271484,-0.0246960950666107,30.0,1
10240,57.43087649345398,-0.8751539967954158,24.176746368408203,-0.0267055477481335,40.0,1
12288,32.050041103363036,-0.7439866796135902,11.412610054016112,-0.0267137825430836,50.0,1
14336,20.301510190963747,-0.6368196301162243,7.340419292449951,-0.0209230534732341,60.0,1
16384,6.76934397816658,-0.499597194045782,2.2661585807800293,-0.021968932764139,70.0,1
18432,7.147485077381134,-0.4372139189392328,2.7149434089660645,-0.0164305434678681,80.0,1
20480,4.879807859659195,-0.3164516095072031,2.439159393310547,-0.0158681661123409,90.0,1
22528,3.4358196943998336,-0.1632929269224405,1.1649160385131836,-0.0114802321011666,100.0,1
24576,2.8972642555832864,-0.1489901278167963,0.9440335035324096,-0.0078694809053558,110.0,1
26624,3.0050309181213377,-0.1032832692377269,0.8068044185638428,-0.0045233649259898,120.0,1
28672,2.388942340761423,-0.0783048489131033,0.4848874509334564,-0.0036135745729552,130.0,1
30720,1.4636969074606896,-0.0569517183583229,0.4981841742992401,-0.0044607958232518,140.0,1
32768,1.45164138302207,-0.0431418306659907,0.5669995546340942,-0.0040705533581785,150.0,1
34816,0.8680205833166837,-0.0310245617525652,0.2951139509677887,-0.0033949211181607,160.0,1
36864,0.3087081253528595,-0.0196912452345713,0.0923242941498756,-0.0019088336324784,170.0,1
38912,0.3759209737181663,-0.0151452464633621,0.2247303426265716,-0.0012427290901541,180.0,1
40960,0.2878220792859792,-0.0130653794505633,0.0825729221105575,-0.0012280901311896,190.0,1
43008,0.5454831754788756,-0.0100433938321657,0.3195481300354004,-0.0010830297018401,200.0,1
45056,0.1218179629184305,-0.0093808863661251,0.0845067054033279,-4.860805347561836e-07,210.0,1
47104,0.1209086553775705,-0.0094209652394056,0.0084253633394837,-0.0002480204508174,220.0,1
49152,0.1293529021088034,-0.0054513275506906,0.0327973328530788,-0.0012014404404908,230.0,1
51200,0.2637327613309025,-0.0036363793566124,0.1450124382972717,-0.0007176274433732,240.0,1
53248,0.0794028650736436,-0.0028403593576513,0.0474043600261211,-0.000329631747445,250.0,1
55296,0.0714654598617926,-0.0027363275818061,0.024754986166954,-8.35157698020339e-07,260.0,1
57344,0.467853445187211,-0.0019221849535824,0.1247843578457832,-0.0011469443445093,270.0,1
59392,0.111474000144517,-0.0017466912511736,0.0507448129355907,2.2037420421838762e-08,280.0,1
61440,0.0621433304389938,-0.0014079764368943,0.034243069589138,-0.0008948663104092,290.0,1
63488,0.1485654379124753,-0.0010474071124917,0.1623556166887283,-0.0005422078073024,300.0,1
65536,0.0859394641753169,-0.0010469773071235,0.0472948253154754,-3.30386683344841e-08,310.0,1
67584,0.0630364889802876,-0.001026167962118,0.0246766973286867,-2.1129380911588672e-08,320.0,1
69632,0.027836662264599,-0.00102551097807,0.0339214168488979,9.080395102500916e-09,330.0,1
71680,0.1756515744396893,-0.0010401683670352,0.0477134399116039,-1.0360963642597199e-09,340.0,1
73728,0.0874620052039972,-0.0007649824241525,0.0208995584398508,-0.0003004106460139,350.0,1
75776,0.0348427838747738,-0.0004697528820543,0.004002355504781,-0.0010108338901773,360.0,1
77824,0.1694768457440659,-0.0004455216108908,0.0303126219660043,-6.484333425760269e-09,370.0,1
79872,0.1267969397031265,-0.000440526672537,0.0622189342975616,-4.423782229423523e-10,380.0,1
81920,0.3024674113374203,-0.0004591697517753,0.3789956271648407,1.8626451492309571e-10,390.0,1
83968,0.1744645614686305,-0.0004562530866678,0.0969681814312934,2.619344741106033e-09,400.0,1
86016,0.1950276676740031,-0.0004538144283287,0.054065641015768,-8.265487849712372e-09,410.0,1
88064,0.0736039146711846,-0.0005952080777205,0.1134375631809234,-3.861146979033947e-07,420.0,1
90112,0.0597619140295137,-0.0004674159790738,0.0092158745974302,-1.241103745996952e-07,430.0,1
92160,0.1123556601840391,-0.0004510590897552,0.1561698317527771,-1.6158446669578554e-08,440.0,1
94208,0.1096448691328987,-0.0004695071002061,0.0690867230296135,-1.398148015141487e-08,450.0,1
96256,0.1115004342180327,-0.0006015378698066,0.0591958612203598,-3.599445335566998e-07,460.0,1
98304,0.1654100648360326,-0.0004709241831733,0.0182801540941,-5.937181413173674e-10,470.0,1
100352,0.1140319481637561,-0.0004625978217518,0.0041169528849422,-7.683411240577696e-10,480.0,1
102400,0.053615295473719,-0.0004786282184795,0.0206014495342969,1.2275995686650277e-08,490.0,1
104448,0.1329147029086016,-0.0006509201979497,0.003368311561644,7.468042895197869e-09,500.0,1
106496,0.2317183771345298,-0.0004787323887285,0.4323020875453949,7.043126970529555e-10,510.0,1
108544,0.2220980745682027,-0.0003680952402646,0.091197170317173,-0.0001729752984829,520.0,1
110592,0.1234745677254977,-0.0003361104405485,0.028303125873208,-6.938353180885315e-09,530.0,1
112640,0.031411058417143,-0.0003434435595409,0.0038528270088136,1.7182901501655578e-08,540.0,1
114688,0.0891428538176114,-0.0003443294135649,0.0199895650148391,3.213062882423401e-09,550.0,1
116736,0.0816120252769906,-0.0003528276854922,0.1090201213955879,-2.4971086531877513e-09,560.0,1
118784,0.1274292721645906,-0.0004336050009442,0.0262083318084478,-6.443588063120842e-09,570.0,1
