time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/loss,rollout/success_rate,time/fps,phase,phase_learning_rate,phase_buffer_size
89,188,48002,0.0879620000000003,255.74,11975,-85.414,0.0001,0.0694049447774887,0.01,536,1,0.0001,200000
91,192,49026,0.0685059999999998,255.74,12231,-80.782,0.0001,0.0419485419988632,0.01,534,1,0.0001,200000
93,196,50050,0.05,255.74,12487,-76.464,0.0001,0.0719457790255546,0.01,532,1,0.0001,200000
96,200,51074,0.05,255.74,12743,-72.194,0.0001,0.0972818806767463,0.01,531,1,0.0001,200000
98,204,52098,0.05,255.74,12999,-67.702,0.0001,0.0396909788250923,0.01,529,1,0.0001,200000
100,208,53122,0.05,255.74,13255,-63.425999999999995,0.0001,0.0831918343901634,0.01,527,1,0.0001,200000
102,212,54146,0.05,255.74,13511,-58.95400000000001,0.0001,0.0259057134389877,0.01,526,1,0.0001,200000
105,216,55170,0.05,255.74,13767,-55.173999999999985,0.0001,0.032682828605175,0.01,524,1,0.0001,200000
107,220,56194,0.05,255.74,14023,-51.206,0.0001,0.0251502953469753,0.01,523,1,0.0001,200000
109,224,57218,0.05,255.74,14279,-47.37200000000001,0.0001,0.092477947473526,0.01,522,1,0.0001,200000
111,228,58242,0.05,256.0,14535,-45.108,0.0001,0.0650211721658706,0.0,520,1,0.0001,200000
114,232,59266,0.05,256.0,14791,-41.738000000000014,0.0001,0.0610928162932395,0.0,519,1,0.0001,200000
116,236,60290,0.05,256.0,15047,-39.02,0.0001,0.0811977908015251,0.0,518,1,0.0001,200000
118,240,61314,0.05,256.0,15303,-36.44,0.0001,0.1049843728542327,0.0,517,1,0.0001,200000
120,244,62338,0.05,256.0,15559,-33.461999999999996,0.0001,0.0285161845386028,0.0,516,1,0.0001,200000
122,248,63362,0.05,256.0,15815,-30.879999999999995,0.0001,0.0385466217994689,0.0,515,1,0.0001,200000
125,252,64386,0.05,256.0,16071,-28.718000000000004,0.0001,0.0206290148198604,0.0,514,1,0.0001,200000
127,256,65410,0.05,256.0,16327,-26.38200000000001,0.0001,0.0144417583942413,0.0,513,1,0.0001,200000
129,260,66434,0.05,256.0,16583,-24.532000000000004,0.0001,0.0555485188961029,0.0,512,1,0.0001,200000
131,264,67458,0.05,256.0,16839,-23.088000000000008,0.0001,0.0321733616292476,0.0,511,1,0.0001,200000
134,268,68482,0.05,256.0,17095,-21.440000000000005,0.0001,0.0611010193824768,0.0,510,1,0.0001,200000
136,272,69506,0.05,256.0,17351,-20.06,0.0001,0.0123740518465638,0.0,509,1,0.0001,200000
138,276,70530,0.05,256.0,17607,-18.52,0.0001,0.0241606719791889,0.0,508,1,0.0001,200000
140,280,71554,0.05,256.0,17863,-17.312,0.0001,0.0424307435750961,0.0,508,1,0.0001,200000
143,284,72578,0.05,256.0,18119,-16.892,0.0001,0.0484396293759346,0.0,507,1,0.0001,200000
145,288,73602,0.05,256.0,18375,-16.472,0.0001,0.0110209276899695,0.0,506,1,0.0001,200000
147,292,74626,0.05,256.0,18631,-15.954,0.0001,0.00851920992136,0.0,506,1,0.0001,200000
149,296,75650,0.05,256.0,18887,-15.994000000000003,0.0001,0.0410915091633796,0.0,505,1,0.0001,200000
151,300,76674,0.05,256.0,19143,-15.906,0.0001,0.0088927149772644,0.0,504,1,0.0001,200000
154,304,77698,0.05,256.0,19399,-15.764,0.0001,0.0111212749034166,0.0,504,1,0.0001,200000
156,308,78722,0.05,256.0,19655,-15.988,0.0001,0.1000591740012168,0.0,503,1,0.0001,200000
158,312,79746,0.05,256.0,19911,-15.85,0.0001,0.0092243542894721,0.0,502,1,0.0001,200000
160,316,80770,0.05,256.0,20167,-15.908,0.0001,0.0078129973262548,0.0,502,1,0.0001,200000
163,320,81794,0.05,256.0,20423,-15.884,0.0001,0.0044108545407652,0.0,501,1,0.0001,200000
165,324,82818,0.05,256.0,20679,-15.966,0.0001,0.011852141469717,0.0,501,1,0.0001,200000
167,328,83842,0.05,256.0,20935,-15.82,0.0001,0.0155599601566791,0.0,500,1,0.0001,200000
