r,l,t,is_success,dead_loop_events,wall_collision_count
-183.2,256,1.44168,0.0,228.0,62.0
-193.6,256,2.321884,0.0,205.0,59.0
-215.6,256,3.202761,0.0,215.0,44.0
-211.2,256,4.086235,0.0,197.0,46.0
-203.2,256,4.979054,0.0,225.0,48.0
-216.0,256,5.868575,0.0,229.0,56.0
-207.8,256,6.760357,0.0,234.0,47.0
-200.2,256,7.654064,0.0,215.0,52.0
-182.6,256,9.159631,0.0,199.0,61.0
-188.6,256,10.057269,0.0,194.0,71.0
-170.2,256,10.953632,0.0,227.0,79.0
-202.4,256,11.849877,0.0,209.0,59.0
-178.0,256,12.759363,0.0,223.0,76.0
-199.6,256,13.659301,0.0,234.0,64.0
-188.4,256,14.555619,0.0,234.0,62.0
-197.8,256,15.452817,0.0,216.0,69.0
-171.6,256,16.800527,0.0,188.0,78.0
-185.2,256,17.704051,0.0,170.0,67.0
-168.2,256,18.611424,0.0,178.0,89.0
-181.0,256,19.516244,0.0,203.0,75.0
-179.4,256,20.422434,0.0,151.0,68.0
-203.4,256,21.335987,0.0,189.0,61.0
-180.8,256,22.239299,0.0,209.0,82.0
-194.8,256,23.143686,0.0,147.0,68.0
-160.6,256,24.49148,0.0,189.0,101.0
-156.0,256,25.394577,0.0,225.0,100.0
-161.0,256,26.299042,0.0,180.0,95.0
-147.8,256,27.204741,0.0,206.0,113.0
-148.4,256,28.110556,0.0,190.0,101.0
-161.4,256,29.019642,0.0,225.0,107.0
-163.0,256,29.928479,0.0,230.0,93.0
-140.6,256,30.838037,0.0,211.0,103.0
-168.0,256,32.242711,0.0,111.0,109.0
-150.2,256,33.149889,0.0,120.0,113.0
-147.2,256,34.056503,0.0,167.0,103.0
-124.8,256,34.966053,0.0,229.0,125.0
-112.2,256,35.875947,0.0,176.0,130.0
-122.2,256,36.784623,0.0,176.0,127.0
-139.4,256,37.689759,0.0,179.0,111.0
-125.8,256,38.593141,0.0,234.0,129.0
-116.2,256,40.008151,0.0,155.0,127.0
-132.4,256,40.915623,0.0,95.0,115.0
-107.2,256,41.822219,0.0,186.0,157.0
-118.6,256,42.729331,0.0,112.0,123.0
-151.4,256,43.649926,0.0,136.0,105.0
-110.4,256,44.585163,0.0,200.0,141.0
-119.4,256,45.59949,0.0,130.0,131.0
-106.0,256,46.54603,0.0,204.0,149.0
-91.0,256,47.999084,0.0,183.0,161.0
-95.2,256,48.941487,0.0,200.0,163.0
-143.6,256,49.865513,0.0,143.0,121.0
-92.8,256,50.805208,0.0,217.0,161.0
-98.6,256,51.746776,0.0,137.0,149.0
-75.4,256,52.68892,0.0,181.0,175.0
-134.2,256,53.624573,0.0,118.0,132.0
-116.2,256,54.55536,0.0,179.0,136.0
-104.0,256,55.982426,0.0,156.0,154.0
-123.0,256,56.923062,0.0,164.0,149.0
-76.4,256,57.851605,0.0,212.0,175.0
-48.0,256,58.79504,0.0,234.0,202.0
-109.6,256,59.719054,0.0,159.0,167.0
-58.8,256,60.652982,0.0,234.0,196.0
-135.6,256,61.58257,0.0,119.0,143.0
-97.0,256,62.524427,0.0,152.0,157.0
-92.6,256,63.973658,0.0,223.0,181.0
-80.2,256,64.908418,0.0,196.0,186.0
-41.8,256,65.835156,0.0,226.0,206.0
-43.0,256,66.763144,0.0,195.0,204.0
-92.4,256,67.703528,0.0,168.0,161.0
-70.8,256,68.628738,0.0,150.0,174.0
-51.8,256,69.566116,0.0,201.0,203.0
-62.8,256,70.497781,0.0,206.0,188.0
-24.8,256,71.940214,0.0,232.0,230.0
-35.8,256,72.87859,0.0,212.0,217.0
-17.2,256,73.828866,0.0,234.0,228.0
-32.6,256,74.761991,0.0,189.0,225.0
-52.4,256,75.687326,0.0,221.0,208.0
-49.2,256,76.63208,0.0,229.0,212.0
-40.4,256,77.559371,0.0,224.0,217.0
-56.6,256,78.496426,0.0,181.0,200.0
-40.0,256,79.933695,0.0,197.0,218.0
-22.2,256,80.862486,0.0,227.0,228.0
-70.0,256,81.843187,0.0,191.0,218.0
-12.2,256,82.788805,0.0,227.0,233.0
-29.0,256,83.738151,0.0,222.0,229.0
-13.0,256,84.668173,0.0,228.0,237.0
-22.4,256,85.609033,0.0,231.0,230.0
-15.0,256,86.54874,0.0,234.0,241.0
-21.4,256,87.998776,0.0,234.0,239.0
-13.4,256,88.941464,0.0,234.0,240.0
-27.0,256,89.874738,0.0,234.0,227.0
-25.0,256,90.810867,0.0,221.0,231.0
-21.2,256,91.740696,0.0,189.0,224.0
-36.4,256,92.687457,0.0,171.0,213.0
-10.2,256,93.625856,0.0,229.0,235.0
-14.2,256,94.551194,0.0,206.0,224.0
-31.8,256,95.991449,0.0,204.0,223.0
-7.0,256,96.924594,0.0,234.0,249.0
-10.4,256,97.866262,0.0,234.0,242.0
-14.4,256,98.814078,0.0,196.0,226.0
-10.0,256,99.759104,0.0,234.0,246.0
-41.0,256,100.700257,0.0,191.0,221.0
-4.6,256,101.642816,0.0,233.0,243.0
-9.0,256,102.581486,0.0,234.0,241.0
-10.2,256,103.955338,0.0,233.0,238.0
-7.8,256,104.884989,0.0,234.0,247.0
