time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,phase
2048,,,,,,1
4096,92.72120580673216,10.0,-0.013529396028025,-1.090763245522976,24.743511199951172,1
6144,92.71906681060791,20.0,-0.0185152556397952,-1.0599401250481606,33.287532806396484,1
8192,80.31144294738769,30.0,-0.0185298548138234,-0.992734196037054,34.64476776123047,1
10240,60.504574632644655,40.0,-0.0219888984982389,-0.8831685654819011,24.457603454589844,1
12288,37.41243984699249,50.0,-0.0170195262762717,-0.7739136159420014,12.931772232055664,1
14336,31.808689022064208,60.0,-0.0123581072781234,-0.6851879179477691,12.176640510559082,1
16384,12.058002388477323,70.0,-0.0176552741322666,-0.5684864267706871,4.938087463378906,1
18432,14.108694183826447,80.0,-0.0107603422482497,-0.4651278980076313,4.9161272048950195,1
20480,11.262837171554564,90.0,-0.0101729544461704,-0.3596053726971149,5.409587860107422,1
22528,9.122685396671296,100.0,-0.0062864787294529,-0.2755254611372947,3.990084648132324,1
24576,4.636135703325271,110.0,-0.0081626784463878,-0.2409985842183232,1.6089357137680054,1
26624,4.162060809135437,120.0,-0.006292647490045,-0.1906490733847022,1.7885717153549194,1
28672,7.979238116741181,130.0,-0.0047921767109073,-0.1602591037750244,2.981389284133911,1
30720,2.7689089983701707,140.0,-0.0049761569825932,-0.1192290415987372,1.639265775680542,1
32768,5.678633770346641,150.0,-0.0041071930725593,-0.1074835988692939,2.378455638885498,1
34816,2.0045115053653717,160.0,-0.0051424381294054,-0.0800230301916599,0.9716196060180664,1
36864,1.6813314840197564,170.0,-0.003986244770931,-0.0547671334818005,0.844452440738678,1
38912,1.5155996162444354,180.0,-0.0022836025222204,-0.0400146765168756,0.5539926886558533,1
40960,0.3741853495128452,190.0,-0.0010752880305517,-0.0330291949678212,0.0835566446185112,1
43008,0.7196820236742496,200.0,-0.0010960553714539,-0.0263180189300328,0.3927162885665893,1
45056,0.2617948750732466,210.0,-0.0003534235293045,-0.0187880328856408,0.0789825916290283,1
47104,0.1323478130390867,220.0,-0.0003611015097703,-0.0176745539996773,0.0150256138294935,1
49152,0.1053192493040114,230.0,-0.0017689975502435,-0.0124019180424511,0.0146077098324894,1
51200,0.4266969425603747,240.0,-0.0010172598122153,-0.0079088585043791,0.1156841218471527,1
53248,0.224398156220559,250.0,-0.0003285362268798,-0.0063626835879404,0.0097017688676714,1
55296,0.1411082717822864,260.0,-8.253846317529678e-08,-0.0063771492277737,0.1152925565838813,1
57344,0.3395243864040821,270.0,-0.0009194113896228,-0.0051764961681328,0.0868421196937561,1
59392,0.2071794140734709,280.0,-1.0763760656118393e-07,-0.0045573026698548,0.1340308934450149,1
61440,0.0533007432997692,290.0,-0.0010058497777208,-0.0029827478429069,0.0052094245329499,1
63488,0.1363268699729815,300.0,-0.0009767815703526,-0.0017339178477413,0.0530326217412948,1
65536,0.4371401148207951,310.0,-4.431931301951408e-08,-0.0015798553416971,0.0033340929076075,1
67584,0.0112205909492331,320.0,-3.747234586626291e-07,-0.0015238907697494,0.0013333274982869,1
69632,0.0359360058893798,330.0,3.798049874603748e-09,-0.0014783562597585,0.0039149746298789,1
71680,0.1730281378906511,340.0,1.423177309334278e-08,-0.001509221328888,0.0750900134444236,1
73728,0.1412601768650347,350.0,-0.0004030988551676,-0.0011610322078922,0.0030737346969544,1
75776,0.0844692317012231,360.0,-0.0010866663535125,-0.0007120802612917,0.0035209071356803,1
77824,0.0641015249824704,370.0,-6.638583727180959e-08,-0.0006712597802106,0.0017812626902014,1
79872,0.0828462101628247,380.0,7.549533620476722e-09,-0.0006462912708229,0.0014568193582817,1
81920,0.4963238074560649,390.0,-9.324867278337478e-09,-0.0007032695211819,0.4000416100025177,1
83968,0.0391702391367289,400.0,-2.278102329000831e-08,-0.0006853427854366,0.0105453887954354,1
86016,0.1848363361830706,410.0,-9.567884262651203e-09,-0.000680803200521,0.0412014909088611,1
