time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,phase
2048,,,,,,1
4096,29.02508544921875,-0.016063507576473,103.98176040649416,10.0,-1.0884047418832778,1
6144,31.57107162475586,-0.0157862755062524,91.54255390167236,20.0,-1.058644174039364,1
8192,27.50088119506836,-0.025794148852583,70.6732255935669,30.0,-0.9873405814170836,1
10240,17.992511749267578,-0.0298417137935757,49.42071113586426,40.0,-0.8827816411852837,1
12288,13.854575157165527,-0.0252712294284719,33.56229648590088,50.0,-0.7682731769979,1
14336,5.996315956115723,-0.0216845403774641,19.16285636425018,60.0,-0.6527545712888241,1
16384,2.720820665359497,-0.0191361314267851,7.842403167486191,70.0,-0.4933032110333443,1
18432,2.1434216499328613,-0.019052541826386,6.3280385613441466,80.0,-0.424534972384572,1
20480,2.244555711746216,-0.016296544286888,5.284739941358566,90.0,-0.256686338968575,1
22528,2.208202600479126,-0.0126256120274774,4.550678965449333,100.0,-0.2258238699287176,1
24576,2.383131742477417,-0.0059563488990534,4.905455705523491,110.0,-0.1666219215840101,1
26624,1.5017410516738892,-0.0064071986766066,3.4493591994047166,120.0,-0.1115713370963931,1
28672,0.6642442941665649,-0.0058909379644319,2.272683134675026,130.0,-0.0895421844907105,1
30720,0.2797783315181732,-0.0042655250872485,1.071612734720111,140.0,-0.0638875666772946,1
32768,0.3387126326560974,-0.0012314304884057,1.202569444477558,150.0,-0.0178488462348468,1
34816,0.2322236001491546,-0.0011899086297489,0.8149885449558496,160.0,-0.0127712057204917,1
36864,0.0517062321305274,-0.0007997147389687,0.4439532097429037,170.0,-0.0084129745082464,1
38912,0.0396179407835006,-0.0005910624226089,0.4597496528644115,180.0,-0.0062708487210329,1
40960,0.0759461969137191,-0.0012439157115295,0.5034888368099928,190.0,-0.0048942079476546,1
43008,0.06019813939929,-0.0009636043570935,0.2100414075888693,200.0,-0.0038093216600827,1
45056,0.1306802332401275,-0.0005124056595377,0.3953874255530536,210.0,-0.0025937403319403,1
47104,0.0118451993912458,-0.0002814852457959,0.11082191466121,220.0,-0.0023159966018283,1
49152,0.1319252997636795,1.0535586625337602e-09,0.2816004848107695,230.0,-0.0019835108891129,1
51200,0.0267069470137357,-0.0004084151994902,0.3538672000169754,240.0,-0.0014772444745176,1
53248,0.3619463145732879,-1.82341318577528e-07,0.3857183559099212,250.0,-0.0017243170339497,1
55296,0.0508319921791553,-6.443588063120842e-08,0.1200439249631017,260.0,-0.0013892538845539,1
57344,0.099100723862648,-2.7701025828719138e-08,0.1431189335417002,270.0,-0.0014566728772479,1
59392,0.0152389639988541,1.3387762010097503e-10,0.0471314659895142,280.0,-0.0014301092960522,1
61440,0.0966963320970535,-4.48198989033699e-10,0.3609457478130934,290.0,-0.0015145377255976,1
63488,0.0470935627818107,-4.0314625948667534e-08,0.0370449430891312,300.0,-0.0016043610667111,1
65536,0.0046363100409507,-0.0006356151541694,0.0367033462360268,310.0,-0.0012208890737383,1
67584,0.093006856739521,-5.78584149479866e-08,0.2112914943660143,320.0,-0.0012366765949991,1
69632,0.0026803340297192,-6.805057637393474e-08,0.0292732065441668,330.0,-0.0011707869605743,1
71680,0.0298989824950695,-2.5623012334108352e-08,0.1038738409813959,340.0,-0.0013394839508691,1
73728,-0.0051742256619036,-0.0005214097327552,0.0475625934632262,350.0,-0.0008711355330888,1
75776,0.0269468389451503,-6.915070116519928e-09,0.03746387828578,360.0,-0.0007994819061423,1
77824,0.0241869743913412,-1.0378425940871241e-08,0.0542315025326388,370.0,-0.0009736375643115,1
79872,0.0411339998245239,2.00001522898674e-08,0.2631143099861219,380.0,-0.0010610834622639,1
81920,0.1068004444241523,-7.398193702101707e-09,0.2736475226469338,390.0,-0.0008401191495067,1
83968,0.168186068534851,-4.423782229423523e-10,0.2513842144049704,400.0,-0.0009247657682863,1
86016,0.0020690450910478,-4.0640588849782946e-08,0.0104605068730961,410.0,-0.0009263726547942,1
88064,0.0194709189236164,-2.7381465770304205e-07,0.0235636049957975,420.0,-0.0010399982129456,1
90112,0.0562570206820964,-8.217757567763328e-08,0.1891423095483332,430.0,-0.0009479738284426,1
92160,0.0260419901460409,1.1231168173253536e-08,0.0264096505303314,440.0,-0.0009486207920417,1
94208,0.0110734598711133,-4.080357030034065e-09,0.0328917547467426,450.0,-0.0009528252587188,1
96256,0.117192767560482,-4.71482053399086e-10,0.0933450732205528,460.0,-0.0009735296291182,1
98304,0.0022838974837213,-1.3853423297405245e-08,0.065906949251439,470.0,-0.0011702236137352,1
100352,0.0307073593139648,-6.100162863731384e-09,0.068328675047087,480.0,-0.0010344648399041,1
102400,0.0194386262446641,8.068163879215718e-08,0.1164960586145753,490.0,-0.0013227650502813,1
104448,0.0408617667853832,-3.7227291613817217e-07,0.0363041690950922,500.0,-0.0012390524338115,1
106496,0.0413272306323051,-8.863222319632768e-07,0.0750944923376664,510.0,-0.0018167212154367,1
108544,0.1724850535392761,-2.5308690965175633e-08,0.2901452246529515,520.0,-0.0012337005071458,1
110592,0.0512849614024162,-3.738095983862877e-08,0.1716658808640204,530.0,-0.0015059777520946,1
112640,0.2038262784481048,-0.0006510388164315,0.2269302476197481,540.0,-0.0009455702653212,1
114688,0.0665173530578613,-4.2165629565715795e-08,0.1870055903389584,550.0,-0.0007055109272187,1
116736,0.2285288870334625,1.4319084584712983e-09,0.2676556219230406,560.0,-0.0008208505692891,1
118784,0.0320754051208496,-7.193302735686303e-08,0.0321059201683965,570.0,-0.0008764357902691,1
120832,0.1453810483217239,-6.461050361394882e-09,0.2519040051964111,580.0,-0.0009250520284695,1
122880,0.0667898207902908,-2.867891453206539e-08,0.2162635503802448,590.0,-0.0008582459427998,1
124928,0.0422687567770481,-4.7811772674322134e-08,0.0859980723136686,600.0,-0.0008303458853333,1
126976,0.2296285778284073,-4.924368113279342e-09,0.250732082570903,610.0,-0.0009023386046465,1
129024,0.002182874828577,-1.984415575861931e-07,0.1188061136315809,620.0,-0.0009336970069853,1
131072,0.0213552322238683,-4.787580110132694e-08,0.0422586686872819,630.0,-0.0009623260855732,1
133120,0.112934686243534,-1.5699770301580428e-07,0.1480053218238026,640.0,-0.0009702705981908,1
135168,0.0370047688484191,-1.5767291188240052e-07,0.3186392438597977,650.0,-0.0010738422119175,1
137216,0.1784020066261291,-0.0004664132662583,0.2303626378066837,660.0,-0.0010404857763205,1
139264,0.0505193173885345,-5.412730388343335e-08,0.0531636708634323,670.0,-0.0009177250358334,1
141312,0.0641013979911804,-1.951411832123995e-07,0.1033874706976348,680.0,-0.0008949362701969,1
143360,0.006158024072647,-0.0005504344007931,0.0658380009735992,690.0,-0.0004594335194269,1
145408,0.0387788750231266,-1.4872057363390924e-08,0.1133143159677274,700.0,-0.0004239235004206,1
147456,0.117749810218811,-0.0010869410121813,0.1928983085555956,710.0,-0.0002461660222252,1
149504,0.0111059285700321,-1.4551915228366852e-08,0.0371790270457495,720.0,-0.0002113234910211,1
151552,0.0381825529038906,2.5611370801925656e-10,0.3148282733396627,730.0,-0.0002111574811351,1
153600,0.0117830177769064,-4.493631422519684e-09,0.104852064005172,740.0,-0.0001956422902367,1
155648,0.016237623989582,-5.9546437114477164e-09,0.1846756223763805,750.0,-0.0002025945033892,1
157696,0.0480222254991531,-1.1612428352236748e-08,0.0715684597671497,760.0,-0.0002096435218845,1
159744,0.0973093435168266,-8.172355592250824e-09,0.1318100550706731,770.0,-0.000208921284684,1
161792,0.0638307854533195,-0.0003769590810406,0.0695503787021152,780.0,-0.0001591652931892,1
163840,0.0590655729174613,-1.3038516044616696e-09,0.1311371331103146,790.0,-0.0001475735129133,1
165888,0.0113700600340962,-1.5151454135775567e-08,0.0530858372701914,800.0,-0.0001440309242752,1
167936,0.2115484923124313,-1.140870153903961e-09,0.2022307712148176,810.0,-0.0001469658964197,1
169984,0.0457580015063285,9.225914254784583e-10,0.0625914830272449,820.0,-0.0001455867921322,1
172032,0.0004581169050652,-1.2281816452741624e-09,0.0233271658638841,830.0,-0.000149787373266,1
174080,0.0079779382795095,-1.1059455573558807e-10,0.12619355457864,840.0,-0.0001489139609475,1
176128,0.0002959919802378,-5.064066499471664e-09,0.0589705935424717,850.0,-0.0001456678195609,1
178176,0.0001150485913967,-6.711343303322792e-09,0.0318189710715159,860.0,-0.0001478863645388,1
180224,0.1823673546314239,1.5483237802982331e-09,0.2173599678557366,870.0,-0.0001512451168309,1
182272,0.0261880252510309,-1.705484464764595e-09,0.0237535937616485,880.0,-0.0001519253950391,1
184320,0.0029185418970882,3.5506673157215125e-08,0.0452216938734636,890.0,-0.0001492885590778,1
186368,0.0679203122854232,-0.0002286227303557,0.132794065712369,900.0,-9.119239057326922e-05,1
188416,0.0419506877660751,5.355104804039e-10,0.0730304141470696,910.0,-8.812853729978087e-05,1
190464,0.0259572938084602,-1.3387762010097504e-09,0.0880412547674495,920.0,-8.252441521108266e-05,1
192512,0.0313927456736564,-9.546056389808654e-10,0.1559689749905373,930.0,-8.334073218065896e-05,1
194560,0.011584710329771,5.122274160385131e-10,0.025133686816116,940.0,-8.397059582421207e-05,1
196608,0.0152267189696431,-7.334165275096892e-10,0.1704354538815096,950.0,-8.592403755756096e-05,1
198656,0.0194586422294378,4.796311259269715e-09,0.0781036160915391,960.0,-8.360268875549082e-05,1
200704,0.0845964848995208,1.1641532182693482e-11,0.3249684458831325,970.0,-8.488497205689782e-05,1
202752,0.0757521986961364,-2.3283064365386963e-10,0.0803255152030033,980.0,-8.545384098397335e-05,1
204800,0.0890097469091415,-2.3283064365386964e-11,0.1483682655147276,990.0,-8.73861995387415e-05,1
206848,0.1238756775856018,2.8870999813079835e-09,0.0903061640303349,1000.0,-8.297446684082387e-05,1
208896,0.0081087928265333,-1.833541318774223e-10,0.020459749501424,1010.0,-8.273080757135177e-05,1
210944,0.1987053602933883,7.799826562404633e-10,0.2892061444930732,1020.0,-8.701478673174279e-05,1
212992,0.1346011161804199,-1.9063008949160576e-09,0.1090363174909725,1030.0,-8.373213013328496e-05,1
215040,0.001939061214216,6.111804395914078e-10,0.033864339750653,1040.0,-8.427703232882777e-05,1
217088,0.0185630489140748,-3.3527612686157223e-09,0.1147571385772607,1050.0,-8.413206041950616e-05,1
219136,0.0484382882714271,4.319008439779282e-09,0.1080855898500885,1060.0,-8.326879360538441e-05,1
221184,0.0308835674077272,8.96397978067398e-10,0.0951108924869913,1070.0,-8.479802063448006e-05,1
223232,0.0948051512241363,-8.905772119760513e-10,0.1096555799915222,1080.0,-8.461016213914263e-05,1
225280,0.1964006125926971,1.3737007975578307e-09,0.1682886818365659,1090.0,-8.417761509917909e-05,1
