time/total_timesteps,train/n_updates,train/loss,phase
1024,230,0.0970045775175094,1
2048,486,0.1215635389089584,1
3072,742,0.143616184592247,1
4096,998,0.0850480645895004,1
5120,1254,0.0733951479196548,1
6144,1510,0.1435790359973907,1
7168,1766,0.0915247797966003,1
8192,2022,0.1741078644990921,1
9216,2278,0.1139597743749618,1
10240,2534,0.1040539890527725,1
11264,2790,0.1308397650718689,1
12288,3046,0.1650255024433136,1
13312,3302,0.086835965514183,1
14336,3558,0.073977991938591,1
15360,3814,0.16042560338974,1
16384,4070,0.0864404141902923,1
17408,4326,0.1752067059278488,1
18432,4582,0.1762288808822631,1
19337,4809,0.1982113420963287,1
20361,5065,0.1219528913497924,1
21385,5321,0.113354705274105,1
22409,5577,0.1002341955900192,1
23433,5833,0.0821638777852058,1
24457,6089,0.084629863500595,1
25481,6345,0.0762846916913986,1
26505,6601,0.0890649631619453,1
27529,6857,0.1331602931022644,1
28553,7113,0.1333607137203216,1
29577,7369,0.0841064900159835,1
30601,7625,0.0914765149354934,1
31616,7878,0.1584412455558776,1
32640,8134,0.0859141200780868,1
33664,8390,0.1103785932064056,1
34688,8646,0.1206649467349052,1
35712,8902,0.0544314086437225,1
36736,9158,0.0902654081583023,1
37740,9409,0.0536171123385429,1
38764,9665,0.08733931183815,1
39788,9921,0.1060535609722137,1
40812,10177,0.0830202251672744,1
41836,10433,0.0997252166271209,1
42860,10689,0.0882447734475135,1
43884,10945,0.0741834491491317,1
44908,11201,0.0871532782912254,1
45932,11457,0.0654060915112495,1
46956,11713,0.0444494672119617,1
47980,11969,0.095875859260559,1
49004,12225,0.1426844298839569,1
50028,12481,0.0285526700317859,1
51052,12737,0.0590224266052246,1
52076,12993,0.0268613956868648,1
53100,13249,0.0996430516242981,1
54124,13505,0.0637280791997909,1
55148,13761,0.1067012622952461,1
56172,14017,0.1060047671198844,1
57196,14273,0.0834555402398109,1
58220,14529,0.0733247920870781,1
59244,14785,0.0287745483219623,1
60268,15041,0.0266074165701866,1
