rollout/success_rate,train/learning_rate,time/episodes,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/fps,train/loss,rollout/ep_rew_mean,time/total_timesteps,phase,phase_learning_rate,phase_buffer_size
0.0,0.0001,188,12006,256.0,97,0.0855679999999999,494,0.0574730597436428,-78.83,48128,1,0.0001,200000
0.0,0.0001,192,12262,256.0,99,0.066112,492,0.0496772043406963,-74.88,49152,1,0.0001,200000
0.0,0.0001,196,12518,256.0,102,0.05,490,0.0571366213262081,-70.38,50176,1,0.0001,200000
0.0,0.0001,200,12774,256.0,104,0.05,488,0.0578575283288955,-66.09,51200,1,0.0001,200000
0.0,0.0001,204,13030,256.0,107,0.05,485,0.0527140200138092,-61.86,52224,1,0.0001,200000
0.0,0.0001,208,13286,256.0,110,0.05,483,0.0494399927556514,-57.63,53248,1,0.0001,200000
0.0,0.0001,212,13542,256.0,112,0.05,481,0.0401126630604267,-53.43,54272,1,0.0001,200000
0.0,0.0001,216,13798,256.0,115,0.05,479,0.0470440909266471,-50.18,55296,1,0.0001,200000
0.0,0.0001,220,14054,256.0,117,0.05,477,0.0354634523391723,-46.49,56320,1,0.0001,200000
0.0,0.0001,224,14310,256.0,120,0.05,475,0.0314198806881904,-43.24,57344,1,0.0001,200000
0.0,0.0001,228,14566,256.0,123,0.05,473,0.0290453899651765,-40.23,58368,1,0.0001,200000
0.0,0.0001,232,14822,256.0,125,0.05,472,0.0278765391558408,-37.11,59392,1,0.0001,200000
0.0,0.0001,236,15078,256.0,128,0.05,469,0.026870310306549,-34.34,60416,1,0.0001,200000
0.0,0.0001,240,15334,256.0,131,0.05,468,0.0537254512310028,-31.72,61440,1,0.0001,200000
0.0,0.0001,244,15590,256.0,133,0.05,466,0.0251761097460985,-28.98,62464,1,0.0001,200000
0.0,0.0001,248,15846,256.0,136,0.05,464,0.0341308452188968,-26.48,63488,1,0.0001,200000
0.0,0.0001,252,16102,256.0,139,0.05,463,0.0352197811007499,-24.15,64512,1,0.0001,200000
0.0,0.0001,256,16358,256.0,141,0.05,461,0.0331392586231231,-22.24,65536,1,0.0001,200000
0.0,0.0001,260,16614,256.0,144,0.05,459,0.0314311496913433,-20.75,66560,1,0.0001,200000
0.0,0.0001,264,16870,256.0,147,0.05,457,0.0335590690374374,-19.11,67584,1,0.0001,200000
0.0,0.0001,268,17126,256.0,150,0.05,456,0.0274200364947319,-17.66,68608,1,0.0001,200000
0.0,0.0001,272,17382,256.0,153,0.05,454,0.0271818526089191,-16.11,69632,1,0.0001,200000
0.0,0.0001,276,17638,256.0,156,0.05,452,0.0263325404375791,-15.16,70656,1,0.0001,200000
0.0,0.0001,280,17894,256.0,158,0.05,451,0.0264747273176908,-14.25,71680,1,0.0001,200000
0.0,0.0001,284,18150,256.0,161,0.05,450,0.0216428898274898,-13.86,72704,1,0.0001,200000
0.0,0.0001,288,18406,256.0,164,0.05,449,0.0283258371055126,-13.62,73728,1,0.0001,200000
0.0,0.0001,292,18662,256.0,175,0.05,427,0.0248569063842296,-13.47,74752,1,0.0001,200000
0.0,0.0001,296,18918,256.0,178,0.05,425,0.0289542339742183,-13.24,75776,1,0.0001,200000
0.0,0.0001,300,19174,256.0,180,0.05,425,0.0383469611406326,-13.0,76800,1,0.0001,200000
0.0,0.0001,304,19430,256.0,183,0.05,425,0.0255772769451141,-13.01,77824,1,0.0001,200000
0.0,0.0001,308,19686,256.0,185,0.05,425,0.031255904585123,-13.01,78848,1,0.0001,200000
0.0,0.0001,312,19942,256.0,188,0.05,424,0.0388909429311752,-12.88,79872,1,0.0001,200000
0.0,0.0001,316,20198,256.0,190,0.05,423,0.0208394154906272,-12.83,80896,1,0.0001,200000
0.0,0.0001,320,20454,256.0,193,0.05,423,0.0242942720651626,-13.16,81920,1,0.0001,200000
0.0,0.0001,324,20710,256.0,195,0.05,423,0.021156121045351,-13.02,82944,1,0.0001,200000
0.0,0.0001,328,20966,256.0,198,0.05,423,0.022718708962202,-13.0,83968,1,0.0001,200000
0.0,0.0001,332,21222,256.0,200,0.05,423,0.0244565643370151,-12.83,84992,1,0.0001,200000
0.0,0.0001,336,21478,256.0,203,0.05,423,0.0237210113555192,-12.78,86016,1,0.0001,200000
0.0,0.0001,340,21734,256.0,205,0.05,423,0.0306053068488836,-12.72,87040,1,0.0001,200000
0.0,0.0001,344,21990,256.0,208,0.05,423,0.0239355079829692,-12.67,88064,1,0.0001,200000
0.0,0.0001,348,22246,256.0,210,0.05,423,0.0277329869568347,-12.74,89088,1,0.0001,200000
0.0,0.0001,352,22502,256.0,212,0.05,423,0.0203229915350675,-12.99,90112,1,0.0001,200000
0.0,0.0001,356,22758,256.0,215,0.05,422,0.0197343938052654,-12.97,91136,1,0.0001,200000
0.0,0.0001,360,23014,256.0,218,0.05,422,0.0209563877433538,-12.72,92160,1,0.0001,200000
0.0,0.0001,364,23270,256.0,220,0.05,422,0.0187807343900203,-12.93,93184,1,0.0001,200000
0.0,0.0001,368,23526,256.0,222,0.05,422,0.0155699476599693,-12.77,94208,1,0.0001,200000
0.0,0.0001,372,23782,256.0,225,0.05,422,0.0325643569231033,-12.76,95232,1,0.0001,200000
0.0,0.0001,376,24038,256.0,227,0.05,422,0.027468018233776,-12.77,96256,1,0.0001,200000
0.0,0.0001,380,24294,256.0,230,0.05,422,0.0336512103676795,-12.41,97280,1,0.0001,200000
0.0,0.0001,384,24550,256.0,232,0.05,422,0.0295486897230148,-12.52,98304,1,0.0001,200000
0.0,0.0001,388,24806,256.0,234,0.05,422,0.0239929817616939,-12.52,99328,1,0.0001,200000
0.0,0.0001,392,25062,256.0,237,0.05,423,0.0187684558331966,-12.43,100352,1,0.0001,200000
0.0,0.0001,396,25318,256.0,239,0.05,423,0.0276199448853731,-12.32,101376,1,0.0001,200000
0.0,0.0001,400,25574,256.0,241,0.05,423,0.0253985002636909,-12.36,102400,1,0.0001,200000
0.0,0.0001,404,25830,256.0,244,0.05,423,0.0215655602514743,-12.06,103424,1,0.0001,200000
0.0,0.0001,408,26086,256.0,246,0.05,423,0.0213259272277355,-12.11,104448,1,0.0001,200000
0.0,0.0001,412,26342,256.0,249,0.05,423,0.0295268818736076,-12.01,105472,1,0.0001,200000
0.0,0.0001,416,26598,256.0,251,0.05,423,0.0250436086207628,-12.06,106496,1,0.0001,200000
0.0,0.0001,420,26854,256.0,253,0.05,423,0.0212770048528909,-11.85,107520,1,0.0001,200000
0.0,0.0001,424,27110,256.0,256,0.05,423,0.0163704939186573,-12.13,108544,1,0.0001,200000
0.0,0.0001,428,27366,256.0,258,0.05,423,0.0246841944754123,-12.05,109568,1,0.0001,200000
0.0,0.0001,432,27622,256.0,260,0.05,423,0.025122657418251,-11.98,110592,1,0.0001,200000
0.0,0.0001,436,27878,256.0,264,0.05,422,0.0236481744796037,-12.01,111616,1,0.0001,200000
0.0,0.0001,440,28134,256.0,266,0.05,422,0.0225937739014625,-12.07,112640,1,0.0001,200000
0.0,0.0001,444,28390,256.0,268,0.05,422,0.0202178210020065,-12.24,113664,1,0.0001,200000
0.0,0.0001,448,28646,256.0,271,0.05,423,0.0243647340685129,-12.29,114688,1,0.0001,200000
0.0,0.0001,452,28902,256.0,273,0.05,423,0.0236470513045787,-12.08,115712,1,0.0001,200000
0.0,0.0001,456,29158,256.0,275,0.05,423,0.0200370997190475,-12.03,116736,1,0.0001,200000
0.0,0.0001,460,29414,256.0,278,0.05,423,0.0252197813242673,-12.06,117760,1,0.0001,200000
0.0,0.0001,464,29670,256.0,280,0.05,423,0.0256355125457048,-12.07,118784,1,0.0001,200000
0.0,0.0001,468,29926,256.0,282,0.05,423,0.0438157171010971,-12.24,119808,1,0.0001,200000
0.0,0.0001,472,30182,256.0,285,0.05,423,0.0129096657037734,-12.29,120832,1,0.0001,200000
0.0,0.0001,476,30438,256.0,287,0.05,424,0.0141750266775488,-12.37,121856,1,0.0001,200000
0.0,0.0001,480,30694,256.0,289,0.05,424,0.0189851019531488,-12.85,122880,1,0.0001,200000
0.0,0.0001,484,30950,256.0,292,0.05,424,0.0159943103790283,-12.7,123904,1,0.0001,200000
0.0,0.0001,488,31206,256.0,294,0.05,424,0.0167280845344066,-12.56,124928,1,0.0001,200000
0.0,0.0001,492,31462,256.0,296,0.05,424,0.0148388659581542,-12.33,125952,1,0.0001,200000
0.0,0.0001,496,31718,256.0,299,0.05,424,0.0190655570477247,-12.46,126976,1,0.0001,200000
0.0,0.0001,500,31974,256.0,301,0.05,424,0.018771668896079,-12.46,128000,1,0.0001,200000
0.0,0.0001,504,32230,256.0,303,0.05,424,0.0173104479908943,-12.71,129024,1,0.0001,200000
0.0,0.0001,508,32486,256.0,306,0.05,424,0.034083068370819,-12.7,130048,1,0.0001,200000
0.0,0.0001,512,32742,256.0,308,0.05,424,0.027895238250494,-12.82,131072,1,0.0001,200000
0.0,0.0001,516,32998,256.0,310,0.05,424,0.0191114507615566,-12.74,132096,1,0.0001,200000
0.0,0.0001,520,33254,256.0,313,0.05,425,0.0237186793237924,-12.61,133120,1,0.0001,200000
0.0,0.0001,524,33510,256.0,315,0.05,425,0.0186873320490121,-12.29,134144,1,0.0001,200000
0.0,0.0001,528,33766,256.0,317,0.05,425,0.0189426429569721,-12.26,135168,1,0.0001,200000
0.0,0.0001,532,34022,256.0,320,0.05,425,0.0194792933762073,-12.2,136192,1,0.0001,200000
0.0,0.0001,536,34278,256.0,322,0.05,425,0.0098691135644912,-12.13,137216,1,0.0001,200000
0.0,0.0001,540,34534,256.0,324,0.05,425,0.019527519121766,-11.96,138240,1,0.0001,200000
0.0,0.0001,544,34790,256.0,327,0.05,425,0.0242986753582954,-11.94,139264,1,0.0001,200000
0.0,0.0001,548,35046,256.0,329,0.05,425,0.0140859829261899,-11.75,140288,1,0.0001,200000
0.0,0.0001,552,35302,256.0,332,0.05,425,0.0121405664831399,-11.62,141312,1,0.0001,200000
0.0,0.0001,556,35558,256.0,334,0.05,425,0.0218308325856924,-11.54,142336,1,0.0001,200000
0.0,0.0001,560,35814,256.0,336,0.05,425,0.0133590921759605,-11.56,143360,1,0.0001,200000
0.0,0.0001,564,36070,256.0,339,0.05,425,0.016068197786808,-11.66,144384,1,0.0001,200000
0.0,0.0001,568,36326,256.0,341,0.05,425,0.0137477461248636,-11.68,145408,1,0.0001,200000
0.0,0.0001,572,36582,256.0,343,0.05,425,0.0158297140151262,-11.66,146432,1,0.0001,200000
0.0,0.0001,576,36838,256.0,346,0.05,426,0.0187691040337085,-11.52,147456,1,0.0001,200000
0.0,0.0001,580,37094,256.0,348,0.05,426,0.0118587110191583,-11.24,148480,1,0.0001,200000
0.0,0.0001,584,37350,256.0,350,0.05,426,0.0137144494801759,-11.33,149504,1,0.0001,200000
0.0,0.0001,588,37606,256.0,353,0.05,426,0.0140346549451351,-11.53,150528,1,0.0001,200000
0.0,0.0001,592,37862,256.0,355,0.05,426,0.01639986038208,-11.6,151552,1,0.0001,200000
0.0,0.0001,596,38118,256.0,357,0.05,426,0.0153141263872385,-11.84,152576,1,0.0001,200000
0.0,0.0001,600,38374,256.0,360,0.05,426,0.009204919449985,-11.79,153600,1,0.0001,200000
0.0,0.0001,604,38630,256.0,362,0.05,426,0.0240834318101406,-11.63,154624,1,0.0001,200000
0.0,0.0001,608,38886,256.0,364,0.05,426,0.0117746777832508,-11.51,155648,1,0.0001,200000
0.0,0.0001,612,39142,256.0,367,0.05,426,0.0224995054304599,-11.38,156672,1,0.0001,200000
0.0,0.0001,616,39398,256.0,369,0.05,426,0.0135751664638519,-11.53,157696,1,0.0001,200000
0.0,0.0001,620,39654,256.0,371,0.05,426,0.0134817184880375,-11.64,158720,1,0.0001,200000
0.0,0.0001,624,39910,256.0,374,0.05,426,0.0170648358762264,-11.67,159744,1,0.0001,200000
0.0,0.0001,628,40166,256.0,376,0.05,426,0.014849130064249,-11.82,160768,1,0.0001,200000
0.0,0.0001,632,40422,256.0,379,0.05,426,0.0137858977541327,-11.94,161792,1,0.0001,200000
0.0,0.0001,636,40678,256.0,381,0.05,426,0.0161121524870395,-11.98,162816,1,0.0001,200000
0.0,0.0001,640,40934,256.0,383,0.05,426,0.0125858802348375,-12.22,163840,1,0.0001,200000
0.0,0.0001,644,41190,256.0,386,0.05,426,0.0176257975399494,-12.0,164864,1,0.0001,200000
0.0,0.0001,648,41446,256.0,388,0.05,426,0.0207607895135879,-12.11,165888,1,0.0001,200000
0.0,0.0001,652,41702,256.0,390,0.05,426,0.015667563304305,-12.29,166912,1,0.0001,200000
0.0,0.0001,656,41958,256.0,393,0.05,427,0.0139924278482794,-12.26,167936,1,0.0001,200000
0.0,0.0001,660,42214,256.0,395,0.05,427,0.0085796080529689,-12.38,168960,1,0.0001,200000
0.0,0.0001,664,42470,256.0,397,0.05,427,0.0162441488355398,-12.3,169984,1,0.0001,200000
0.0,0.0001,668,42726,256.0,400,0.05,427,0.0159261003136634,-12.14,171008,1,0.0001,200000
0.0,0.0001,672,42982,256.0,402,0.05,427,0.0181731656193733,-12.12,172032,1,0.0001,200000
0.0,0.0001,676,43238,256.0,405,0.05,427,0.014705104753375,-12.15,173056,1,0.0001,200000
0.0,0.0001,680,43494,256.0,407,0.05,427,0.0181368924677371,-12.17,174080,1,0.0001,200000
0.0,0.0001,684,43750,256.0,409,0.05,427,0.0120021514594554,-12.13,175104,1,0.0001,200000
0.0,0.0001,688,44006,256.0,412,0.05,427,0.0102745089679956,-12.06,176128,1,0.0001,200000
0.0,0.0001,692,44262,256.0,414,0.05,427,0.0102224014699459,-12.17,177152,1,0.0001,200000
0.0,0.0001,696,44518,256.0,416,0.05,427,0.0123805608600378,-11.88,178176,1,0.0001,200000
0.0,0.0001,700,44774,256.0,419,0.05,427,0.0086354799568653,-11.85,179200,1,0.0001,200000
0.0,0.0001,704,45030,256.0,421,0.05,427,0.0121967745944857,-12.0,180224,1,0.0001,200000
0.0,0.0001,708,45286,256.0,424,0.05,427,0.0094514796510338,-12.19,181248,1,0.0001,200000
0.0,0.0001,712,45542,256.0,426,0.05,427,0.0162214264273643,-12.57,182272,1,0.0001,200000
0.0,0.0001,716,45798,256.0,428,0.05,427,0.0191352572292089,-12.43,183296,1,0.0001,200000
0.0,0.0001,720,46054,256.0,431,0.05,427,0.0188414994627237,-12.48,184320,1,0.0001,200000
0.0,0.0001,724,46310,256.0,433,0.05,427,0.0071310037747025,-12.52,185344,1,0.0001,200000
0.0,0.0001,728,46566,256.0,435,0.05,427,0.0129004698246717,-12.4,186368,1,0.0001,200000
0.0,0.0001,732,46822,256.0,438,0.05,427,0.0138681400567293,-12.55,187392,1,0.0001,200000
0.0,0.0001,736,47078,256.0,440,0.05,427,0.0120778223499655,-12.64,188416,1,0.0001,200000
0.0,0.0001,740,47334,256.0,442,0.05,427,0.0182236544787883,-12.51,189440,1,0.0001,200000
0.0,0.0001,744,47590,256.0,445,0.05,427,0.018120564520359,-12.61,190464,1,0.0001,200000
0.0,0.0001,748,47846,256.0,447,0.05,427,0.0156984589993953,-12.58,191488,1,0.0001,200000
0.0,0.0001,752,48102,256.0,449,0.05,427,0.0131504703313112,-12.51,192512,1,0.0001,200000
0.0,0.0001,756,48358,256.0,452,0.05,427,0.0241508968174457,-12.56,193536,1,0.0001,200000
0.0,0.0001,760,48614,256.0,454,0.05,427,0.0120055507868528,-12.43,194560,1,0.0001,200000
0.0,0.0001,764,48870,256.0,456,0.05,428,0.0079946909099817,-12.52,195584,1,0.0001,200000
0.0,0.0001,768,49126,256.0,459,0.05,428,0.0093755694106221,-12.6,196608,1,0.0001,200000
0.0,0.0001,772,49382,256.0,461,0.05,428,0.0139759015291929,-12.49,197632,1,0.0001,200000
0.0,0.0001,776,49638,256.0,463,0.05,428,0.0058136088773608,-12.62,198656,1,0.0001,200000
0.0,0.0001,780,49894,256.0,466,0.05,428,0.0063748247921466,-12.53,199680,1,0.0001,200000
0.0,0.0001,784,50150,256.0,468,0.05,428,0.0105057163164019,-12.46,200704,1,0.0001,200000
0.0,0.0001,788,50406,256.0,471,0.05,428,0.0113526638597249,-12.32,201728,1,0.0001,200000
0.0,0.0001,792,50662,256.0,473,0.05,428,0.0032954085618257,-12.36,202752,1,0.0001,200000
0.0,0.0001,796,50918,256.0,475,0.05,428,0.0122472140938043,-12.62,203776,1,0.0001,200000
0.0,0.0001,800,51174,256.0,478,0.05,428,0.0076648090034723,-12.56,204800,1,0.0001,200000
0.0,0.0001,804,51430,256.0,480,0.05,428,0.0097433645278215,-12.55,205824,1,0.0001,200000
0.0,0.0001,808,51686,256.0,482,0.05,428,0.0084102731198072,-12.36,206848,1,0.0001,200000
0.0,0.0001,812,51942,256.0,485,0.05,428,0.0068934666924178,-12.17,207872,1,0.0001,200000
0.0,0.0001,816,52198,256.0,487,0.05,428,0.0072544286958873,-12.32,208896,1,0.0001,200000
0.0,0.0001,820,52454,256.0,489,0.05,428,0.0075992746278643,-12.18,209920,1,0.0001,200000
0.0,0.0001,824,52710,256.0,492,0.05,428,0.0106703070923686,-12.31,210944,1,0.0001,200000
0.0,0.0001,828,52966,256.0,494,0.05,428,0.0048457249067723,-12.29,211968,1,0.0001,200000
0.0,0.0001,832,53222,256.0,496,0.05,428,0.0071323183365166,-12.23,212992,1,0.0001,200000
0.0,0.0001,836,53478,256.0,499,0.05,428,0.0108973877504467,-12.2,214016,1,0.0001,200000
0.0,0.0001,840,53734,256.0,501,0.05,428,0.005433059297502,-12.25,215040,1,0.0001,200000
0.0,0.0001,844,53990,256.0,504,0.05,428,0.0056092296727001,-12.38,216064,1,0.0001,200000
0.0,0.0001,848,54246,256.0,506,0.05,428,0.0018520326120778,-12.26,217088,1,0.0001,200000
0.0,0.0001,852,54502,256.0,508,0.05,428,0.0015769128222018,-12.4,218112,1,0.0001,200000
0.0,0.0001,856,54758,256.0,511,0.05,428,0.0042785061523318,-12.38,219136,1,0.0001,200000
0.0,0.0001,860,55014,256.0,513,0.05,428,0.0070023168809711,-12.47,220160,1,0.0001,200000
0.0,0.0001,864,55270,256.0,515,0.05,428,0.0026776411104947,-12.36,221184,1,0.0001,200000
0.0,0.0001,868,55526,256.0,518,0.05,428,0.0095620080828666,-12.31,222208,1,0.0001,200000
0.0,0.0001,872,55782,256.0,520,0.05,428,0.004447182174772,-12.35,223232,1,0.0001,200000
0.0,0.0001,876,56038,256.0,522,0.05,428,0.0033139311708509,-12.45,224256,1,0.0001,200000
0.0,0.0001,880,56294,256.0,525,0.05,428,0.0022348812781274,-12.44,225280,1,0.0001,200000
0.0,0.0001,884,56550,256.0,527,0.05,428,0.0024996087886393,-12.49,226304,1,0.0001,200000
0.0,0.0001,888,56806,256.0,529,0.05,429,0.0048073474317789,-12.68,227328,1,0.0001,200000
0.0,0.0001,892,57062,256.0,532,0.05,429,0.0058872555382549,-12.75,228352,1,0.0001,200000
0.0,0.0001,896,57318,256.0,534,0.05,429,0.0045163538306951,-12.52,229376,1,0.0001,200000
0.0,0.0001,900,57574,256.0,536,0.05,429,0.004688445944339,-12.6,230400,1,0.0001,200000
0.0,0.0001,904,57830,256.0,539,0.05,429,0.0043160626664757,-12.66,231424,1,0.0001,200000
0.0,0.0001,908,58086,256.0,541,0.05,429,0.001021935371682,-12.79,232448,1,0.0001,200000
0.0,0.0001,912,58342,256.0,543,0.05,429,0.0005212696851231,-12.74,233472,1,0.0001,200000
0.0,0.0001,916,58598,256.0,546,0.05,429,0.0037527927197515,-12.63,234496,1,0.0001,200000
0.0,0.0001,920,58854,256.0,548,0.05,429,0.0015982403419911,-12.78,235520,1,0.0001,200000
0.0,0.0001,924,59110,256.0,551,0.05,429,0.0013881474733352,-12.92,236544,1,0.0001,200000
0.0,0.0001,928,59366,256.0,553,0.05,429,0.0006262163515202,-13.24,237568,1,0.0001,200000
0.0,0.0001,932,59622,256.0,555,0.05,429,0.0005691234255209,-13.18,238592,1,0.0001,200000
0.0,0.0001,936,59878,256.0,558,0.05,429,0.0005952253122814,-13.25,239616,1,0.0001,200000
0.0,0.0001,940,60134,256.0,560,0.05,429,0.0004051619034726,-13.14,240640,1,0.0001,200000
0.0,0.0001,944,60390,256.0,562,0.05,429,0.0001105557166738,-13.16,241664,1,0.0001,200000
0.0,0.0001,948,60646,256.0,565,0.05,429,0.0012237830087542,-13.21,242688,1,0.0001,200000
0.0,0.0001,952,60902,256.0,567,0.05,429,0.0003944218333344,-13.22,243712,1,0.0001,200000
0.0,0.0001,956,61158,256.0,570,0.05,428,0.0002990119101013,-13.07,244736,1,0.0001,200000
0.0,0.0001,960,61414,256.0,573,0.05,428,0.009499879553914,-12.96,245760,1,0.0001,200000
0.0,0.0001,964,61670,256.0,575,0.05,428,0.0023584719747304,-12.91,246784,1,0.0001,200000
0.0,0.0001,968,61926,256.0,577,0.05,428,0.000132543122163,-13.07,247808,1,0.0001,200000
0.0,0.0001,972,62182,256.0,580,0.05,428,0.0023307730443775,-13.1,248832,1,0.0001,200000
0.0,0.0001,976,62438,256.0,582,0.05,429,0.0006959200836718,-12.93,249856,1,0.0001,200000
0.0,7.333333333333334e-05,4,230,256.0,1,0.980544,620,0.1115316599607467,-198.75,1024,2,7.333333333333334e-05,150000
0.0,7.333333333333334e-05,8,486,256.0,3,0.9610880000000002,599,0.1056885793805122,-200.125,2048,2,7.333333333333334e-05,150000
0.0,7.333333333333334e-05,12,742,256.0,5,0.941632,594,0.0908422619104385,-198.66666666666663,3072,2,7.333333333333334e-05,150000
0.0,7.333333333333334e-05,16,998,256.0,6,0.9221760000000002,587,0.1055198833346366,-197.875,4096,2,7.333333333333334e-05,150000
0.0,7.333333333333334e-05,20,1254,256.0,8,0.9027199999999996,584,0.0793506652116775,-197.25,5120,2,7.333333333333334e-05,150000
0.0,7.333333333333334e-05,24,1510,256.0,10,0.8832639999999998,579,0.0910168290138244,-195.41666666666663,6144,2,7.333333333333334e-05,150000
0.0,7.333333333333334e-05,28,1766,256.0,12,0.8638079999999999,577,0.0857082158327102,-194.5,7168,2,7.333333333333334e-05,150000
0.0,7.333333333333334e-05,32,2022,256.0,14,0.8443519999999999,574,0.0590242631733417,-192.15625,8192,2,7.333333333333334e-05,150000
