time/total_timesteps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,phase
2048,,,,,,1
4096,-1.087090890109539,101.64358215332032,28.534223556518555,10.0,-0.0196085743780713,1
6144,-1.0603149712085724,122.36201701164244,56.04615783691406,20.0,-0.0101651421980932,1
8192,-0.9871796920895576,79.27722544670105,32.376956939697266,30.0,-0.0273019196465611,1
10240,-0.8768566839396954,46.73153204917908,18.62682723999023,40.0,-0.0291916513757314,1
12288,-0.7695824451744556,38.39546098709106,13.415650367736816,50.0,-0.021884185320232,1
14336,-0.6442935317754745,18.73867734670639,6.588388919830322,60.0,-0.0197661288373637,1
16384,-0.5302922300994396,12.627422916889191,4.2286834716796875,70.0,-0.0196670988574624,1
18432,-0.4459472097456455,5.086167138814926,2.0288589000701904,80.0,-0.0181621791620273,1
20480,-0.2657570851966738,5.046371328830719,2.2478668689727783,90.0,-0.0157845535082742,1
22528,-0.1268164337612688,3.201422055065632,1.120105862617493,100.0,-0.0062323185615241,1
24576,-0.1297738844528794,2.7835553362965584,0.6467758417129517,110.0,-0.0064939924166537,1
26624,-0.0758241689763963,2.958112321794033,0.8696997761726379,120.0,-0.0035270417516585,1
28672,-0.1265636834315955,2.149365910887718,0.6101862192153931,130.0,-0.0035936244647018,1
30720,-0.0599809961393475,1.2219009157270193,0.3144075274467468,140.0,-0.0022458526480477,1
32768,-0.0328770315973088,1.43069122210145,0.4955366849899292,150.0,-0.0031737880897708,1
34816,-0.0483010630123317,1.7886232368648052,0.7616128325462341,160.0,-0.0032835782913025,1
36864,-0.0249972592806443,0.5166505364701152,0.1555252224206924,170.0,-0.0035644970601424,1
38912,-0.0148273580707609,0.3955557849258184,0.0386496782302856,180.0,-0.0001703083456959,1
40960,-0.0110463492223061,0.5055123438127339,0.1286929994821548,190.0,-0.0009436004853341,1
43008,-0.0085235587903298,0.2702546907123178,0.0222131311893463,200.0,-0.0006833722698502,1
45056,-0.0055656716052908,0.273591836169362,0.0812526568770408,210.0,-0.0019407051440794,1
47104,-0.0053565440292004,0.1284119671327062,0.0165797360241413,220.0,-9.171984856948256e-06,1
49152,-0.005575115152169,0.1366120468825102,0.0082384245470166,230.0,-1.3607623986899852e-05,1
51200,-0.0043469255411764,0.5512702340260148,0.1491151750087738,240.0,-0.0002643111278302,1
53248,-0.0026655446243239,0.0767973130801692,0.0149369221180677,250.0,-0.001203082880238,1
55296,-0.0020472596399486,0.129592843609862,0.0710044130682945,260.0,-0.0003063367970753,1
57344,-0.0015699787065386,0.0282702957105357,0.0079559497535228,270.0,-0.0004807311575859,1
59392,-0.0012784771024598,0.0939142059592995,0.035436924546957,280.0,5.005858838558197e-09,1
61440,-0.0012979065228137,0.1015499611909035,0.0331238433718681,290.0,-3.1606759876012805e-09,1
63488,-0.0013286676199641,0.0500053544616093,0.0029406386893242,300.0,-1.6274861991405492e-08,1
65536,-0.0013739690271904,0.0528450964353396,0.0048781502991914,310.0,-6.3388142734766e-08,1
67584,-0.0013523637593607,0.1085380821328726,0.0448280833661556,320.0,1.3964017853140833e-08,1
69632,-0.0014608606012188,0.0680298488994594,0.0156967956572771,330.0,-1.6414560377597812e-08,1
71680,-0.0011139904716401,0.2503554355818778,0.1554657965898513,340.0,-0.0001830781111493,1
73728,-0.0007086865625751,0.0434424030012451,0.0038627656176686,350.0,-0.0004929159069433,1
75776,-0.0006331027885607,0.0893446265974489,0.1038185581564903,360.0,-3.2619573175907134e-08,1
77824,-0.0006343404944345,0.3364602257381193,0.1702447831630706,370.0,4.575122147798538e-09,1
79872,-0.0016480470396345,0.1405388214043341,0.0185065679252147,380.0,-0.0001657481479924,1
81920,-0.0006093112118833,0.0433519714009889,0.0073982654139399,390.0,-1.0524527169764041e-07,1
83968,-0.0008698358440597,0.3372391631361097,0.2113994508981704,400.0,-0.0001413975609466,1
86016,-0.0005196185229578,0.0450448711344506,0.0495962649583816,410.0,-2.1944288164377214e-09,1
88064,-0.0005238121666479,0.2353337889537215,0.0824076384305954,420.0,5.064066499471664e-10,1
90112,-0.0005294954811688,0.0158402881897927,0.0020933311898261,430.0,7.468042895197869e-09,1
92160,-0.0005476219695992,0.0587410364685638,0.1160277277231216,440.0,-3.5739503800868983e-09,1
94208,-0.0005429607481346,0.1088135729602072,0.0783449932932853,450.0,8.515780791640282e-09,1
96256,-0.0006874948230688,0.0755942060695815,0.0302122812718153,460.0,-4.784669727087021e-09,1
98304,-0.0006004648639645,0.031411551711426,0.0199405159801244,470.0,-7.051276043057442e-08,1
100352,-0.0006058384358766,0.1688058718129468,0.149245947599411,480.0,1.5529803931713105e-08,1
102400,-0.0005933718290179,0.0101975216899518,0.018762744963169,490.0,-1.1047814041376115e-07,1
104448,-0.0006139364209957,0.0257914582973171,0.003979945089668,500.0,-2.9406510293483733e-08,1
106496,-0.0006108514535299,0.0848682292649755,0.1127914935350418,510.0,-1.3021053746342658e-08,1
108544,-0.0006330113894364,0.0267332871006146,9.317539661424236e-05,520.0,-3.022141754627228e-08,1
110592,-0.0006180711265187,0.1741859501518775,0.1184699460864067,530.0,-9.778887033462523e-10,1
112640,-0.0006522154901176,0.1204780627740547,0.0484306700527668,540.0,1.2235250324010848e-08,1
114688,-0.0006596405648451,0.1883033607620746,0.0894756689667701,550.0,-2.1653249859809873e-09,1
116736,-0.0006750044674845,0.1559347146539949,0.0031936184968799,560.0,-2.0512379705905913e-08,1
118784,-0.00044785313803,0.050578033569036,0.0085440753027796,570.0,-0.0003762561478652,1
120832,-0.000434502099597,0.0772700027853716,0.0122217573225498,580.0,-1.8742866814136507e-09,1
122880,-0.0002641940012836,0.0199476287001743,0.0031615740153938,590.0,-0.0008512604690622,1
124928,-0.0002527181244659,0.2532329016597942,0.0739939510822296,600.0,4.656612873077393e-10,1
126976,-0.0002466541172907,0.0162384495792139,0.017230100929737,610.0,2.2351741790771484e-09,1
129024,-0.0002933793817646,0.127858739408839,0.108318381011486,620.0,2.0346487872302533e-08,1
131072,-0.0002499991533113,0.1319296551853767,0.0306687746196985,630.0,-2.823071554303169e-09,1
133120,-0.0002719133946811,0.0539924659369717,0.0022831188980489,640.0,-6.257323548197746e-09,1
135168,-0.0002854506445146,0.0637929928696394,0.0005873491754755,650.0,-3.364402800798416e-09,1
137216,-0.0002593168421299,0.2099752505309879,0.1091656759381294,660.0,-7.753260433673858e-09,1
139264,-0.0003221023565856,0.0168963864044599,0.0174243878573179,670.0,-1.2664240784943105e-07,1
141312,-0.0003380865975486,0.1739629178016912,0.1696769744157791,680.0,-1.678417902439833e-07,1
143360,-0.0002671927450137,0.1584058141190326,0.1408394277095794,690.0,-2.601882442831993e-09,1
145408,-0.0002714250411372,0.0707735179428709,0.0331870391964912,700.0,7.962808012962342e-09,1
