rollout/success_rate,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
0.0,1,256.0,7,2048,-204.40000000000003,283,,,,,,,,,,,1,0.0003,5e-05
0.0,2,256.0,15,4096,-195.25,272,21.96177101135254,-0.0145883164484985,0.001039981842041,0.010720066,95.34242367744446,0.0002994879999999,-1.0883979007601738,0.2,0.160400390625,10.0,1,0.0003,5e-05
0.0,3,256.0,22,6144,-187.88333333333333,270,30.55872344970703,-0.0185966803110204,-0.0001296997070312,0.013920801,82.47060775756836,0.0002989759999999,-1.0544106528162955,0.2,0.200390625,20.0,1,0.0003,5e-05
0.0,4,256.0,30,8192,-177.08125,269,33.413360595703125,-0.0199316268437542,-0.0089771747589111,0.0187501,79.37215757369995,0.0002984639999999,-0.9869460605084897,0.2,0.230322265625,30.0,1,0.0003,5e-05
0.0,5,256.0,38,10240,-168.33499999999998,268,21.524208068847656,-0.0255665670498274,0.0036787390708923,0.017693974,48.85793561935425,0.000297952,-0.8766530595719815,0.2,0.297265625,40.0,1,0.0003,5e-05
0.0208333333333333,6,254.64583333333337,46,12288,-155.37916666666666,266,14.7184476852417,-0.0153761598281562,-0.0029706954956054,0.011772467,36.22142179012299,0.0002974399999999,-0.7713676057755947,0.2,0.1845703125,50.0,1,0.0003,5e-05
0.0357142857142857,7,253.92857142857144,54,14336,-144.42857142857142,264,58.05778884887695,-0.0061496263428125,0.0,0.0074313204,76.33250687122344,0.0002969279999999,-0.6723595224320889,0.2,0.106591796875,60.0,1,0.0003,5e-05
0.03125,8,254.1875,62,16384,-136.878125,263,31.96824836730957,-0.0073899725684896,1.1920928955078125e-07,0.010887563,74.77389736175537,0.000296416,-0.5625767104327679,0.2,0.1337890625,70.0,1,0.0003,5e-05
0.0277777777777777,9,254.38888888888889,70,18432,-129.2472222222222,263,6.354777812957764,-0.0114337183884344,1.96695327758789e-06,0.006276645,15.86796349287033,0.000295904,-0.4695541534572839,0.2,0.110888671875,80.0,1,0.0003,5e-05
0.025,10,254.55,78,20480,-121.4675,262,5.464687824249268,-0.0089443768199998,0.0,0.004495895,12.791513323783876,0.0002953919999999,-0.3667115177959203,0.2,0.08701171875,90.0,1,0.0003,5e-05
0.0227272727272727,11,254.6818181818182,86,22528,-114.45,261,4.940693378448486,-0.0074743280361872,5.960464477539064e-08,0.0025678207,10.805594962835311,0.0002948799999999,-0.292845699749887,0.2,0.07236328125,100.0,1,0.0003,5e-05
