r,l,t,is_success,dead_loop_events,wall_collision_count
-200.0,256,0.910211,0.0,216.0,44.0
-203.8,256,1.328365,0.0,219.0,44.0
-206.4,256,1.741454,0.0,210.0,54.0
-183.8,256,2.155857,0.0,234.0,71.0
-184.2,256,2.568894,0.0,221.0,64.0
-197.0,256,2.980111,0.0,234.0,75.0
-191.8,256,3.390631,0.0,221.0,57.0
-181.4,256,3.805682,0.0,206.0,60.0
-185.2,256,4.214857,0.0,201.0,58.0
-196.0,256,4.629462,0.0,209.0,61.0
-203.4,256,5.043053,0.0,229.0,52.0
-179.8,256,5.455833,0.0,234.0,75.0
-192.6,256,5.87092,0.0,232.0,69.0
-197.6,256,6.288163,0.0,234.0,66.0
-191.4,256,6.70272,0.0,219.0,62.0
-202.0,256,7.11693,0.0,225.0,66.0
-185.4,256,7.533739,0.0,234.0,63.0
-190.4,256,7.944999,0.0,205.0,55.0
-214.0,256,8.359341,0.0,212.0,50.0
-188.2,256,8.773958,0.0,234.0,63.0
-197.8,256,9.186541,0.0,228.0,58.0
-196.8,256,9.604568,0.0,234.0,58.0
-171.4,256,10.029772,0.0,234.0,81.0
-219.0,256,10.456947,0.0,195.0,51.0
-206.8,256,10.872812,0.0,187.0,58.0
-185.0,256,11.300883,0.0,221.0,64.0
-190.8,256,11.725005,0.0,234.0,64.0
-203.6,256,12.149816,0.0,234.0,56.0
-184.2,256,12.571993,0.0,208.0,66.0
-173.0,256,12.997889,0.0,233.0,85.0
-175.6,256,13.426622,0.0,211.0,74.0
-167.4,256,13.859173,0.0,234.0,85.0
-176.6,256,14.292689,0.0,234.0,79.0
-188.0,256,14.716992,0.0,226.0,66.0
-171.4,256,15.146296,0.0,187.0,66.0
-173.8,256,15.580721,0.0,231.0,81.0
-176.6,256,16.00488,0.0,192.0,78.0
-166.8,256,16.433203,0.0,234.0,88.0
-154.0,256,16.870427,0.0,234.0,100.0
-160.8,256,17.302426,0.0,201.0,86.0
-182.2,256,17.736189,0.0,204.0,70.0
-186.6,256,18.169317,0.0,194.0,65.0
-181.2,256,18.600149,0.0,189.0,77.0
-169.6,256,19.041299,0.0,206.0,81.0
-168.4,256,19.476459,0.0,202.0,81.0
-167.6,256,19.913435,0.0,231.0,83.0
-157.6,256,20.358212,0.0,221.0,87.0
-162.6,256,20.792481,0.0,222.0,90.0
-176.4,256,21.235322,0.0,212.0,76.0
-164.2,256,21.67985,0.0,212.0,91.0
-170.4,256,22.1248,0.0,218.0,93.0
-157.8,256,22.572373,0.0,202.0,87.0
-167.6,256,23.019523,0.0,214.0,81.0
-157.8,256,23.463292,0.0,187.0,77.0
-49.4,235,23.874506,1.0,130.0,80.0
-142.2,256,24.320327,0.0,234.0,105.0
-169.2,256,24.762735,0.0,212.0,88.0
-193.2,256,25.217055,0.0,223.0,72.0
-175.4,256,25.657159,0.0,228.0,76.0
-151.8,256,26.102331,0.0,215.0,103.0
-191.2,256,26.552714,0.0,201.0,74.0
-138.6,256,27.004289,0.0,234.0,104.0
-164.2,256,27.463989,0.0,217.0,100.0
-173.2,256,27.919211,0.0,214.0,79.0
-185.8,256,28.373943,0.0,201.0,91.0
-176.4,256,28.819496,0.0,234.0,85.0
-170.6,256,29.272488,0.0,216.0,79.0
-131.4,256,29.72735,0.0,211.0,113.0
-23.2,177,30.044188,1.0,91.0,50.0
-173.6,256,30.50415,0.0,185.0,70.0
-133.2,256,30.968373,0.0,209.0,106.0
-153.2,256,31.429948,0.0,234.0,98.0
-150.4,256,31.884713,0.0,234.0,96.0
-155.8,256,32.336805,0.0,208.0,93.0
-136.2,256,32.795219,0.0,234.0,109.0
-164.0,256,33.25594,0.0,213.0,87.0
-162.2,256,33.714219,0.0,205.0,97.0
-165.2,256,34.175717,0.0,222.0,94.0
-144.8,256,34.637868,0.0,209.0,102.0
-164.0,256,35.100747,0.0,232.0,83.0
-137.0,256,35.56706,0.0,228.0,113.0
-138.6,256,36.034892,0.0,192.0,98.0
-178.0,256,36.489887,0.0,196.0,102.0
-156.2,256,36.945467,0.0,217.0,97.0
-140.8,256,37.41704,0.0,233.0,115.0
-131.6,256,37.891895,0.0,234.0,116.0
-148.8,256,38.358765,0.0,222.0,100.0
-110.8,256,38.840786,0.0,213.0,131.0
-167.0,256,39.314912,0.0,211.0,96.0
-117.6,256,39.805303,0.0,230.0,147.0
-140.0,256,40.276718,0.0,193.0,114.0
-141.8,256,40.75082,0.0,207.0,115.0
-118.4,256,41.229762,0.0,229.0,126.0
-118.4,256,41.716689,0.0,191.0,134.0
-146.2,256,42.189542,0.0,191.0,107.0
-125.0,256,42.661144,0.0,209.0,106.0
-128.8,256,43.138354,0.0,233.0,114.0
-133.0,256,43.621141,0.0,171.0,116.0
-117.0,256,44.105703,0.0,233.0,129.0
-104.8,256,44.592596,0.0,218.0,136.0
-124.2,256,45.071818,0.0,224.0,127.0
-120.6,256,45.559611,0.0,231.0,134.0
-125.6,256,46.049516,0.0,224.0,120.0
-144.2,256,46.538047,0.0,163.0,101.0
-116.8,256,47.027836,0.0,215.0,128.0
-119.4,256,47.518509,0.0,191.0,131.0
-130.0,256,47.992938,0.0,218.0,107.0
-109.2,256,48.477576,0.0,226.0,140.0
-145.6,256,48.960079,0.0,220.0,116.0
-130.6,256,49.442094,0.0,196.0,110.0
-118.0,256,49.929016,0.0,226.0,125.0
-115.2,256,50.414992,0.0,233.0,136.0
-100.0,256,50.908677,0.0,224.0,153.0
-92.8,256,51.40041,0.0,223.0,156.0
-118.4,256,51.887589,0.0,208.0,119.0
-130.8,256,52.37692,0.0,232.0,126.0
-99.6,256,52.873945,0.0,234.0,156.0
-111.0,256,53.372582,0.0,228.0,133.0
-118.6,256,53.890064,0.0,206.0,134.0
-106.8,256,54.380485,0.0,192.0,127.0
-109.6,256,54.879622,0.0,223.0,140.0
-122.8,256,55.370067,0.0,233.0,148.0
-100.6,256,55.877615,0.0,229.0,147.0
-92.0,256,56.380725,0.0,233.0,154.0
