time/episodes,time/total_timesteps,rollout/success_rate,rollout/exploration_rate,train/learning_rate,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,phase,phase_learning_rate,phase_buffer_size
184,47066,0.01,0.1057460000000001,0.0001,-94.008,11741,88,255.62,532,0.0589112117886543,1,0.0001,200000
188,48090,0.01,0.0862900000000002,0.0001,-89.51,11997,90,255.62,531,0.0867616608738899,1,0.0001,200000
192,49114,0.01,0.0668340000000002,0.0001,-85.38,12253,92,255.62,529,0.1264731585979461,1,0.0001,200000
196,50138,0.01,0.05,0.0001,-80.958,12509,95,255.62,527,0.057869516313076,1,0.0001,200000
200,51162,0.01,0.05,0.0001,-76.058,12765,97,255.62,526,0.0439225286245346,1,0.0001,200000
204,52186,0.0,0.05,0.0001,-72.978,13021,99,256.0,524,0.0501508936285972,1,0.0001,200000
208,53210,0.0,0.05,0.0001,-68.42,13277,101,256.0,523,0.0455358251929283,1,0.0001,200000
212,54234,0.0,0.05,0.0001,-63.79399999999999,13533,103,256.0,521,0.0534234941005706,1,0.0001,200000
216,55258,0.0,0.05,0.0001,-59.93000000000001,13789,106,256.0,520,0.0500125177204608,1,0.0001,200000
220,56282,0.0,0.05,0.0001,-55.94,14045,108,256.0,518,0.1333521157503128,1,0.0001,200000
224,57306,0.0,0.05,0.0001,-52.54,14301,110,256.0,517,0.0624186992645263,1,0.0001,200000
228,58330,0.0,0.05,0.0001,-49.15599999999999,14557,112,256.0,516,0.0396984666585922,1,0.0001,200000
232,59354,0.0,0.05,0.0001,-45.312,14813,115,256.0,515,0.082798808813095,1,0.0001,200000
236,60378,0.0,0.05,0.0001,-42.026,15069,117,256.0,514,0.0462442971765995,1,0.0001,200000
240,61402,0.0,0.05,0.0001,-39.504,15325,119,256.0,513,0.0318193025887012,1,0.0001,200000
244,62426,0.0,0.05,0.0001,-37.184,15581,121,256.0,512,0.0611021555960178,1,0.0001,200000
248,63450,0.0,0.05,0.0001,-34.522,15837,124,256.0,511,0.0975586920976638,1,0.0001,200000
252,64474,0.0,0.05,0.0001,-31.876,16093,126,256.0,509,0.040346223860979,1,0.0001,200000
256,65498,0.0,0.05,0.0001,-29.536,16349,128,256.0,508,0.1196236163377761,1,0.0001,200000
260,66522,0.0,0.05,0.0001,-27.746,16605,130,256.0,508,0.0360764414072036,1,0.0001,200000
264,67546,0.0,0.05,0.0001,-25.960000000000004,16861,133,256.0,507,0.0399012938141822,1,0.0001,200000
268,68570,0.0,0.05,0.0001,-24.212,17117,135,256.0,506,0.0744165927171707,1,0.0001,200000
272,69594,0.0,0.05,0.0001,-22.44400000000001,17373,137,256.0,505,0.0986179709434509,1,0.0001,200000
276,70618,0.0,0.05,0.0001,-21.362,17629,139,256.0,504,0.0588209778070449,1,0.0001,200000
280,71642,0.0,0.05,0.0001,-20.319999999999997,17885,142,256.0,504,0.0266237780451774,1,0.0001,200000
284,72666,0.0,0.05,0.0001,-19.744,18141,144,256.0,503,0.074566438794136,1,0.0001,200000
288,73690,0.0,0.05,0.0001,-19.292,18397,146,256.0,502,0.0490468069911003,1,0.0001,200000
292,74714,0.0,0.05,0.0001,-19.116,18653,148,256.0,501,0.0371649675071239,1,0.0001,200000
296,75738,0.0,0.05,0.0001,-18.738,18909,151,256.0,501,0.0477357842028141,1,0.0001,200000
300,76762,0.0,0.05,0.0001,-18.45,19165,153,256.0,500,0.0350388325750827,1,0.0001,200000
304,77786,0.0,0.05,0.0001,-18.332,19421,155,256.0,499,0.070666030049324,1,0.0001,200000
308,78810,0.0,0.05,0.0001,-18.252,19677,157,256.0,499,0.0265426039695739,1,0.0001,200000
312,79834,0.0,0.05,0.0001,-17.998,19933,160,256.0,498,0.0580252818763256,1,0.0001,200000
316,80858,0.0,0.05,0.0001,-17.836000000000002,20189,162,256.0,497,0.0217108111828565,1,0.0001,200000
320,81882,0.0,0.05,0.0001,-17.808,20445,164,256.0,497,0.0531845092773437,1,0.0001,200000
324,82906,0.0,0.05,0.0001,-17.669999999999998,20701,166,256.0,496,0.0993777960538864,1,0.0001,200000
328,83930,0.0,0.05,0.0001,-17.373999999999995,20957,169,256.0,496,0.0320900306105613,1,0.0001,200000
332,84954,0.0,0.05,0.0001,-17.316000000000003,21213,171,256.0,495,0.0272624772042036,1,0.0001,200000
336,85978,0.0,0.05,0.0001,-17.304,21469,173,256.0,495,0.0239886865019798,1,0.0001,200000
340,87002,0.0,0.05,0.0001,-16.646,21725,175,256.0,494,0.1154712736606597,1,0.0001,200000
344,88026,0.0,0.05,0.0001,-16.077999999999996,21981,178,256.0,494,0.0650880634784698,1,0.0001,200000
348,89050,0.0,0.05,0.0001,-16.048000000000002,22237,180,256.0,493,0.0652919560670852,1,0.0001,200000
352,90074,0.0,0.05,0.0001,-16.258,22493,182,256.0,493,0.0335281714797019,1,0.0001,200000
356,91098,0.0,0.05,0.0001,-16.494000000000003,22749,184,256.0,492,0.0327112525701522,1,0.0001,200000
360,92122,0.0,0.05,0.0001,-16.230000000000004,23005,187,256.0,492,0.1461055427789688,1,0.0001,200000
364,93146,0.0,0.05,0.0001,-16.18,23261,189,256.0,491,0.0511857718229293,1,0.0001,200000
368,94170,0.0,0.05,0.0001,-16.122,23517,191,256.0,491,0.021486397832632,1,0.0001,200000
372,95194,0.0,0.05,0.0001,-16.062,23773,193,256.0,491,0.0320171043276786,1,0.0001,200000
376,96218,0.0,0.05,0.0001,-15.964,24029,196,256.0,490,0.0700255036354065,1,0.0001,200000
380,97242,0.0,0.05,0.0001,-15.442,24285,198,256.0,490,0.0210436210036277,1,0.0001,200000
384,98266,0.0,0.05,0.0001,-15.614,24541,200,256.0,489,0.042341761291027,1,0.0001,200000
388,99290,0.0,0.05,0.0001,-15.619999999999996,24797,202,256.0,489,0.0237331129610538,1,0.0001,200000
392,100314,0.0,0.05,0.0001,-15.349999999999998,25053,205,256.0,489,0.0235540345311164,1,0.0001,200000
396,101338,0.0,0.05,0.0001,-15.143999999999998,25309,207,256.0,488,0.0501792505383491,1,0.0001,200000
400,102362,0.0,0.05,0.0001,-15.134,25565,209,256.0,488,0.1214839965105056,1,0.0001,200000
404,103386,0.0,0.05,0.0001,-14.726,25821,211,256.0,488,0.0252641271799802,1,0.0001,200000
408,104410,0.0,0.05,0.0001,-14.714,26077,214,256.0,487,0.0207529962062835,1,0.0001,200000
412,105434,0.0,0.05,0.0001,-14.758000000000004,26333,216,256.0,487,0.0598897486925125,1,0.0001,200000
416,106458,0.0,0.05,0.0001,-15.118000000000004,26589,218,256.0,487,0.0264676380902528,1,0.0001,200000
420,107482,0.0,0.05,0.0001,-15.0,26845,220,256.0,486,0.0561572201550006,1,0.0001,200000
424,108506,0.0,0.05,0.0001,-15.167999999999996,27101,223,256.0,486,0.0234361216425895,1,0.0001,200000
428,109530,0.0,0.05,0.0001,-15.552,27357,225,256.0,486,0.0238952245563268,1,0.0001,200000
432,110554,0.0,0.05,0.0001,-15.284,27613,227,256.0,485,0.0982014611363411,1,0.0001,200000
436,111578,0.0,0.05,0.0001,-15.514,27869,229,256.0,485,0.0161964781582355,1,0.0001,200000
440,112602,0.0,0.05,0.0001,-15.798,28125,232,256.0,485,0.0559035316109657,1,0.0001,200000
444,113626,0.0,0.05,0.0001,-16.261999999999997,28381,234,256.0,484,0.0520118847489357,1,0.0001,200000
448,114650,0.0,0.05,0.0001,-16.5,28637,236,256.0,484,0.0601268820464611,1,0.0001,200000
452,115674,0.0,0.05,0.0001,-16.188,28893,238,256.0,484,0.0501100197434425,1,0.0001,200000
456,116698,0.0,0.05,0.0001,-15.866,29149,241,256.0,484,0.0348196476697921,1,0.0001,200000
460,117722,0.0,0.05,0.0001,-15.981999999999998,29405,243,256.0,483,0.028216129168868,1,0.0001,200000
464,118746,0.0,0.05,0.0001,-16.422,29661,245,256.0,483,0.0184590183198452,1,0.0001,200000
468,119770,0.0,0.05,0.0001,-16.618000000000002,29917,247,256.0,483,0.0532097443938255,1,0.0001,200000
472,120794,0.0,0.05,0.0001,-16.752,30173,250,256.0,483,0.0453243814408779,1,0.0001,200000
476,121818,0.0,0.05,0.0001,-16.86,30429,252,256.0,482,0.0209693163633346,1,0.0001,200000
480,122842,0.0,0.05,0.0001,-17.331999999999997,30685,254,256.0,482,0.0729643329977989,1,0.0001,200000
484,123866,0.0,0.05,0.0001,-17.158,30941,256,256.0,482,0.0149310650303959,1,0.0001,200000
488,124890,0.0,0.05,0.0001,-16.861999999999995,31197,258,256.0,482,0.0543536469340324,1,0.0001,200000
492,125914,0.0,0.05,0.0001,-16.939999999999998,31453,261,256.0,482,0.0199769288301467,1,0.0001,200000
496,126938,0.0,0.05,0.0001,-16.842,31709,263,256.0,481,0.0579112321138381,1,0.0001,200000
500,127962,0.0,0.05,0.0001,-17.016,31965,265,256.0,481,0.0843828991055488,1,0.0001,200000
504,128986,0.0,0.05,0.0001,-17.180000000000003,32221,267,256.0,481,0.0248748734593391,1,0.0001,200000
508,130010,0.0,0.05,0.0001,-17.232,32477,270,256.0,481,0.0607510954141616,1,0.0001,200000
512,131034,0.0,0.05,0.0001,-17.08,32733,272,256.0,481,0.0401500314474105,1,0.0001,200000
516,132058,0.0,0.05,0.0001,-16.768,32989,274,256.0,480,0.0523136183619499,1,0.0001,200000
520,133082,0.0,0.05,0.0001,-16.898,33245,276,256.0,480,0.0344105064868927,1,0.0001,200000
524,134106,0.0,0.05,0.0001,-16.747999999999998,33501,279,256.0,480,0.0455629155039787,1,0.0001,200000
528,135130,0.0,0.05,0.0001,-16.612,33757,281,256.0,480,0.068835861980915,1,0.0001,200000
532,136154,0.0,0.05,0.0001,-16.581999999999997,34013,283,256.0,480,0.0902472138404846,1,0.0001,200000
536,137178,0.0,0.05,0.0001,-16.366,34269,285,256.0,479,0.0261741168797016,1,0.0001,200000
540,138202,0.0,0.05,0.0001,-15.946,34525,288,256.0,479,0.0462836883962154,1,0.0001,200000
544,139226,0.0,0.05,0.0001,-15.947999999999997,34781,290,256.0,479,0.0160690508782863,1,0.0001,200000
548,140250,0.0,0.05,0.0001,-15.742,35037,292,256.0,479,0.0491624921560287,1,0.0001,200000
552,141274,0.0,0.05,0.0001,-15.9,35293,294,256.0,479,0.0219173617660999,1,0.0001,200000
556,142298,0.0,0.05,0.0001,-16.242000000000004,35549,297,256.0,478,0.0176432505249977,1,0.0001,200000
560,143322,0.0,0.05,0.0001,-16.041999999999994,35805,299,256.0,478,0.0369589030742645,1,0.0001,200000
564,144346,0.0,0.05,0.0001,-16.104,36061,301,256.0,478,0.0325146242976188,1,0.0001,200000
568,145370,0.0,0.05,0.0001,-16.183999999999997,36317,303,256.0,478,0.019526595249772,1,0.0001,200000
572,146394,0.0,0.05,0.0001,-16.105999999999998,36573,306,256.0,478,0.0509802550077438,1,0.0001,200000
576,147418,0.0,0.05,0.0001,-16.026,36829,308,256.0,478,0.041075374931097,1,0.0001,200000
580,148442,0.0,0.05,0.0001,-15.766000000000002,37085,310,256.0,478,0.0298356786370277,1,0.0001,200000
584,149466,0.0,0.05,0.0001,-15.760000000000002,37341,312,256.0,477,0.0817101970314979,1,0.0001,200000
588,150490,0.0,0.05,0.0001,-16.04,37597,314,256.0,477,0.016173992305994,1,0.0001,200000
592,151406,0.01,0.05,0.0001,-14.91,37826,316,254.92,477,0.0199633724987506,1,0.0001,200000
596,152430,0.01,0.05,0.0001,-15.403999999999998,38082,319,254.92,477,0.1262750625610351,1,0.0001,200000
600,153454,0.01,0.05,0.0001,-15.228,38338,321,254.92,477,0.0192343946546316,1,0.0001,200000
604,154478,0.01,0.05,0.0001,-15.221999999999998,38594,323,254.92,477,0.0442990511655807,1,0.0001,200000
608,155502,0.01,0.05,0.0001,-15.126,38850,326,254.92,476,0.0551752932369709,1,0.0001,200000
612,156526,0.01,0.05,0.0001,-15.255999999999997,39106,328,254.92,476,0.0216284114867448,1,0.0001,200000
616,157550,0.01,0.05,0.0001,-15.662,39362,330,254.92,476,0.0551173314452171,1,0.0001,200000
